End date,"1/7/2017"
Specimen label,"3AG_22"
Maximum Load,"0.73679",N

Time,Extension,Load
(s),(mm),(N)
"4.11600","0.34319","0.01790"
"4.12200","0.34373","0.01769"
"4.12800","0.34421","0.01763"
"4.13400","0.34469","0.01761"
"4.14000","0.34522","0.01751"
"4.14600","0.34570","0.01752"
"4.15200","0.34624","0.01756"
"4.15800","0.34672","0.01760"
"4.16400","0.34720","0.01750"
"4.17000","0.34768","0.01738"
"4.17600","0.34821","0.01738"
"4.18200","0.34869","0.01747"
"4.18800","0.34917","0.01764"
"4.19400","0.34965","0.01774"
"4.20000","0.35013","0.01778"
"4.20600","0.35067","0.01775"
"4.21200","0.35114","0.01782"
"4.21800","0.35162","0.01800"
"4.22400","0.35216","0.01819"
"4.23000","0.35264","0.01834"
"4.23600","0.35312","0.01842"
"4.24200","0.35366","0.01841"
"4.24800","0.35413","0.01838"
"4.25400","0.35461","0.01829"
"4.26000","0.35515","0.01815"
"4.26600","0.35563","0.01804"
"4.27200","0.35617","0.01796"
"4.27800","0.35664","0.01803"
"4.28400","0.35712","0.01813"
"4.29000","0.35766","0.01820"
"4.29600","0.35814","0.01830"
"4.30200","0.35868","0.01838"
"4.30800","0.35916","0.01849"
"4.31400","0.35969","0.01864"
"4.32000","0.36017","0.01879"
"4.32600","0.36071","0.01889"
"4.33200","0.36119","0.01883"
"4.33800","0.36167","0.01873"
"4.34400","0.36215","0.01868"
"4.35000","0.36262","0.01870"
"4.35600","0.36316","0.01871"
"4.36200","0.36364","0.01882"
"4.36800","0.36418","0.01895"
"4.37400","0.36466","0.01890"
"4.38000","0.36519","0.01888"
"4.38600","0.36567","0.01885"
"4.39200","0.36615","0.01876"
"4.39800","0.36669","0.01873"
"4.40400","0.36717","0.01865"
"4.41000","0.36771","0.01864"
"4.41600","0.36818","0.01861"
"4.42200","0.36872","0.01858"
"4.42800","0.36920","0.01855"
"4.43400","0.36974","0.01843"
"4.44000","0.37022","0.01829"
"4.44600","0.37070","0.01841"
"4.45200","0.37123","0.01852"
"4.45800","0.37171","0.01849"
"4.46400","0.37219","0.01848"
"4.47000","0.37267","0.01846"
"4.47600","0.37321","0.01839"
"4.48200","0.37368","0.01835"
"4.48800","0.37416","0.01841"
"4.49400","0.37470","0.01862"
"4.50000","0.37518","0.01887"
"4.50600","0.37566","0.01904"
"4.51200","0.37620","0.01926"
"4.51800","0.37667","0.01935"
"4.52400","0.37715","0.01936"
"4.53000","0.37769","0.01945"
"4.53600","0.37817","0.01958"
"4.54200","0.37871","0.01964"
"4.54800","0.37919","0.01967"
"4.55400","0.37966","0.01958"
"4.56000","0.38020","0.01941"
"4.56600","0.38074","0.01924"
"4.57200","0.38122","0.01914"
"4.57800","0.38176","0.01922"
"4.58400","0.38223","0.01922"
"4.59000","0.38271","0.01916"
"4.59600","0.38325","0.01917"
"4.60200","0.38373","0.01925"
"4.60800","0.38421","0.01920"
"4.61400","0.38469","0.01916"
"4.62000","0.38522","0.01918"
"4.62600","0.38570","0.01925"
"4.63200","0.38618","0.01928"
"4.63800","0.38672","0.01926"
"4.64400","0.38720","0.01920"
"4.65000","0.38768","0.01918"
"4.65600","0.38821","0.01912"
"4.66200","0.38869","0.01906"
"4.66800","0.38917","0.01913"
"4.67400","0.38971","0.01925"
"4.68000","0.39019","0.01939"
"4.68600","0.39066","0.01959"
"4.69200","0.39120","0.01975"
"4.69800","0.39168","0.01989"
"4.70400","0.39216","0.02001"
"4.71000","0.39270","0.02007"
"4.71600","0.39318","0.02004"
"4.72200","0.39371","0.01989"
"4.72800","0.39419","0.01970"
"4.73400","0.39467","0.01961"
"4.74000","0.39515","0.01956"
"4.74600","0.39563","0.01958"
"4.75200","0.39617","0.01966"
"4.75800","0.39664","0.01965"
"4.76400","0.39712","0.01958"
"4.77000","0.39760","0.01964"
"4.77600","0.39814","0.01983"
"4.78200","0.39862","0.01982"
"4.78800","0.39910","0.01968"
"4.79400","0.39963","0.01964"
"4.80000","0.40011","0.01962"
"4.80600","0.40065","0.01959"
"4.81200","0.40113","0.01965"
"4.81800","0.40161","0.01974"
"4.82400","0.40208","0.01976"
"4.83000","0.40262","0.01979"
"4.83600","0.40310","0.01980"
"4.84200","0.40358","0.01978"
