End date,"12/26/2016"
Specimen label,"11BG_81_2_run2"
Maximum Load,"0.05442",N

Time,Extension,Load
(s),(mm),(N)
"2.85600","35.38918","0.01136"
"2.86200","35.38966","0.01139"
"2.86800","35.39020","0.01137"
"2.87400","35.39068","0.01138"
"2.88000","35.39116","0.01131"
"2.88600","35.39170","0.01128"
"2.89200","35.39218","0.01122"
"2.89800","35.39271","0.01110"
"2.90400","35.39319","0.01096"
"2.91000","35.39367","0.01093"
"2.91600","35.39421","0.01100"
"2.92200","35.39475","0.01107"
"2.92800","35.39523","0.01120"
"2.93400","35.39576","0.01128"
"2.94000","35.39624","0.01134"
"2.94600","35.39678","0.01130"
"2.95200","35.39726","0.01126"
"2.95800","35.39774","0.01123"
"2.96400","35.39822","0.01122"
"2.97000","35.39875","0.01123"
"2.97600","35.39923","0.01123"
"2.98200","35.39971","0.01127"
"2.98800","35.40018","0.01129"
"2.99400","35.40067","0.01122"
"3.00000","35.40120","0.01118"
"3.00600","35.40168","0.01121"
"3.01200","35.40222","0.01129"
"3.01800","35.40269","0.01130"
"3.02400","35.40318","0.01130"
"3.03000","35.40371","0.01125"
"3.03600","35.40419","0.01117"
"3.04200","35.40467","0.01109"
"3.04800","35.40521","0.01107"
"3.05400","35.40569","0.01103"
"3.06000","35.40622","0.01100"
"3.06600","35.40670","0.01098"
"3.07200","35.40718","0.01099"
"3.07800","35.40772","0.01094"
"3.08400","35.40820","0.01089"
"3.09000","35.40874","0.01090"
"3.09600","35.40921","0.01096"
"3.10200","35.40969","0.01110"
"3.10800","35.41017","0.01126"
"3.11400","35.41065","0.01136"
"3.12000","35.41119","0.01141"
"3.12600","35.41167","0.01145"
"3.13200","35.41214","0.01150"
"3.13800","35.41269","0.01146"
"3.14400","35.41316","0.01133"
"3.15000","35.41364","0.01115"
"3.15600","35.41412","0.01109"
"3.16200","35.41465","0.01112"
"3.16800","35.41513","0.01120"
"3.17400","35.41561","0.01119"
"3.18000","35.41609","0.01119"
"3.18600","35.41663","0.01127"
"3.19200","35.41711","0.01137"
"3.19800","35.41764","0.01140"
"3.20400","35.41812","0.01133"
"3.21000","35.41860","0.01116"
"3.21600","35.41914","0.01108"
"3.22200","35.41968","0.01112"
"3.22800","35.42016","0.01121"
"3.23400","35.42064","0.01122"
"3.24000","35.42117","0.01122"
"3.24600","35.42165","0.01124"
"3.25200","35.42219","0.01127"
"3.25800","35.42267","0.01129"
"3.26400","35.42320","0.01135"
"3.27000","35.42368","0.01136"
"3.27600","35.42422","0.01142"
"3.28200","35.42470","0.01153"
"3.28800","35.42518","0.01166"
"3.29400","35.42572","0.01178"
"3.30000","35.42620","0.01182"
"3.30600","35.42673","0.01176"
"3.31200","35.42721","0.01163"
"3.31800","35.42769","0.01156"
"3.32400","35.42823","0.01146"
"3.33000","35.42871","0.01131"
"3.33600","35.42924","0.01120"
"3.34200","35.42972","0.01111"
"3.34800","35.43020","0.01106"
"3.35400","35.43074","0.01104"
"3.36000","35.43122","0.01105"
"3.36600","35.43176","0.01107"
"3.37200","35.43224","0.01109"
"3.37800","35.43277","0.01109"
"3.38400","35.43325","0.01110"
"3.39000","35.43373","0.01115"
"3.39600","35.43420","0.01114"
"3.40200","35.43475","0.01112"
"3.40800","35.43522","0.01113"
"3.41400","35.43570","0.01108"
"3.42000","35.43618","0.01103"
"3.42600","35.43672","0.01107"
"3.43200","35.43719","0.01116"
"3.43800","35.43767","0.01128"
"3.44400","35.43821","0.01132"
"3.45000","35.43869","0.01136"
"3.45600","35.43917","0.01146"
"3.46200","35.43971","0.01152"
"3.46800","35.44019","0.01157"
"3.47400","35.44072","0.01159"
"3.48000","35.44120","0.01155"
"3.48600","35.44174","0.01148"
"3.49200","35.44222","0.01135"
"3.49800","35.44270","0.01125"
"3.50400","35.44323","0.01123"
"3.51000","35.44371","0.01130"
"3.51600","35.44425","0.01131"
"3.52200","35.44473","0.01137"
"3.52800","35.44527","0.01145"
"3.53400","35.44575","0.01140"
"3.54000","35.44622","0.01136"
"3.54600","35.44670","0.01131"
"3.55200","35.44724","0.01125"
"3.55800","35.44772","0.01121"
"3.56400","35.44820","0.01117"
"3.57000","35.44874","0.01113"
"3.57600","35.44921","0.01117"
"3.58200","35.44975","0.01130"
"3.58800","35.45023","0.01140"
"3.59400","35.45071","0.01144"
"3.60000","35.45125","0.01148"
"3.60600","35.45173","0.01151"
"3.61200","35.45220","0.01150"
"3.61800","35.45274","0.01151"
"3.62400","35.45322","0.01154"
"3.63000","35.45370","0.01151"
"3.63600","35.45424","0.01137"
"3.64200","35.45471","0.01125"
"3.64800","35.45525","0.01119"
"3.65400","35.45573","0.01120"
"3.66000","35.45627","0.01130"
"3.66600","35.45675","0.01140"
"3.67200","35.45723","0.01149"
"3.67800","35.45770","0.01148"
"3.68400","35.45824","0.01152"
"3.69000","35.45872","0.01158"
"3.69600","35.45920","0.01162"
"3.70200","35.45968","0.01161"
"3.70800","35.46022","0.01156"
"3.71400","35.46069","0.01144"
"3.72000","35.46117","0.01138"
"3.72600","35.46165","0.01139"
"3.73200","35.46219","0.01140"
"3.73800","35.46267","0.01141"
"3.74400","35.46314","0.01132"
