End date,"12/26/2016"
Specimen label,"11BG_81_1"
Maximum Load,"0.25816",N

Time,Extension,Load
(s),(mm),(N)
"2.61600","0.21823","0.00307"
"2.62200","0.21871","0.00317"
"2.62800","0.21919","0.00312"
"2.63400","0.21973","0.00308"
"2.64000","0.22020","0.00306"
"2.64600","0.22074","0.00302"
"2.65200","0.22122","0.00308"
"2.65800","0.22176","0.00315"
"2.66400","0.22224","0.00311"
"2.67000","0.22278","0.00318"
"2.67600","0.22325","0.00320"
"2.68200","0.22373","0.00313"
"2.68800","0.22427","0.00302"
"2.69400","0.22475","0.00286"
"2.70000","0.22523","0.00275"
"2.70600","0.22577","0.00280"
"2.71200","0.22624","0.00283"
"2.71800","0.22672","0.00290"
"2.72400","0.22720","0.00290"
"2.73000","0.22774","0.00303"
"2.73600","0.22822","0.00322"
"2.74200","0.22869","0.00339"
"2.74800","0.22923","0.00345"
"2.75400","0.22971","0.00353"
"2.76000","0.23025","0.00354"
"2.76600","0.23073","0.00338"
"2.77200","0.23127","0.00332"
"2.77800","0.23174","0.00323"
"2.78400","0.23222","0.00312"
"2.79000","0.23276","0.00301"
"2.79600","0.23324","0.00271"
"2.80200","0.23378","0.00245"
"2.80800","0.23426","0.00239"
"2.81400","0.23473","0.00245"
"2.82000","0.23521","0.00267"
"2.82600","0.23575","0.00282"
"2.83200","0.23623","0.00293"
"2.83800","0.23671","0.00307"
"2.84400","0.23719","0.00298"
"2.85000","0.23772","0.00287"
"2.85600","0.23820","0.00287"
"2.86200","0.23868","0.00291"
"2.86800","0.23922","0.00302"
"2.87400","0.23970","0.00308"
"2.88000","0.24017","0.00301"
"2.88600","0.24065","0.00292"
"2.89200","0.24119","0.00279"
"2.89800","0.24167","0.00268"
"2.90400","0.24215","0.00259"
"2.91000","0.24269","0.00251"
"2.91600","0.24316","0.00244"
"2.92200","0.24370","0.00249"
"2.92800","0.24418","0.00251"
"2.93400","0.24466","0.00245"
"2.94000","0.24520","0.00246"
