End date,"12/21/2016"
Specimen label,"24T_90"
Maximum Load,"1.06486",N

Time,Extension,Load
(s),(mm),(N)
"2.34600","0.19557","0.00139"
"2.35200","0.19605","0.00140"
"2.35800","0.19659","0.00148"
"2.36400","0.19707","0.00143"
"2.37000","0.19760","0.00137"
"2.37600","0.19808","0.00137"
"2.38200","0.19862","0.00136"
"2.38800","0.19910","0.00134"
"2.39400","0.19958","0.00129"
"2.40000","0.20012","0.00122"
"2.40600","0.20059","0.00121"
"2.41200","0.20113","0.00121"
"2.41800","0.20161","0.00123"
"2.42400","0.20215","0.00125"
"2.43000","0.20263","0.00123"
"2.43600","0.20316","0.00129"
"2.44200","0.20364","0.00133"
"2.44800","0.20418","0.00138"
"2.45400","0.20466","0.00145"
"2.46000","0.20520","0.00149"
"2.46600","0.20568","0.00145"
"2.47200","0.20615","0.00146"
"2.47800","0.20669","0.00154"
"2.48400","0.20717","0.00157"
"2.49000","0.20765","0.00158"
"2.49600","0.20819","0.00157"
"2.50200","0.20867","0.00153"
"2.50800","0.20920","0.00159"
"2.51400","0.20968","0.00151"
"2.52000","0.21016","0.00139"
"2.52600","0.21070","0.00131"
"2.53200","0.21118","0.00124"
"2.53800","0.21165","0.00117"
"2.54400","0.21219","0.00113"
"2.55000","0.21267","0.00119"
"2.55600","0.21315","0.00130"
"2.56200","0.21369","0.00133"
"2.56800","0.21417","0.00133"
"2.57400","0.21464","0.00136"
"2.58000","0.21518","0.00136"
"2.58600","0.21566","0.00142"
"2.59200","0.21620","0.00151"
"2.59800","0.21668","0.00153"
"2.60400","0.21722","0.00152"
"2.61000","0.21769","0.00153"
"2.61600","0.21817","0.00148"
"2.62200","0.21865","0.00148"
"2.62800","0.21919","0.00147"
"2.63400","0.21967","0.00142"
"2.64000","0.22015","0.00144"
"2.64600","0.22068","0.00142"
"2.65200","0.22116","0.00134"
"2.65800","0.22170","0.00133"
"2.66400","0.22218","0.00133"
"2.67000","0.22266","0.00129"
"2.67600","0.22319","0.00130"
"2.68200","0.22367","0.00128"
"2.68800","0.22415","0.00130"
"2.69400","0.22469","0.00134"
"2.70000","0.22517","0.00133"
"2.70600","0.22571","0.00137"
"2.71200","0.22618","0.00140"
