End date,"12/23/2016"
Specimen label,"21BG_UNK"
Maximum Load,"0.01081",N

Time,Extension,Load
(s),(mm),(N)
"3.89400","0.32466","0.00092"
"3.90000","0.32514","0.00082"
"3.90600","0.32567","0.00079"
"3.91200","0.32615","0.00071"
"3.91800","0.32663","0.00080"
"3.92400","0.32717","0.00096"
"3.93000","0.32765","0.00104"
"3.93600","0.32818","0.00109"
"3.94200","0.32866","0.00109"
"3.94800","0.32920","0.00095"
"3.95400","0.32968","0.00090"
"3.96000","0.33022","0.00089"
"3.96600","0.33070","0.00083"
"3.97200","0.33123","0.00087"
"3.97800","0.33171","0.00085"
"3.98400","0.33225","0.00072"
"3.99000","0.33273","0.00067"
"3.99600","0.33321","0.00060"
"4.00200","0.33375","0.00054"
"4.00800","0.33422","0.00058"
"4.01400","0.33470","0.00055"
"4.02000","0.33524","0.00060"
"4.02600","0.33572","0.00071"
"4.03200","0.33626","0.00073"
"4.03800","0.33673","0.00078"
"4.04400","0.33721","0.00084"
"4.05000","0.33775","0.00084"
"4.05600","0.33823","0.00096"
"4.06200","0.33871","0.00095"
"4.06800","0.33925","0.00089"
"4.07400","0.33972","0.00089"
"4.08000","0.34020","0.00080"
"4.08600","0.34074","0.00074"
"4.09200","0.34122","0.00086"
"4.09800","0.34170","0.00089"
"4.10400","0.34224","0.00083"
"4.11000","0.34271","0.00080"
"4.11600","0.34319","0.00076"
"4.12200","0.34373","0.00073"
"4.12800","0.34421","0.00060"
"4.13400","0.34475","0.00056"
"4.14000","0.34522","0.00054"
"4.14600","0.34570","0.00046"
"4.15200","0.34624","0.00045"
"4.15800","0.34672","0.00058"
"4.16400","0.34720","0.00065"
"4.17000","0.34774","0.00072"
"4.17600","0.34821","0.00081"
"4.18200","0.34869","0.00081"
"4.18800","0.34923","0.00087"
"4.19400","0.34971","0.00093"
"4.20000","0.35019","0.00109"
"4.20600","0.35073","0.00130"
"4.21200","0.35120","0.00132"
"4.21800","0.35168","0.00126"
"4.22400","0.35222","0.00128"
"4.23000","0.35270","0.00127"
"4.23600","0.35324","0.00123"
"4.24200","0.35371","0.00125"
"4.24800","0.35425","0.00119"
"4.25400","0.35473","0.00115"
"4.26000","0.35521","0.00115"
"4.26600","0.35575","0.00107"
"4.27200","0.35623","0.00107"
"4.27800","0.35670","0.00100"
"4.28400","0.35718","0.00085"
"4.29000","0.35772","0.00073"
"4.29600","0.35820","0.00060"
"4.30200","0.35868","0.00059"
"4.30800","0.35922","0.00068"
"4.31400","0.35969","0.00076"
"4.32000","0.36017","0.00085"
"4.32600","0.36071","0.00095"
"4.33200","0.36119","0.00105"
"4.33800","0.36167","0.00107"
"4.34400","0.36215","0.00107"
"4.35000","0.36268","0.00095"
"4.35600","0.36316","0.00089"
"4.36200","0.36364","0.00083"
"4.36800","0.36418","0.00078"
"4.37400","0.36466","0.00089"
"4.38000","0.36513","0.00098"
"4.38600","0.36567","0.00094"
"4.39200","0.36615","0.00089"
"4.39800","0.36663","0.00087"
"4.40400","0.36717","0.00102"
"4.41000","0.36765","0.00116"
"4.41600","0.36812","0.00121"
"4.42200","0.36866","0.00117"
"4.42800","0.36914","0.00098"
"4.43400","0.36968","0.00071"
"4.44000","0.37016","0.00065"
"4.44600","0.37064","0.00056"
"4.45200","0.37117","0.00044"
"4.45800","0.37165","0.00039"
"4.46400","0.37219","0.00041"
"4.47000","0.37267","0.00050"
"4.47600","0.37315","0.00051"
"4.48200","0.37368","0.00047"
"4.48800","0.37416","0.00054"
"4.49400","0.37464","0.00056"
"4.50000","0.37518","0.00055"
"4.50600","0.37566","0.00060"
"4.51200","0.37614","0.00062"
"4.51800","0.37667","0.00066"
"4.52400","0.37715","0.00078"
"4.53000","0.37769","0.00084"
"4.53600","0.37817","0.00088"
"4.54200","0.37871","0.00090"
"4.54800","0.37919","0.00074"
"4.55400","0.37972","0.00065"
"4.56000","0.38020","0.00064"
"4.56600","0.38068","0.00062"
"4.57200","0.38122","0.00067"
"4.57800","0.38170","0.00071"
"4.58400","0.38217","0.00074"
"4.59000","0.38271","0.00087"
"4.59600","0.38319","0.00096"
"4.60200","0.38367","0.00088"
"4.60800","0.38421","0.00078"
"4.61400","0.38469","0.00075"
"4.62000","0.38522","0.00079"
"4.62600","0.38570","0.00083"
"4.63200","0.38618","0.00085"
"4.63800","0.38672","0.00090"
"4.64400","0.38720","0.00088"
"4.65000","0.38774","0.00081"
"4.65600","0.38821","0.00092"
"4.66200","0.38869","0.00100"
"4.66800","0.38917","0.00105"
"4.67400","0.38971","0.00110"
"4.68000","0.39019","0.00104"
"4.68600","0.39072","0.00100"
"4.69200","0.39120","0.00107"
"4.69800","0.39168","0.00104"
"4.70400","0.39222","0.00099"
"4.71000","0.39270","0.00088"
"4.71600","0.39318","0.00078"
"4.72200","0.39371","0.00082"
"4.72800","0.39419","0.00086"
"4.73400","0.39467","0.00085"
"4.74000","0.39521","0.00092"
"4.74600","0.39569","0.00084"
"4.75200","0.39617","0.00069"
"4.75800","0.39670","0.00067"
"4.76400","0.39718","0.00062"
"4.77000","0.39772","0.00067"
"4.77600","0.39820","0.00072"
"4.78200","0.39868","0.00067"
"4.78800","0.39921","0.00067"
"4.79400","0.39969","0.00074"
"4.80000","0.40017","0.00079"
"4.80600","0.40065","0.00095"
"4.81200","0.40119","0.00100"
"4.81800","0.40167","0.00097"
"4.82400","0.40214","0.00097"
"4.83000","0.40268","0.00093"
"4.83600","0.40316","0.00080"
