End date,"12/23/2016"
Specimen label,"21AT_UNK"
Maximum Load,"0.00834",N

Time,Extension,Load
(s),(mm),(N)
"2.03400","0.16962","-0.00039"
"2.04000","0.17010","-0.00026"
"2.04600","0.17064","-0.00015"
"2.05200","0.17112","-0.00014"
"2.05800","0.17160","-0.00005"
"2.06400","0.17213","0.00018"
"2.07000","0.17261","0.00033"
"2.07600","0.17309","0.00031"
"2.08200","0.17357","0.00021"
"2.08800","0.17411","0.00005"
"2.09400","0.17459","-0.00007"
"2.10000","0.17512","-0.00006"
"2.10600","0.17560","-0.00006"
"2.11200","0.17608","-0.00010"
"2.11800","0.17662","-0.00024"
"2.12400","0.17710","-0.00032"
"2.13000","0.17757","-0.00016"
"2.13600","0.17811","0.00004"
"2.14200","0.17859","0.00012"
"2.14800","0.17913","0.00014"
"2.15400","0.17961","0.00006"
"2.16000","0.18015","-0.00007"
"2.16600","0.18062","-0.00013"
"2.17200","0.18116","-0.00019"
"2.17800","0.18164","-0.00022"
"2.18400","0.18212","-0.00024"
"2.19000","0.18266","-0.00030"
"2.19600","0.18314","-0.00031"
"2.20200","0.18361","-0.00025"
"2.20800","0.18409","-0.00015"
"2.21400","0.18463","0.00002"
"2.22000","0.18511","0.00008"
"2.22600","0.18559","0.00004"
"2.23200","0.18612","0.00004"
"2.23800","0.18660","0.00001"
"2.24400","0.18714","-0.00004"
"2.25000","0.18762","-0.00008"
"2.25600","0.18810","-0.00021"
"2.26200","0.18864","-0.00035"
"2.26800","0.18911","-0.00047"
"2.27400","0.18965","-0.00054"
"2.28000","0.19013","-0.00046"
"2.28600","0.19061","-0.00045"
"2.29200","0.19115","-0.00052"
"2.29800","0.19169","-0.00055"
"2.30400","0.19216","-0.00055"
"2.31000","0.19264","-0.00048"
"2.31600","0.19318","-0.00032"
"2.32200","0.19366","-0.00020"
"2.32800","0.19414","-0.00003"
"2.33400","0.19467","0.00007"
"2.34000","0.19515","0.00008"
"2.34600","0.19563","0.00013"
"2.35200","0.19617","0.00017"
"2.35800","0.19665","0.00014"
"2.36400","0.19713","0.00009"
"2.37000","0.19760","0.00006"
"2.37600","0.19808","0.00010"
"2.38200","0.19862","0.00017"
"2.38800","0.19910","0.00019"
"2.39400","0.19958","0.00017"
"2.40000","0.20012","0.00011"
"2.40600","0.20059","-0.00003"
"2.41200","0.20107","-0.00015"
"2.41800","0.20161","-0.00024"
"2.42400","0.20209","-0.00027"
"2.43000","0.20263","-0.00013"
"2.43600","0.20311","-0.00002"
"2.44200","0.20364","0.00007"
"2.44800","0.20412","0.00011"
"2.45400","0.20466","0.00007"
"2.46000","0.20514","0.00006"
"2.46600","0.20562","0.00001"
"2.47200","0.20615","-0.00016"
"2.47800","0.20663","-0.00036"
"2.48400","0.20711","-0.00052"
"2.49000","0.20765","-0.00060"
"2.49600","0.20813","-0.00060"
"2.50200","0.20861","-0.00061"
"2.50800","0.20908","-0.00055"
"2.51400","0.20962","-0.00050"
"2.52000","0.21010","-0.00052"
"2.52600","0.21058","-0.00045"
"2.53200","0.21106","-0.00027"
"2.53800","0.21154","-0.00016"
"2.54400","0.21207","-0.00013"
"2.55000","0.21255","-0.00007"
"2.55600","0.21309","-0.00003"
"2.56200","0.21357","0.00004"
"2.56800","0.21411","0.00013"
"2.57400","0.21458","0.00016"
"2.58000","0.21512","0.00024"
"2.58600","0.21560","0.00021"
"2.59200","0.21614","0.00015"
"2.59800","0.21662","0.00005"
"2.60400","0.21710","0.00003"
"2.61000","0.21763","-0.00010"
"2.61600","0.21811","-0.00019"
"2.62200","0.21859","-0.00025"
"2.62800","0.21913","-0.00021"
"2.63400","0.21961","-0.00015"
"2.64000","0.22015","-0.00015"
"2.64600","0.22062","-0.00014"
"2.65200","0.22116","-0.00013"
"2.65800","0.22164","-0.00020"
"2.66400","0.22212","-0.00020"
"2.67000","0.22266","-0.00016"
"2.67600","0.22313","-0.00011"
"2.68200","0.22361","-0.00006"
"2.68800","0.22415","-0.00005"
"2.69400","0.22463","-0.00001"
"2.70000","0.22511","0.00000"
"2.70600","0.22565","0.00000"
"2.71200","0.22612","0.00004"
"2.71800","0.22666","0.00000"
"2.72400","0.22714","-0.00014"
"2.73000","0.22762","-0.00021"
"2.73600","0.22816","-0.00027"
"2.74200","0.22864","-0.00031"
"2.74800","0.22911","-0.00020"
"2.75400","0.22965","-0.00013"
"2.76000","0.23013","-0.00018"
"2.76600","0.23061","-0.00027"
"2.77200","0.23115","-0.00039"
"2.77800","0.23162","-0.00040"
"2.78400","0.23216","-0.00034"
"2.79000","0.23264","-0.00029"
"2.79600","0.23312","-0.00022"
"2.80200","0.23366","-0.00018"
"2.80800","0.23414","-0.00018"
"2.81400","0.23467","-0.00016"
"2.82000","0.23515","-0.00016"
"2.82600","0.23563","-0.00020"
"2.83200","0.23617","-0.00025"
"2.83800","0.23665","-0.00033"
"2.84400","0.23719","-0.00033"
"2.85000","0.23766","-0.00027"
"2.85600","0.23814","-0.00026"
"2.86200","0.23868","-0.00015"
"2.86800","0.23916","-0.00012"
"2.87400","0.23970","-0.00016"
"2.88000","0.24017","-0.00014"
"2.88600","0.24065","-0.00014"
"2.89200","0.24119","-0.00019"
"2.89800","0.24167","-0.00018"
"2.90400","0.24215","-0.00017"
"2.91000","0.24263","-0.00014"
"2.91600","0.24316","0.00000"
"2.92200","0.24364","0.00004"
"2.92800","0.24412","0.00013"
"2.93400","0.24466","0.00034"
"2.94000","0.24514","0.00037"
"2.94600","0.24562","0.00030"
"2.95200","0.24615","0.00012"
"2.95800","0.24663","-0.00005"
"2.96400","0.24711","-0.00008"
"2.97000","0.24765","-0.00008"
"2.97600","0.24813","-0.00016"
"2.98200","0.24860","-0.00023"
"2.98800","0.24908","-0.00033"
"2.99400","0.24962","-0.00032"
"3.00000","0.25010","-0.00016"
"3.00600","0.25058","-0.00011"
"3.01200","0.25106","-0.00008"
"3.01800","0.25159","-0.00002"
