End date,"1/22/2017"
Specimen label,"3CT_17_run2"
Maximum Load,"0.29793",N

Time,Extension,Load
(s),(mm),(N)
"2.66400","10.92008","0.04125"
"2.67000","10.92062","0.04124"
"2.67600","10.92110","0.04121"
"2.68200","10.92157","0.04120"
"2.68800","10.92211","0.04121"
"2.69400","10.92259","0.04119"
"2.70000","10.92307","0.04119"
"2.70600","10.92361","0.04123"
"2.71200","10.92409","0.04128"
"2.71800","10.92456","0.04125"
"2.72400","10.92510","0.04116"
"2.73000","10.92558","0.04104"
"2.73600","10.92612","0.04097"
"2.74200","10.92660","0.04095"
"2.74800","10.92713","0.04093"
"2.75400","10.92761","0.04091"
"2.76000","10.92815","0.04086"
"2.76600","10.92863","0.04080"
"2.77200","10.92917","0.04074"
"2.77800","10.92965","0.04069"
"2.78400","10.93012","0.04070"
"2.79000","10.93066","0.04063"
"2.79600","10.93114","0.04056"
"2.80200","10.93162","0.04043"
"2.80800","10.93216","0.04038"
"2.81400","10.93264","0.04040"
"2.82000","10.93311","0.04047"
"2.82600","10.93359","0.04055"
"2.83200","10.93413","0.04054"
"2.83800","10.93461","0.04043"
"2.84400","10.93509","0.04036"
"2.85000","10.93556","0.04036"
"2.85600","10.93610","0.04041"
"2.86200","10.93658","0.04039"
"2.86800","10.93706","0.04035"
"2.87400","10.93760","0.04029"
"2.88000","10.93808","0.04025"
"2.88600","10.93855","0.04028"
"2.89200","10.93909","0.04025"
"2.89800","10.93957","0.04017"
"2.90400","10.94011","0.04009"
"2.91000","10.94059","0.04005"
"2.91600","10.94113","0.04001"
"2.92200","10.94160","0.04008"
"2.92800","10.94208","0.04013"
"2.93400","10.94262","0.04020"
"2.94000","10.94310","0.04030"
"2.94600","10.94358","0.04044"
"2.95200","10.94406","0.04050"
"2.95800","10.94459","0.04048"
"2.96400","10.94507","0.04040"
"2.97000","10.94555","0.04034"
"2.97600","10.94609","0.04027"
"2.98200","10.94657","0.04022"
"2.98800","10.94705","0.04024"
"2.99400","10.94752","0.04023"
"3.00000","10.94806","0.04023"
"3.00600","10.94854","0.04024"
"3.01200","10.94902","0.04029"
"3.01800","10.94956","0.04040"
"3.02400","10.95003","0.04048"
"3.03000","10.95057","0.04048"
"3.03600","10.95105","0.04039"
"3.04200","10.95159","0.04034"
"3.04800","10.95207","0.04034"
"3.05400","10.95261","0.04036"
"3.06000","10.95314","0.04038"
"3.06600","10.95362","0.04043"
"3.07200","10.95410","0.04054"
"3.07800","10.95464","0.04066"
"3.08400","10.95512","0.04075"
"3.09000","10.95560","0.04080"
"3.09600","10.95607","0.04081"
"3.10200","10.95661","0.04082"
"3.10800","10.95709","0.04080"
"3.11400","10.95757","0.04089"
"3.12000","10.95811","0.04105"
"3.12600","10.95858","0.04114"
"3.13200","10.95912","0.04114"
"3.13800","10.95960","0.04113"
"3.14400","10.96008","0.04114"
"3.15000","10.96062","0.04120"
"3.15600","10.96109","0.04130"
"3.16200","10.96163","0.04139"
"3.16800","10.96211","0.04141"
"3.17400","10.96259","0.04150"
"3.18000","10.96313","0.04163"
"3.18600","10.96361","0.04170"
"3.19200","10.96414","0.04181"
"3.19800","10.96462","0.04186"
"3.20400","10.96516","0.04187"
"3.21000","10.96564","0.04185"
"3.21600","10.96618","0.04182"
"3.22200","10.96665","0.04183"
"3.22800","10.96713","0.04180"
"3.23400","10.96767","0.04175"
"3.24000","10.96815","0.04173"
"3.24600","10.96863","0.04172"
"3.25200","10.96911","0.04170"
"3.25800","10.96964","0.04172"
"3.26400","10.97012","0.04173"
"3.27000","10.97060","0.04173"
"3.27600","10.97114","0.04171"
"3.28200","10.97162","0.04180"
"3.28800","10.97216","0.04184"
"3.29400","10.97263","0.04181"
"3.30000","10.97311","0.04181"
"3.30600","10.97359","0.04178"
"3.31200","10.97413","0.04166"
"3.31800","10.97461","0.04157"
"3.32400","10.97509","0.04156"
"3.33000","10.97562","0.04158"
"3.33600","10.97610","0.04159"
"3.34200","10.97664","0.04163"
"3.34800","10.97712","0.04167"
"3.35400","10.97766","0.04167"
"3.36000","10.97814","0.04159"
"3.36600","10.97861","0.04152"
"3.37200","10.97915","0.04147"
"3.37800","10.97963","0.04139"
"3.38400","10.98011","0.04130"
"3.39000","10.98059","0.04127"
"3.39600","10.98113","0.04122"
"3.40200","10.98160","0.04115"
"3.40800","10.98208","0.04116"
"3.41400","10.98256","0.04122"
"3.42000","10.98310","0.04128"
"3.42600","10.98358","0.04127"
"3.43200","10.98405","0.04122"
"3.43800","10.98459","0.04114"
"3.44400","10.98507","0.04107"
"3.45000","10.98555","0.04105"
"3.45600","10.98609","0.04101"
"3.46200","10.98657","0.04102"
"3.46800","10.98704","0.04101"
"3.47400","10.98758","0.04102"
"3.48000","10.98806","0.04102"
"3.48600","10.98860","0.04096"
"3.49200","10.98908","0.04092"
"3.49800","10.98962","0.04094"
"3.50400","10.99009","0.04087"
"3.51000","10.99057","0.04082"
"3.51600","10.99111","0.04085"
"3.52200","10.99159","0.04088"
"3.52800","10.99207","0.04085"
"3.53400","10.99255","0.04087"
"3.54000","10.99308","0.04089"
"3.54600","10.99356","0.04094"
"3.55200","10.99404","0.04100"
"3.55800","10.99458","0.04106"
"3.56400","10.99506","0.04111"
"3.57000","10.99559","0.04115"
"3.57600","10.99607","0.04119"
"3.58200","10.99655","0.04118"
"3.58800","10.99709","0.04124"
"3.59400","10.99757","0.04134"
"3.60000","10.99804","0.04141"
"3.60600","10.99858","0.04153"
"3.61200","10.99906","0.04165"
"3.61800","10.99960","0.04174"
"3.62400","11.00008","0.04183"
"3.63000","11.00062","0.04189"
"3.63600","11.00109","0.04183"
"3.64200","11.00163","0.04172"
"3.64800","11.00211","0.04168"
"3.65400","11.00265","0.04169"
"3.66000","11.00313","0.04176"
"3.66600","11.00360","0.04181"
"3.67200","11.00414","0.04181"
"3.67800","11.00462","0.04186"
"3.68400","11.00510","0.04192"
"3.69000","11.00564","0.04197"
"3.69600","11.00612","0.04198"
"3.70200","11.00659","0.04200"
"3.70800","11.00707","0.04202"
"3.71400","11.00761","0.04206"
"3.72000","11.00809","0.04208"
"3.72600","11.00857","0.04213"
"3.73200","11.00911","0.04217"
"3.73800","11.00958","0.04217"
"3.74400","11.01006","0.04230"
"3.75000","11.01060","0.04249"
"3.75600","11.01108","0.04265"
"3.76200","11.01162","0.04282"
"3.76800","11.01210","0.04297"
"3.77400","11.01263","0.04304"
"3.78000","11.01311","0.04307"
"3.78600","11.01365","0.04309"
"3.79200","11.01413","0.04302"
"3.79800","11.01467","0.04295"
"3.80400","11.01514","0.04293"
"3.81000","11.01562","0.04293"
"3.81600","11.01616","0.04299"
"3.82200","11.01664","0.04310"
"3.82800","11.01718","0.04324"
"3.83400","11.01766","0.04318"
"3.84000","11.01813","0.04308"
"3.84600","11.01867","0.04309"
"3.85200","11.01915","0.04312"
"3.85800","11.01963","0.04308"
"3.86400","11.02011","0.04306"
"3.87000","11.02065","0.04301"
"3.87600","11.02112","0.04299"
"3.88200","11.02160","0.04289"
"3.88800","11.02214","0.04282"
"3.89400","11.02262","0.04281"
"3.90000","11.02310","0.04276"
"3.90600","11.02364","0.04272"
"3.91200","11.02411","0.04276"
"3.91800","11.02465","0.04284"
"3.92400","11.02513","0.04288"
"3.93000","11.02561","0.04289"
"3.93600","11.02615","0.04282"
"3.94200","11.02663","0.04271"
"3.94800","11.02710","0.04267"
