End date,"2/26/2017"
Specimen label,"6AT_44"
Maximum Load,"0.06217",N

Time,Extension,Load
(s),(mm),(N)
"2.69400","0.22469","0.00294"
"2.70000","0.22517","0.00295"
"2.70600","0.22571","0.00286"
"2.71200","0.22618","0.00274"
"2.71800","0.22666","0.00261"
"2.72400","0.22720","0.00243"
"2.73000","0.22768","0.00234"
"2.73600","0.22816","0.00223"
"2.74200","0.22869","0.00215"
"2.74800","0.22917","0.00210"
"2.75400","0.22965","0.00214"
"2.76000","0.23019","0.00217"
"2.76600","0.23067","0.00226"
"2.77200","0.23115","0.00228"
"2.77800","0.23168","0.00226"
"2.78400","0.23216","0.00236"
"2.79000","0.23264","0.00250"
"2.79600","0.23318","0.00263"
"2.80200","0.23366","0.00265"
"2.80800","0.23414","0.00262"
"2.81400","0.23467","0.00257"
"2.82000","0.23515","0.00241"
"2.82600","0.23563","0.00241"
"2.83200","0.23611","0.00261"
"2.83800","0.23665","0.00275"
"2.84400","0.23713","0.00287"
"2.85000","0.23766","0.00296"
"2.85600","0.23814","0.00288"
"2.86200","0.23862","0.00273"
"2.86800","0.23916","0.00257"
"2.87400","0.23964","0.00245"
"2.88000","0.24017","0.00238"
"2.88600","0.24065","0.00226"
"2.89200","0.24113","0.00223"
"2.89800","0.24167","0.00229"
"2.90400","0.24215","0.00236"
"2.91000","0.24263","0.00245"
"2.91600","0.24316","0.00250"
"2.92200","0.24364","0.00245"
"2.92800","0.24418","0.00239"
"2.93400","0.24466","0.00247"
"2.94000","0.24514","0.00253"
"2.94600","0.24562","0.00253"
"2.95200","0.24615","0.00252"
"2.95800","0.24663","0.00245"
"2.96400","0.24717","0.00242"
"2.97000","0.24765","0.00250"
"2.97600","0.24813","0.00268"
"2.98200","0.24866","0.00287"
"2.98800","0.24914","0.00282"
"2.99400","0.24968","0.00269"
"3.00000","0.25016","0.00251"
"3.00600","0.25070","0.00229"
"3.01200","0.25118","0.00217"
"3.01800","0.25171","0.00223"
"3.02400","0.25219","0.00233"
"3.03000","0.25267","0.00245"
"3.03600","0.25321","0.00259"
"3.04200","0.25369","0.00264"
"3.04800","0.25417","0.00253"
"3.05400","0.25470","0.00243"
"3.06000","0.25518","0.00238"
"3.06600","0.25566","0.00236"
"3.07200","0.25620","0.00222"
"3.07800","0.25668","0.00213"
"3.08400","0.25715","0.00210"
"3.09000","0.25769","0.00211"
"3.09600","0.25817","0.00215"
"3.10200","0.25865","0.00227"
