End date,"2/26/2017"
Specimen label,"1AT_2.2"
Maximum Load,"0.00830",N

Time,Extension,Load
(s),(mm),(N)
"3.53400","0.29464","0.00067"
"3.54000","0.29518","0.00063"
"3.54600","0.29566","0.00050"
"3.55200","0.29614","0.00030"
"3.55800","0.29668","0.00017"
"3.56400","0.29715","0.00012"
"3.57000","0.29763","0.00015"
"3.57600","0.29817","0.00019"
"3.58200","0.29865","0.00026"
"3.58800","0.29919","0.00044"
"3.59400","0.29967","0.00057"
"3.60000","0.30014","0.00066"
"3.60600","0.30062","0.00064"
"3.61200","0.30116","0.00055"
"3.61800","0.30164","0.00037"
"3.62400","0.30218","0.00029"
"3.63000","0.30265","0.00030"
"3.63600","0.30313","0.00038"
"3.64200","0.30367","0.00040"
"3.64800","0.30415","0.00039"
"3.65400","0.30463","0.00033"
"3.66000","0.30517","0.00024"
"3.66600","0.30564","0.00017"
"3.67200","0.30612","0.00022"
"3.67800","0.30666","0.00038"
"3.68400","0.30714","0.00056"
"3.69000","0.30768","0.00067"
"3.69600","0.30816","0.00076"
"3.70200","0.30863","0.00077"
"3.70800","0.30917","0.00072"
"3.71400","0.30965","0.00070"
"3.72000","0.31019","0.00078"
"3.72600","0.31067","0.00094"
"3.73200","0.31114","0.00102"
"3.73800","0.31168","0.00104"
"3.74400","0.31216","0.00104"
"3.75000","0.31264","0.00102"
"3.75600","0.31312","0.00078"
"3.76200","0.31366","0.00051"
"3.76800","0.31413","0.00041"
"3.77400","0.31467","0.00036"
"3.78000","0.31515","0.00034"
"3.78600","0.31563","0.00041"
"3.79200","0.31617","0.00058"
"3.79800","0.31665","0.00074"
"3.80400","0.31718","0.00074"
"3.81000","0.31766","0.00071"
"3.81600","0.31820","0.00071"
"3.82200","0.31868","0.00068"
"3.82800","0.31916","0.00065"
"3.83400","0.31969","0.00050"
"3.84000","0.32017","0.00038"
"3.84600","0.32071","0.00043"
"3.85200","0.32119","0.00046"
"3.85800","0.32173","0.00057"
"3.86400","0.32221","0.00080"
"3.87000","0.32274","0.00089"
"3.87600","0.32322","0.00090"
"3.88200","0.32370","0.00087"
"3.88800","0.32424","0.00081"
"3.89400","0.32472","0.00079"
"3.90000","0.32520","0.00075"
"3.90600","0.32573","0.00073"
"3.91200","0.32621","0.00066"
"3.91800","0.32675","0.00044"
"3.92400","0.32723","0.00034"
"3.93000","0.32777","0.00030"
"3.93600","0.32824","0.00026"
"3.94200","0.32878","0.00026"
"3.94800","0.32926","0.00040"
"3.95400","0.32974","0.00056"
"3.96000","0.33022","0.00074"
"3.96600","0.33076","0.00091"
"3.97200","0.33123","0.00096"
"3.97800","0.33171","0.00098"
"3.98400","0.33219","0.00097"
"3.99000","0.33273","0.00101"
"3.99600","0.33321","0.00098"
"4.00200","0.33369","0.00082"
"4.00800","0.33422","0.00079"
"4.01400","0.33470","0.00087"
"4.02000","0.33524","0.00090"
"4.02600","0.33572","0.00084"
"4.03200","0.33620","0.00073"
"4.03800","0.33673","0.00064"
"4.04400","0.33721","0.00055"
"4.05000","0.33769","0.00041"
"4.05600","0.33823","0.00039"
"4.06200","0.33871","0.00038"
"4.06800","0.33925","0.00038"
"4.07400","0.33972","0.00035"
"4.08000","0.34020","0.00034"
"4.08600","0.34074","0.00031"
"4.09200","0.34122","0.00040"
"4.09800","0.34170","0.00062"
"4.10400","0.34224","0.00074"
"4.11000","0.34271","0.00074"
"4.11600","0.34319","0.00066"
"4.12200","0.34373","0.00063"
"4.12800","0.34421","0.00063"
"4.13400","0.34469","0.00049"
"4.14000","0.34522","0.00043"
"4.14600","0.34570","0.00045"
"4.15200","0.34618","0.00049"
"4.15800","0.34666","0.00051"
"4.16400","0.34720","0.00064"
"4.17000","0.34768","0.00071"
"4.17600","0.34815","0.00069"
"4.18200","0.34869","0.00072"
"4.18800","0.34917","0.00068"
"4.19400","0.34971","0.00060"
"4.20000","0.35019","0.00048"
"4.20600","0.35067","0.00044"
"4.21200","0.35120","0.00043"
"4.21800","0.35174","0.00039"
"4.22400","0.35222","0.00037"
"4.23000","0.35270","0.00036"
"4.23600","0.35324","0.00036"
"4.24200","0.35371","0.00044"
"4.24800","0.35425","0.00055"
"4.25400","0.35473","0.00060"
"4.26000","0.35521","0.00059"
"4.26600","0.35569","0.00053"
"4.27200","0.35617","0.00049"
"4.27800","0.35670","0.00057"
"4.28400","0.35718","0.00064"
"4.29000","0.35766","0.00069"
"4.29600","0.35820","0.00068"
"4.30200","0.35868","0.00057"
"4.30800","0.35916","0.00055"
"4.31400","0.35969","0.00044"
"4.32000","0.36017","0.00029"
"4.32600","0.36071","0.00036"
"4.33200","0.36119","0.00049"
"4.33800","0.36173","0.00065"
"4.34400","0.36220","0.00057"
"4.35000","0.36268","0.00046"
"4.35600","0.36322","0.00035"
"4.36200","0.36376","0.00021"
"4.36800","0.36424","0.00015"
"4.37400","0.36472","0.00019"
"4.38000","0.36519","0.00037"
"4.38600","0.36573","0.00058"
"4.39200","0.36621","0.00065"
"4.39800","0.36669","0.00064"
"4.40400","0.36723","0.00067"
"4.41000","0.36771","0.00062"
"4.41600","0.36818","0.00057"
"4.42200","0.36872","0.00059"
"4.42800","0.36920","0.00061"
"4.43400","0.36968","0.00068"
"4.44000","0.37022","0.00073"
"4.44600","0.37070","0.00072"
"4.45200","0.37117","0.00065"
"4.45800","0.37171","0.00068"
"4.46400","0.37219","0.00074"
"4.47000","0.37267","0.00071"
"4.47600","0.37321","0.00057"
"4.48200","0.37368","0.00051"
"4.48800","0.37422","0.00049"
"4.49400","0.37470","0.00062"
"4.50000","0.37524","0.00075"
"4.50600","0.37572","0.00074"
"4.51200","0.37626","0.00059"
"4.51800","0.37673","0.00040"
"4.52400","0.37727","0.00024"
"4.53000","0.37775","0.00016"
"4.53600","0.37823","0.00017"
"4.54200","0.37871","0.00027"
"4.54800","0.37925","0.00029"
"4.55400","0.37972","0.00030"
"4.56000","0.38020","0.00034"
"4.56600","0.38074","0.00037"
"4.57200","0.38122","0.00047"
"4.57800","0.38170","0.00052"
"4.58400","0.38223","0.00040"
"4.59000","0.38271","0.00031"
"4.59600","0.38319","0.00020"
"4.60200","0.38373","0.00009"
"4.60800","0.38421","0.00023"
"4.61400","0.38469","0.00044"
"4.62000","0.38522","0.00069"
"4.62600","0.38570","0.00084"
"4.63200","0.38618","0.00092"
"4.63800","0.38672","0.00103"
"4.64400","0.38720","0.00109"
"4.65000","0.38774","0.00111"
"4.65600","0.38821","0.00108"
"4.66200","0.38869","0.00101"
"4.66800","0.38923","0.00083"
"4.67400","0.38971","0.00068"
"4.68000","0.39019","0.00060"
"4.68600","0.39066","0.00053"
"4.69200","0.39114","0.00056"
"4.69800","0.39168","0.00057"
"4.70400","0.39216","0.00053"
"4.71000","0.39264","0.00050"
"4.71600","0.39312","0.00038"
"4.72200","0.39365","0.00035"
"4.72800","0.39413","0.00031"
"4.73400","0.39461","0.00031"
"4.74000","0.39515","0.00040"
"4.74600","0.39563","0.00044"
"4.75200","0.39611","0.00035"
"4.75800","0.39658","0.00022"
"4.76400","0.39712","0.00026"
"4.77000","0.39760","0.00044"
"4.77600","0.39814","0.00043"
"4.78200","0.39862","0.00034"
"4.78800","0.39915","0.00025"
"4.79400","0.39963","0.00019"
"4.80000","0.40017","0.00015"
"4.80600","0.40071","0.00005"
"4.81200","0.40119","0.00006"
"4.81800","0.40167","0.00019"
