End date,"12/23/2016"
Specimen label,"17BC_36"
Maximum Load,"1.60068",N

Time,Extension,Load
(s),(mm),(N)
"2.18400","0.18224","0.00456"
"2.19000","0.18272","0.00452"
"2.19600","0.18320","0.00452"
"2.20200","0.18367","0.00461"
"2.20800","0.18421","0.00466"
"2.21400","0.18469","0.00467"
"2.22000","0.18517","0.00465"
"2.22600","0.18565","0.00464"
"2.23200","0.18618","0.00471"
"2.23800","0.18666","0.00488"
"2.24400","0.18714","0.00502"
"2.25000","0.18768","0.00511"
"2.25600","0.18816","0.00519"
"2.26200","0.18864","0.00521"
"2.26800","0.18917","0.00515"
"2.27400","0.18971","0.00508"
"2.28000","0.19019","0.00497"
"2.28600","0.19073","0.00509"
"2.29200","0.19121","0.00522"
"2.29800","0.19175","0.00517"
"2.30400","0.19222","0.00505"
"2.31000","0.19270","0.00495"
"2.31600","0.19318","0.00488"
"2.32200","0.19372","0.00489"
"2.32800","0.19420","0.00488"
"2.33400","0.19467","0.00494"
"2.34000","0.19515","0.00503"
"2.34600","0.19569","0.00494"
"2.35200","0.19617","0.00490"
"2.35800","0.19671","0.00499"
"2.36400","0.19719","0.00500"
"2.37000","0.19772","0.00499"
"2.37600","0.19820","0.00501"
"2.38200","0.19874","0.00498"
"2.38800","0.19922","0.00499"
"2.39400","0.19970","0.00501"
"2.40000","0.20024","0.00509"
"2.40600","0.20077","0.00509"
"2.41200","0.20125","0.00508"
"2.41800","0.20179","0.00505"
"2.42400","0.20227","0.00501"
"2.43000","0.20281","0.00505"
"2.43600","0.20328","0.00518"
"2.44200","0.20382","0.00524"
"2.44800","0.20430","0.00522"
"2.45400","0.20478","0.00523"
"2.46000","0.20526","0.00522"
"2.46600","0.20580","0.00523"
"2.47200","0.20627","0.00527"
"2.47800","0.20675","0.00522"
"2.48400","0.20723","0.00518"
"2.49000","0.20771","0.00514"
"2.49600","0.20825","0.00516"
"2.50200","0.20873","0.00521"
"2.50800","0.20920","0.00527"
"2.51400","0.20968","0.00521"
"2.52000","0.21022","0.00523"
"2.52600","0.21070","0.00533"
"2.53200","0.21118","0.00538"
"2.53800","0.21171","0.00534"
"2.54400","0.21219","0.00524"
"2.55000","0.21273","0.00521"
"2.55600","0.21321","0.00525"
"2.56200","0.21375","0.00526"
"2.56800","0.21429","0.00523"
"2.57400","0.21476","0.00518"
"2.58000","0.21524","0.00508"
"2.58600","0.21578","0.00511"
"2.59200","0.21626","0.00514"
"2.59800","0.21674","0.00516"
"2.60400","0.21722","0.00513"
"2.61000","0.21775","0.00513"
"2.61600","0.21823","0.00521"
"2.62200","0.21871","0.00533"
"2.62800","0.21919","0.00539"
"2.63400","0.21973","0.00543"
"2.64000","0.22020","0.00558"
"2.64600","0.22068","0.00575"
"2.65200","0.22122","0.00591"
"2.65800","0.22170","0.00591"
"2.66400","0.22218","0.00594"
"2.67000","0.22272","0.00597"
"2.67600","0.22319","0.00596"
"2.68200","0.22373","0.00593"
"2.68800","0.22421","0.00588"
"2.69400","0.22469","0.00589"
"2.70000","0.22523","0.00598"
"2.70600","0.22577","0.00603"
"2.71200","0.22624","0.00597"
"2.71800","0.22678","0.00597"
"2.72400","0.22726","0.00589"
"2.73000","0.22774","0.00573"
"2.73600","0.22822","0.00566"
"2.74200","0.22875","0.00555"
"2.74800","0.22923","0.00549"
"2.75400","0.22971","0.00551"
"2.76000","0.23019","0.00555"
"2.76600","0.23067","0.00567"
"2.77200","0.23121","0.00580"
"2.77800","0.23168","0.00582"
"2.78400","0.23216","0.00586"
"2.79000","0.23264","0.00593"
"2.79600","0.23318","0.00590"
"2.80200","0.23366","0.00601"
"2.80800","0.23414","0.00608"
"2.81400","0.23461","0.00610"
"2.82000","0.23515","0.00608"
"2.82600","0.23563","0.00608"
"2.83200","0.23617","0.00605"
"2.83800","0.23665","0.00597"
"2.84400","0.23719","0.00594"
"2.85000","0.23766","0.00595"
"2.85600","0.23820","0.00597"
"2.86200","0.23874","0.00599"
"2.86800","0.23922","0.00600"
"2.87400","0.23970","0.00605"
"2.88000","0.24017","0.00610"
"2.88600","0.24071","0.00608"
"2.89200","0.24119","0.00610"
"2.89800","0.24167","0.00620"
"2.90400","0.24221","0.00635"
"2.91000","0.24269","0.00633"
"2.91600","0.24322","0.00638"
"2.92200","0.24370","0.00638"
"2.92800","0.24424","0.00629"
"2.93400","0.24472","0.00624"
"2.94000","0.24526","0.00623"
"2.94600","0.24573","0.00613"
"2.95200","0.24621","0.00601"
"2.95800","0.24675","0.00597"
"2.96400","0.24723","0.00603"
"2.97000","0.24771","0.00626"
"2.97600","0.24825","0.00638"
"2.98200","0.24872","0.00646"
"2.98800","0.24926","0.00655"
"2.99400","0.24974","0.00645"
"3.00000","0.25028","0.00635"
"3.00600","0.25076","0.00638"
"3.01200","0.25130","0.00640"
"3.01800","0.25177","0.00640"
"3.02400","0.25225","0.00638"
"3.03000","0.25273","0.00633"
"3.03600","0.25327","0.00625"
"3.04200","0.25375","0.00630"
"3.04800","0.25423","0.00638"
"3.05400","0.25470","0.00645"
"3.06000","0.25524","0.00641"
"3.06600","0.25572","0.00641"
"3.07200","0.25626","0.00654"
"3.07800","0.25674","0.00665"
"3.08400","0.25721","0.00671"
"3.09000","0.25775","0.00677"
"3.09600","0.25823","0.00667"
"3.10200","0.25871","0.00670"
"3.10800","0.25925","0.00680"
"3.11400","0.25973","0.00690"
"3.12000","0.26020","0.00688"
"3.12600","0.26068","0.00682"
"3.13200","0.26122","0.00679"
"3.13800","0.26170","0.00685"
"3.14400","0.26224","0.00687"
"3.15000","0.26272","0.00685"
"3.15600","0.26325","0.00691"
"3.16200","0.26373","0.00694"
"3.16800","0.26421","0.00698"
"3.17400","0.26475","0.00694"
"3.18000","0.26523","0.00681"
"3.18600","0.26570","0.00683"
"3.19200","0.26618","0.00677"
"3.19800","0.26672","0.00665"
"3.20400","0.26720","0.00653"
"3.21000","0.26768","0.00651"
"3.21600","0.26822","0.00668"
"3.22200","0.26869","0.00680"
"3.22800","0.26923","0.00674"
"3.23400","0.26971","0.00667"
"3.24000","0.27019","0.00675"
"3.24600","0.27073","0.00685"
"3.25200","0.27121","0.00701"
"3.25800","0.27168","0.00712"
"3.26400","0.27222","0.00717"
"3.27000","0.27270","0.00728"
"3.27600","0.27318","0.00731"
"3.28200","0.27372","0.00729"
"3.28800","0.27419","0.00718"
"3.29400","0.27473","0.00698"
"3.30000","0.27521","0.00688"
"3.30600","0.27575","0.00685"
"3.31200","0.27623","0.00682"
"3.31800","0.27671","0.00692"
"3.32400","0.27718","0.00703"
"3.33000","0.27772","0.00703"
"3.33600","0.27820","0.00698"
"3.34200","0.27868","0.00698"
"3.34800","0.27922","0.00702"
"3.35400","0.27970","0.00712"
"3.36000","0.28017","0.00725"
"3.36600","0.28071","0.00731"
"3.37200","0.28119","0.00736"
"3.37800","0.28173","0.00736"
"3.38400","0.28221","0.00740"
"3.39000","0.28268","0.00739"
"3.39600","0.28322","0.00732"
"3.40200","0.28370","0.00715"
"3.40800","0.28424","0.00701"
"3.41400","0.28472","0.00699"
"3.42000","0.28526","0.00703"
"3.42600","0.28573","0.00710"
"3.43200","0.28627","0.00724"
"3.43800","0.28675","0.00732"
"3.44400","0.28729","0.00741"
"3.45000","0.28777","0.00757"
"3.45600","0.28825","0.00770"
"3.46200","0.28872","0.00761"
"3.46800","0.28926","0.00746"
"3.47400","0.28974","0.00724"
"3.48000","0.29022","0.00704"
"3.48600","0.29076","0.00691"
"3.49200","0.29123","0.00685"
"3.49800","0.29171","0.00696"
"3.50400","0.29225","0.00718"
"3.51000","0.29273","0.00724"
"3.51600","0.29321","0.00738"
"3.52200","0.29375","0.00755"
"3.52800","0.29422","0.00763"
"3.53400","0.29470","0.00769"
"3.54000","0.29518","0.00772"
"3.54600","0.29572","0.00765"
"3.55200","0.29620","0.00751"
"3.55800","0.29674","0.00741"
"3.56400","0.29721","0.00738"
"3.57000","0.29775","0.00732"
"3.57600","0.29823","0.00725"
"3.58200","0.29877","0.00724"
"3.58800","0.29925","0.00731"
"3.59400","0.29978","0.00734"
"3.60000","0.30026","0.00740"
"3.60600","0.30080","0.00742"
"3.61200","0.30128","0.00745"
"3.61800","0.30176","0.00752"
"3.62400","0.30230","0.00762"
"3.63000","0.30277","0.00768"
"3.63600","0.30325","0.00767"
"3.64200","0.30379","0.00754"
"3.64800","0.30427","0.00748"
"3.65400","0.30475","0.00755"
"3.66000","0.30523","0.00762"
"3.66600","0.30576","0.00768"
"3.67200","0.30624","0.00768"
"3.67800","0.30672","0.00757"
"3.68400","0.30726","0.00747"
"3.69000","0.30774","0.00736"
"3.69600","0.30822","0.00733"
"3.70200","0.30875","0.00748"
"3.70800","0.30923","0.00760"
"3.71400","0.30977","0.00759"
"3.72000","0.31025","0.00763"
"3.72600","0.31079","0.00765"
"3.73200","0.31126","0.00771"
"3.73800","0.31174","0.00774"
"3.74400","0.31228","0.00768"
"3.75000","0.31276","0.00751"
"3.75600","0.31324","0.00752"
"3.76200","0.31372","0.00756"
"3.76800","0.31419","0.00758"
"3.77400","0.31467","0.00754"
"3.78000","0.31521","0.00741"
"3.78600","0.31569","0.00727"
"3.79200","0.31617","0.00718"
"3.79800","0.31671","0.00727"
"3.80400","0.31718","0.00744"
"3.81000","0.31766","0.00754"
"3.81600","0.31820","0.00749"
"3.82200","0.31868","0.00750"
"3.82800","0.31916","0.00754"
"3.83400","0.31969","0.00769"
"3.84000","0.32017","0.00788"
"3.84600","0.32071","0.00794"
"3.85200","0.32119","0.00796"
"3.85800","0.32173","0.00798"
"3.86400","0.32221","0.00803"
"3.87000","0.32274","0.00800"
"3.87600","0.32322","0.00787"
"3.88200","0.32370","0.00769"
"3.88800","0.32424","0.00766"
"3.89400","0.32472","0.00762"
"3.90000","0.32520","0.00766"
"3.90600","0.32573","0.00777"
"3.91200","0.32621","0.00781"
"3.91800","0.32675","0.00785"
"3.92400","0.32723","0.00788"
"3.93000","0.32771","0.00792"
"3.93600","0.32818","0.00798"
"3.94200","0.32872","0.00801"
"3.94800","0.32920","0.00804"
"3.95400","0.32968","0.00809"
"3.96000","0.33022","0.00800"
"3.96600","0.33070","0.00791"
"3.97200","0.33123","0.00787"
"3.97800","0.33171","0.00775"
"3.98400","0.33225","0.00758"
"3.99000","0.33273","0.00751"
"3.99600","0.33327","0.00748"
"4.00200","0.33375","0.00763"
"4.00800","0.33428","0.00778"
"4.01400","0.33476","0.00789"
"4.02000","0.33530","0.00796"
"4.02600","0.33578","0.00795"
"4.03200","0.33626","0.00799"
"4.03800","0.33679","0.00817"
"4.04400","0.33727","0.00831"
"4.05000","0.33775","0.00848"
"4.05600","0.33823","0.00866"
"4.06200","0.33871","0.00869"
"4.06800","0.33925","0.00864"
"4.07400","0.33972","0.00864"
"4.08000","0.34020","0.00863"
"4.08600","0.34068","0.00869"
"4.09200","0.34122","0.00867"
"4.09800","0.34170","0.00858"
"4.10400","0.34218","0.00853"
"4.11000","0.34265","0.00852"
"4.11600","0.34319","0.00847"
"4.12200","0.34367","0.00846"
"4.12800","0.34421","0.00836"
"4.13400","0.34469","0.00831"
"4.14000","0.34522","0.00832"
"4.14600","0.34576","0.00835"
"4.15200","0.34624","0.00844"
"4.15800","0.34672","0.00848"
"4.16400","0.34726","0.00847"
"4.17000","0.34774","0.00848"
"4.17600","0.34821","0.00839"
"4.18200","0.34875","0.00828"
"4.18800","0.34923","0.00828"
"4.19400","0.34971","0.00819"
"4.20000","0.35025","0.00810"
"4.20600","0.35073","0.00814"
"4.21200","0.35120","0.00822"
"4.21800","0.35174","0.00836"
"4.22400","0.35222","0.00848"
"4.23000","0.35270","0.00848"
"4.23600","0.35318","0.00853"
"4.24200","0.35366","0.00859"
"4.24800","0.35419","0.00872"
"4.25400","0.35467","0.00894"
"4.26000","0.35521","0.00900"
"4.26600","0.35569","0.00882"
"4.27200","0.35617","0.00870"
"4.27800","0.35670","0.00864"
"4.28400","0.35718","0.00876"
"4.29000","0.35772","0.00875"
"4.29600","0.35820","0.00858"
"4.30200","0.35868","0.00844"
"4.30800","0.35922","0.00842"
"4.31400","0.35969","0.00842"
"4.32000","0.36017","0.00852"
"4.32600","0.36065","0.00852"
"4.33200","0.36119","0.00843"
"4.33800","0.36167","0.00839"
"4.34400","0.36215","0.00835"
"4.35000","0.36268","0.00838"
"4.35600","0.36316","0.00847"
"4.36200","0.36364","0.00846"
"4.36800","0.36418","0.00846"
"4.37400","0.36466","0.00853"
"4.38000","0.36513","0.00854"
"4.38600","0.36567","0.00864"
"4.39200","0.36615","0.00869"
"4.39800","0.36663","0.00871"
"4.40400","0.36717","0.00875"
"4.41000","0.36765","0.00856"
"4.41600","0.36812","0.00837"
"4.42200","0.36866","0.00840"
"4.42800","0.36920","0.00840"
"4.43400","0.36968","0.00840"
"4.44000","0.37022","0.00836"
"4.44600","0.37070","0.00835"
"4.45200","0.37123","0.00840"
"4.45800","0.37171","0.00850"
"4.46400","0.37219","0.00859"
"4.47000","0.37273","0.00868"
"4.47600","0.37321","0.00867"
"4.48200","0.37374","0.00860"
"4.48800","0.37422","0.00864"
"4.49400","0.37470","0.00867"
"4.50000","0.37524","0.00871"
"4.50600","0.37572","0.00879"
"4.51200","0.37626","0.00887"
"4.51800","0.37673","0.00895"
"4.52400","0.37727","0.00903"
"4.53000","0.37775","0.00913"
"4.53600","0.37823","0.00916"
"4.54200","0.37871","0.00918"
"4.54800","0.37925","0.00929"
"4.55400","0.37972","0.00943"
"4.56000","0.38026","0.00943"
"4.56600","0.38074","0.00933"
"4.57200","0.38122","0.00924"
"4.57800","0.38176","0.00913"
"4.58400","0.38223","0.00911"
"4.59000","0.38277","0.00916"
"4.59600","0.38325","0.00909"
"4.60200","0.38373","0.00904"
"4.60800","0.38427","0.00904"
"4.61400","0.38475","0.00909"
"4.62000","0.38522","0.00914"
"4.62600","0.38576","0.00917"
"4.63200","0.38624","0.00927"
"4.63800","0.38672","0.00938"
"4.64400","0.38726","0.00930"
"4.65000","0.38774","0.00913"
"4.65600","0.38821","0.00907"
"4.66200","0.38875","0.00903"
"4.66800","0.38923","0.00897"
"4.67400","0.38971","0.00887"
"4.68000","0.39025","0.00877"
"4.68600","0.39072","0.00894"
"4.69200","0.39120","0.00909"
"4.69800","0.39174","0.00927"
"4.70400","0.39222","0.00941"
"4.71000","0.39276","0.00939"
