End date,"12/23/2016"
Specimen label,"24DG_92"
Maximum Load,"0.21653",N

Time,Extension,Load
(s),(mm),(N)
"2.83200","0.23611","0.00223"
"2.83800","0.23665","0.00220"
"2.84400","0.23713","0.00221"
"2.85000","0.23760","0.00222"
"2.85600","0.23814","0.00209"
"2.86200","0.23868","0.00209"
"2.86800","0.23916","0.00213"
"2.87400","0.23970","0.00213"
"2.88000","0.24017","0.00217"
"2.88600","0.24071","0.00223"
"2.89200","0.24119","0.00232"
"2.89800","0.24167","0.00230"
"2.90400","0.24221","0.00218"
"2.91000","0.24269","0.00201"
"2.91600","0.24316","0.00193"
"2.92200","0.24370","0.00191"
"2.92800","0.24418","0.00195"
"2.93400","0.24472","0.00207"
"2.94000","0.24520","0.00214"
"2.94600","0.24568","0.00216"
"2.95200","0.24615","0.00219"
"2.95800","0.24669","0.00229"
"2.96400","0.24717","0.00237"
"2.97000","0.24771","0.00243"
"2.97600","0.24819","0.00240"
"2.98200","0.24866","0.00238"
"2.98800","0.24920","0.00238"
"2.99400","0.24968","0.00240"
"3.00000","0.25016","0.00245"
"3.00600","0.25070","0.00247"
"3.01200","0.25118","0.00243"
"3.01800","0.25171","0.00235"
"3.02400","0.25219","0.00234"
"3.03000","0.25273","0.00239"
"3.03600","0.25321","0.00242"
"3.04200","0.25375","0.00247"
"3.04800","0.25423","0.00248"
"3.05400","0.25470","0.00244"
"3.06000","0.25524","0.00243"
"3.06600","0.25572","0.00243"
"3.07200","0.25620","0.00236"
"3.07800","0.25674","0.00229"
"3.08400","0.25721","0.00230"
"3.09000","0.25769","0.00237"
"3.09600","0.25823","0.00261"
"3.10200","0.25871","0.00275"
"3.10800","0.25919","0.00268"
"3.11400","0.25973","0.00258"
"3.12000","0.26020","0.00247"
"3.12600","0.26074","0.00247"
"3.13200","0.26122","0.00256"
"3.13800","0.26170","0.00252"
"3.14400","0.26224","0.00249"
"3.15000","0.26272","0.00251"
"3.15600","0.26325","0.00250"
"3.16200","0.26373","0.00251"
"3.16800","0.26421","0.00246"
"3.17400","0.26475","0.00237"
"3.18000","0.26523","0.00243"
"3.18600","0.26570","0.00250"
"3.19200","0.26624","0.00243"
"3.19800","0.26672","0.00242"
"3.20400","0.26720","0.00236"
"3.21000","0.26774","0.00223"
"3.21600","0.26822","0.00210"
"3.22200","0.26869","0.00205"
"3.22800","0.26923","0.00209"
"3.23400","0.26971","0.00217"
"3.24000","0.27019","0.00222"
"3.24600","0.27067","0.00229"
"3.25200","0.27121","0.00224"
