End date,"12/23/2016"
Specimen label,"22BG_75"
Maximum Load,"0.92771",N

Time,Extension,Load
(s),(mm),(N)
"3.25800","0.27168","0.00125"
"3.26400","0.27216","0.00129"
"3.27000","0.27270","0.00124"
"3.27600","0.27318","0.00110"
"3.28200","0.27372","0.00094"
"3.28800","0.27419","0.00087"
"3.29400","0.27467","0.00095"
"3.30000","0.27521","0.00105"
"3.30600","0.27569","0.00113"
"3.31200","0.27617","0.00125"
"3.31800","0.27671","0.00132"
"3.32400","0.27718","0.00146"
"3.33000","0.27772","0.00155"
"3.33600","0.27820","0.00155"
"3.34200","0.27868","0.00150"
"3.34800","0.27922","0.00149"
"3.35400","0.27970","0.00151"
"3.36000","0.28017","0.00160"
"3.36600","0.28065","0.00166"
"3.37200","0.28113","0.00164"
"3.37800","0.28161","0.00162"
"3.38400","0.28215","0.00153"
"3.39000","0.28263","0.00150"
"3.39600","0.28310","0.00156"
"3.40200","0.28364","0.00155"
"3.40800","0.28412","0.00150"
"3.41400","0.28460","0.00156"
"3.42000","0.28514","0.00168"
"3.42600","0.28561","0.00174"
"3.43200","0.28609","0.00174"
"3.43800","0.28663","0.00167"
"3.44400","0.28711","0.00163"
"3.45000","0.28765","0.00162"
"3.45600","0.28813","0.00149"
"3.46200","0.28860","0.00144"
"3.46800","0.28914","0.00144"
"3.47400","0.28962","0.00148"
"3.48000","0.29016","0.00163"
"3.48600","0.29064","0.00179"
"3.49200","0.29112","0.00183"
"3.49800","0.29165","0.00180"
"3.50400","0.29213","0.00170"
"3.51000","0.29267","0.00172"
"3.51600","0.29315","0.00174"
"3.52200","0.29369","0.00170"
"3.52800","0.29416","0.00171"
"3.53400","0.29470","0.00171"
"3.54000","0.29518","0.00159"
"3.54600","0.29572","0.00153"
"3.55200","0.29620","0.00153"
"3.55800","0.29668","0.00155"
"3.56400","0.29721","0.00154"
"3.57000","0.29769","0.00153"
"3.57600","0.29823","0.00156"
"3.58200","0.29871","0.00154"
"3.58800","0.29919","0.00146"
"3.59400","0.29972","0.00141"
"3.60000","0.30020","0.00136"
"3.60600","0.30068","0.00135"
"3.61200","0.30122","0.00143"
"3.61800","0.30170","0.00150"
"3.62400","0.30218","0.00151"
"3.63000","0.30271","0.00155"
"3.63600","0.30319","0.00148"
"3.64200","0.30367","0.00138"
"3.64800","0.30415","0.00137"
"3.65400","0.30469","0.00141"
"3.66000","0.30517","0.00154"
"3.66600","0.30570","0.00156"
"3.67200","0.30618","0.00147"
"3.67800","0.30672","0.00141"
"3.68400","0.30720","0.00137"
"3.69000","0.30774","0.00142"
"3.69600","0.30822","0.00152"
"3.70200","0.30869","0.00151"
"3.70800","0.30923","0.00145"
"3.71400","0.30971","0.00145"
"3.72000","0.31019","0.00149"
"3.72600","0.31073","0.00158"
"3.73200","0.31120","0.00161"
"3.73800","0.31168","0.00160"
"3.74400","0.31216","0.00159"
"3.75000","0.31264","0.00159"
"3.75600","0.31318","0.00158"
"3.76200","0.31366","0.00169"
"3.76800","0.31419","0.00172"
"3.77400","0.31467","0.00169"
"3.78000","0.31515","0.00173"
"3.78600","0.31569","0.00166"
"3.79200","0.31617","0.00167"
"3.79800","0.31665","0.00168"
"3.80400","0.31718","0.00163"
"3.81000","0.31766","0.00158"
"3.81600","0.31820","0.00158"
"3.82200","0.31868","0.00158"
"3.82800","0.31922","0.00169"
"3.83400","0.31969","0.00169"
"3.84000","0.32023","0.00165"
"3.84600","0.32071","0.00162"
"3.85200","0.32119","0.00155"
"3.85800","0.32173","0.00152"
"3.86400","0.32221","0.00147"
"3.87000","0.32268","0.00144"
"3.87600","0.32316","0.00143"
"3.88200","0.32370","0.00143"
"3.88800","0.32418","0.00142"
"3.89400","0.32466","0.00150"
"3.90000","0.32514","0.00159"
"3.90600","0.32567","0.00161"
"3.91200","0.32615","0.00162"
"3.91800","0.32663","0.00159"
"3.92400","0.32711","0.00158"
"3.93000","0.32765","0.00159"
"3.93600","0.32812","0.00154"
"3.94200","0.32866","0.00142"
"3.94800","0.32914","0.00134"
"3.95400","0.32962","0.00125"
"3.96000","0.33016","0.00127"
"3.96600","0.33070","0.00128"
"3.97200","0.33117","0.00126"
"3.97800","0.33171","0.00138"
"3.98400","0.33219","0.00144"
"3.99000","0.33267","0.00144"
"3.99600","0.33321","0.00147"
"4.00200","0.33369","0.00152"
"4.00800","0.33416","0.00156"
"4.01400","0.33470","0.00163"
"4.02000","0.33518","0.00171"
"4.02600","0.33572","0.00179"
"4.03200","0.33620","0.00183"
"4.03800","0.33667","0.00181"
"4.04400","0.33721","0.00183"
"4.05000","0.33769","0.00187"
"4.05600","0.33817","0.00179"
"4.06200","0.33865","0.00168"
"4.06800","0.33919","0.00159"
"4.07400","0.33966","0.00158"
"4.08000","0.34020","0.00160"
"4.08600","0.34068","0.00162"
"4.09200","0.34116","0.00166"
"4.09800","0.34170","0.00165"
"4.10400","0.34224","0.00158"
"4.11000","0.34271","0.00160"
"4.11600","0.34325","0.00163"
"4.12200","0.34373","0.00164"
"4.12800","0.34427","0.00166"
"4.13400","0.34475","0.00166"
"4.14000","0.34522","0.00167"
"4.14600","0.34570","0.00171"
"4.15200","0.34618","0.00178"
"4.15800","0.34672","0.00188"
"4.16400","0.34720","0.00197"
"4.17000","0.34768","0.00202"
"4.17600","0.34821","0.00200"
"4.18200","0.34869","0.00188"
"4.18800","0.34917","0.00171"
"4.19400","0.34965","0.00157"
"4.20000","0.35019","0.00150"
"4.20600","0.35067","0.00143"
"4.21200","0.35120","0.00147"
"4.21800","0.35168","0.00155"
"4.22400","0.35216","0.00167"
"4.23000","0.35270","0.00174"
"4.23600","0.35318","0.00172"
"4.24200","0.35371","0.00163"
"4.24800","0.35425","0.00158"
"4.25400","0.35473","0.00154"
"4.26000","0.35521","0.00162"
"4.26600","0.35575","0.00168"
"4.27200","0.35623","0.00173"
"4.27800","0.35676","0.00183"
"4.28400","0.35724","0.00189"
"4.29000","0.35772","0.00195"
"4.29600","0.35820","0.00207"
"4.30200","0.35868","0.00209"
"4.30800","0.35922","0.00204"
"4.31400","0.35969","0.00190"
"4.32000","0.36017","0.00179"
"4.32600","0.36071","0.00172"
"4.33200","0.36119","0.00171"
"4.33800","0.36167","0.00166"
"4.34400","0.36220","0.00165"
"4.35000","0.36268","0.00158"
"4.35600","0.36316","0.00153"
"4.36200","0.36370","0.00160"
"4.36800","0.36418","0.00163"
"4.37400","0.36466","0.00162"
"4.38000","0.36519","0.00156"
"4.38600","0.36567","0.00149"
"4.39200","0.36615","0.00150"
"4.39800","0.36669","0.00154"
"4.40400","0.36717","0.00149"
"4.41000","0.36771","0.00154"
"4.41600","0.36818","0.00156"
"4.42200","0.36866","0.00156"
"4.42800","0.36920","0.00160"
"4.43400","0.36968","0.00161"
"4.44000","0.37016","0.00155"
"4.44600","0.37064","0.00158"
"4.45200","0.37111","0.00157"
"4.45800","0.37165","0.00157"
"4.46400","0.37213","0.00161"
"4.47000","0.37261","0.00164"
"4.47600","0.37315","0.00173"
"4.48200","0.37362","0.00180"
"4.48800","0.37416","0.00180"
"4.49400","0.37464","0.00188"
"4.50000","0.37518","0.00193"
"4.50600","0.37566","0.00190"
"4.51200","0.37614","0.00192"
"4.51800","0.37667","0.00192"
"4.52400","0.37715","0.00186"
"4.53000","0.37763","0.00175"
"4.53600","0.37817","0.00164"
"4.54200","0.37865","0.00164"
"4.54800","0.37919","0.00163"
"4.55400","0.37966","0.00162"
"4.56000","0.38014","0.00168"
"4.56600","0.38068","0.00161"
"4.57200","0.38116","0.00156"
"4.57800","0.38170","0.00162"
"4.58400","0.38217","0.00170"
"4.59000","0.38265","0.00177"
"4.59600","0.38319","0.00189"
"4.60200","0.38367","0.00199"
"4.60800","0.38415","0.00204"
"4.61400","0.38469","0.00212"
"4.62000","0.38522","0.00213"
"4.62600","0.38570","0.00218"
"4.63200","0.38624","0.00218"
"4.63800","0.38672","0.00204"
"4.64400","0.38720","0.00194"
"4.65000","0.38774","0.00191"
"4.65600","0.38821","0.00187"
"4.66200","0.38869","0.00184"
"4.66800","0.38917","0.00178"
"4.67400","0.38965","0.00172"
"4.68000","0.39019","0.00170"
"4.68600","0.39066","0.00166"
"4.69200","0.39114","0.00174"
"4.69800","0.39162","0.00185"
"4.70400","0.39216","0.00181"
"4.71000","0.39264","0.00175"
"4.71600","0.39312","0.00172"
"4.72200","0.39365","0.00168"
"4.72800","0.39413","0.00183"
"4.73400","0.39461","0.00201"
"4.74000","0.39515","0.00211"
"4.74600","0.39563","0.00222"
"4.75200","0.39617","0.00222"
"4.75800","0.39664","0.00225"
"4.76400","0.39718","0.00226"
"4.77000","0.39766","0.00223"
"4.77600","0.39820","0.00210"
"4.78200","0.39868","0.00194"
"4.78800","0.39915","0.00178"
"4.79400","0.39969","0.00162"
"4.80000","0.40017","0.00158"
"4.80600","0.40065","0.00165"
"4.81200","0.40113","0.00177"
"4.81800","0.40167","0.00173"
"4.82400","0.40214","0.00165"
