End date,"12/23/2016"
Specimen label,"22DT_77"
Maximum Load,"0.02078",N

Time,Extension,Load
(s),(mm),(N)
"2.65200","0.22122","-0.00007"
"2.65800","0.22170","-0.00018"
"2.66400","0.22224","-0.00033"
"2.67000","0.22272","-0.00030"
"2.67600","0.22319","-0.00027"
"2.68200","0.22373","-0.00029"
"2.68800","0.22421","-0.00037"
"2.69400","0.22469","-0.00044"
"2.70000","0.22523","-0.00044"
"2.70600","0.22571","-0.00035"
"2.71200","0.22624","-0.00043"
"2.71800","0.22672","-0.00048"
"2.72400","0.22720","-0.00050"
"2.73000","0.22774","-0.00053"
"2.73600","0.22822","-0.00047"
"2.74200","0.22869","-0.00043"
"2.74800","0.22923","-0.00038"
"2.75400","0.22971","-0.00029"
"2.76000","0.23025","-0.00030"
"2.76600","0.23073","-0.00039"
"2.77200","0.23127","-0.00033"
"2.77800","0.23174","-0.00029"
"2.78400","0.23228","-0.00024"
"2.79000","0.23276","-0.00014"
"2.79600","0.23324","-0.00007"
"2.80200","0.23372","-0.00002"
"2.80800","0.23426","-0.00006"
"2.81400","0.23473","-0.00013"
"2.82000","0.23521","-0.00010"
"2.82600","0.23569","-0.00007"
"2.83200","0.23623","-0.00006"
"2.83800","0.23671","-0.00007"
"2.84400","0.23719","-0.00022"
"2.85000","0.23766","-0.00041"
"2.85600","0.23820","-0.00058"
"2.86200","0.23868","-0.00069"
"2.86800","0.23916","-0.00072"
"2.87400","0.23970","-0.00069"
"2.88000","0.24017","-0.00063"
"2.88600","0.24071","-0.00056"
"2.89200","0.24119","-0.00051"
"2.89800","0.24167","-0.00043"
"2.90400","0.24221","-0.00030"
"2.91000","0.24269","-0.00028"
"2.91600","0.24316","-0.00033"
"2.92200","0.24370","-0.00042"
"2.92800","0.24418","-0.00048"
"2.93400","0.24466","-0.00043"
"2.94000","0.24514","-0.00038"
"2.94600","0.24562","-0.00037"
"2.95200","0.24609","-0.00028"
"2.95800","0.24663","-0.00031"
"2.96400","0.24711","-0.00037"
"2.97000","0.24759","-0.00024"
"2.97600","0.24813","-0.00012"
"2.98200","0.24860","-0.00007"
"2.98800","0.24914","-0.00007"
"2.99400","0.24962","-0.00010"
"3.00000","0.25016","-0.00012"
"3.00600","0.25064","-0.00012"
"3.01200","0.25118","-0.00016"
"3.01800","0.25165","-0.00008"
"3.02400","0.25219","0.00001"
"3.03000","0.25267","-0.00001"
"3.03600","0.25321","0.00000"
"3.04200","0.25375","-0.00006"
"3.04800","0.25423","-0.00013"
"3.05400","0.25476","-0.00008"
"3.06000","0.25524","-0.00010"
"3.06600","0.25572","-0.00017"
"3.07200","0.25626","-0.00026"
"3.07800","0.25674","-0.00034"
"3.08400","0.25721","-0.00034"
"3.09000","0.25775","-0.00041"
"3.09600","0.25823","-0.00056"
"3.10200","0.25877","-0.00067"
"3.10800","0.25925","-0.00077"
"3.11400","0.25973","-0.00076"
"3.12000","0.26026","-0.00061"
"3.12600","0.26074","-0.00058"
"3.13200","0.26122","-0.00065"
"3.13800","0.26176","-0.00081"
"3.14400","0.26224","-0.00090"
"3.15000","0.26272","-0.00087"
"3.15600","0.26325","-0.00082"
"3.16200","0.26373","-0.00084"
"3.16800","0.26421","-0.00082"
"3.17400","0.26475","-0.00078"
"3.18000","0.26523","-0.00078"
"3.18600","0.26570","-0.00066"
"3.19200","0.26624","-0.00054"
"3.19800","0.26678","-0.00041"
"3.20400","0.26726","-0.00030"
"3.21000","0.26774","-0.00029"
"3.21600","0.26828","-0.00029"
"3.22200","0.26875","-0.00031"
"3.22800","0.26923","-0.00038"
"3.23400","0.26971","-0.00030"
"3.24000","0.27025","-0.00023"
"3.24600","0.27073","-0.00026"
"3.25200","0.27121","-0.00028"
"3.25800","0.27174","-0.00038"
"3.26400","0.27222","-0.00039"
"3.27000","0.27270","-0.00036"
"3.27600","0.27324","-0.00037"
"3.28200","0.27372","-0.00030"
"3.28800","0.27419","-0.00028"
"3.29400","0.27467","-0.00022"
"3.30000","0.27521","-0.00014"
"3.30600","0.27569","-0.00006"
"3.31200","0.27617","-0.00008"
"3.31800","0.27671","-0.00008"
"3.32400","0.27718","-0.00006"
"3.33000","0.27772","-0.00010"
"3.33600","0.27820","0.00001"
"3.34200","0.27874","0.00011"
"3.34800","0.27922","0.00008"
"3.35400","0.27976","-0.00001"
"3.36000","0.28023","-0.00016"
"3.36600","0.28071","-0.00031"
"3.37200","0.28125","-0.00036"
"3.37800","0.28173","-0.00041"
"3.38400","0.28221","-0.00042"
"3.39000","0.28268","-0.00036"
"3.39600","0.28316","-0.00037"
"3.40200","0.28370","-0.00036"
"3.40800","0.28418","-0.00037"
"3.41400","0.28466","-0.00033"
"3.42000","0.28520","-0.00025"
"3.42600","0.28567","-0.00026"
"3.43200","0.28615","-0.00032"
"3.43800","0.28669","-0.00041"
"3.44400","0.28717","-0.00050"
"3.45000","0.28765","-0.00052"
"3.45600","0.28819","-0.00051"
"3.46200","0.28866","-0.00050"
"3.46800","0.28914","-0.00045"
"3.47400","0.28968","-0.00043"
"3.48000","0.29016","-0.00050"
"3.48600","0.29070","-0.00048"
"3.49200","0.29118","-0.00043"
"3.49800","0.29165","-0.00040"
"3.50400","0.29219","-0.00040"
"3.51000","0.29267","-0.00043"
"3.51600","0.29321","-0.00038"
"3.52200","0.29369","-0.00034"
"3.52800","0.29416","-0.00043"
"3.53400","0.29464","-0.00042"
"3.54000","0.29518","-0.00042"
"3.54600","0.29566","-0.00047"
"3.55200","0.29614","-0.00051"
"3.55800","0.29662","-0.00051"
"3.56400","0.29715","-0.00056"
"3.57000","0.29763","-0.00059"
"3.57600","0.29811","-0.00059"
"3.58200","0.29865","-0.00060"
"3.58800","0.29913","-0.00060"
"3.59400","0.29967","-0.00063"
"3.60000","0.30014","-0.00060"
"3.60600","0.30068","-0.00049"
"3.61200","0.30116","-0.00042"
"3.61800","0.30170","-0.00021"
"3.62400","0.30218","-0.00005"
"3.63000","0.30271","0.00003"
"3.63600","0.30325","0.00005"
"3.64200","0.30373","0.00000"
"3.64800","0.30427","-0.00017"
