End date,"11/4/2016"
Specimen label,""
Maximum Load,"1.49282",N

Time,Extension,Load
(s),(mm),(N)
"2.36400","0.19713","0.00097"
"2.37000","0.19760","0.00083"
"2.37600","0.19808","0.00076"
"2.38200","0.19862","0.00070"
"2.38800","0.19910","0.00070"
"2.39400","0.19958","0.00085"
"2.40000","0.20012","0.00094"
"2.40600","0.20059","0.00096"
"2.41200","0.20107","0.00095"
"2.41800","0.20161","0.00095"
"2.42400","0.20209","0.00103"
"2.43000","0.20257","0.00123"
"2.43600","0.20311","0.00138"
"2.44200","0.20358","0.00135"
"2.44800","0.20412","0.00129"
"2.45400","0.20460","0.00122"
"2.46000","0.20514","0.00120"
"2.46600","0.20562","0.00114"
"2.47200","0.20615","0.00106"
"2.47800","0.20663","0.00105"
"2.48400","0.20717","0.00105"
"2.49000","0.20765","0.00106"
"2.49600","0.20813","0.00107"
"2.50200","0.20867","0.00111"
"2.50800","0.20914","0.00122"
"2.51400","0.20962","0.00127"
"2.52000","0.21016","0.00127"
"2.52600","0.21064","0.00118"
"2.53200","0.21118","0.00106"
"2.53800","0.21165","0.00099"
"2.54400","0.21219","0.00101"
"2.55000","0.21267","0.00105"
"2.55600","0.21315","0.00103"
"2.56200","0.21363","0.00105"
"2.56800","0.21417","0.00109"
"2.57400","0.21464","0.00107"
"2.58000","0.21512","0.00094"
"2.58600","0.21566","0.00084"
"2.59200","0.21614","0.00074"
"2.59800","0.21668","0.00072"
"2.60400","0.21716","0.00081"
"2.61000","0.21763","0.00084"
"2.61600","0.21817","0.00075"
"2.62200","0.21865","0.00059"
"2.62800","0.21919","0.00048"
"2.63400","0.21967","0.00056"
"2.64000","0.22015","0.00067"
"2.64600","0.22062","0.00078"
"2.65200","0.22116","0.00093"
"2.65800","0.22164","0.00107"
"2.66400","0.22212","0.00114"
"2.67000","0.22266","0.00114"
"2.67600","0.22313","0.00126"
"2.68200","0.22367","0.00131"
"2.68800","0.22415","0.00133"
"2.69400","0.22469","0.00141"
"2.70000","0.22517","0.00141"
"2.70600","0.22565","0.00135"
"2.71200","0.22618","0.00118"
"2.71800","0.22666","0.00106"
"2.72400","0.22720","0.00103"
"2.73000","0.22768","0.00102"
"2.73600","0.22816","0.00101"
"2.74200","0.22869","0.00094"
"2.74800","0.22917","0.00087"
"2.75400","0.22971","0.00083"
"2.76000","0.23019","0.00083"
"2.76600","0.23067","0.00095"
"2.77200","0.23121","0.00111"
"2.77800","0.23168","0.00113"
"2.78400","0.23216","0.00105"
"2.79000","0.23264","0.00105"
"2.79600","0.23318","0.00110"
"2.80200","0.23366","0.00114"
"2.80800","0.23414","0.00125"
"2.81400","0.23461","0.00135"
"2.82000","0.23515","0.00143"
"2.82600","0.23563","0.00154"
"2.83200","0.23611","0.00157"
"2.83800","0.23665","0.00165"
"2.84400","0.23713","0.00166"
"2.85000","0.23760","0.00152"
"2.85600","0.23814","0.00134"
"2.86200","0.23862","0.00118"
"2.86800","0.23910","0.00113"
"2.87400","0.23964","0.00138"
"2.88000","0.24011","0.00159"
"2.88600","0.24059","0.00171"
"2.89200","0.24113","0.00166"
"2.89800","0.24161","0.00160"
"2.90400","0.24215","0.00152"
"2.91000","0.24263","0.00142"
"2.91600","0.24310","0.00135"
"2.92200","0.24358","0.00144"
"2.92800","0.24412","0.00140"
"2.93400","0.24460","0.00131"
"2.94000","0.24514","0.00120"
"2.94600","0.24562","0.00105"
"2.95200","0.24615","0.00100"
"2.95800","0.24663","0.00106"
"2.96400","0.24711","0.00115"
"2.97000","0.24765","0.00127"
"2.97600","0.24813","0.00136"
"2.98200","0.24860","0.00134"
"2.98800","0.24914","0.00133"
"2.99400","0.24962","0.00128"
"3.00000","0.25010","0.00125"
"3.00600","0.25064","0.00122"
"3.01200","0.25112","0.00116"
"3.01800","0.25165","0.00113"
"3.02400","0.25213","0.00111"
"3.03000","0.25267","0.00106"
"3.03600","0.25315","0.00101"
"3.04200","0.25369","0.00100"
"3.04800","0.25417","0.00094"
"3.05400","0.25464","0.00087"
"3.06000","0.25518","0.00095"
"3.06600","0.25566","0.00108"
"3.07200","0.25614","0.00130"
"3.07800","0.25668","0.00158"
"3.08400","0.25715","0.00178"
"3.09000","0.25769","0.00173"
"3.09600","0.25817","0.00142"
"3.10200","0.25865","0.00115"
"3.10800","0.25919","0.00095"
"3.11400","0.25967","0.00089"
"3.12000","0.26020","0.00085"
"3.12600","0.26068","0.00077"
"3.13200","0.26116","0.00072"
"3.13800","0.26164","0.00071"
"3.14400","0.26218","0.00076"
"3.15000","0.26266","0.00092"
"3.15600","0.26319","0.00105"
"3.16200","0.26367","0.00109"
"3.16800","0.26415","0.00106"
"3.17400","0.26469","0.00107"
"3.18000","0.26517","0.00111"
"3.18600","0.26570","0.00124"
"3.19200","0.26618","0.00137"
"3.19800","0.26666","0.00145"
"3.20400","0.26720","0.00146"
"3.21000","0.26768","0.00146"
"3.21600","0.26816","0.00140"
"3.22200","0.26863","0.00132"
"3.22800","0.26917","0.00128"
"3.23400","0.26965","0.00120"
"3.24000","0.27013","0.00110"
"3.24600","0.27067","0.00103"
"3.25200","0.27115","0.00095"
"3.25800","0.27162","0.00103"
"3.26400","0.27216","0.00111"
"3.27000","0.27264","0.00119"
"3.27600","0.27312","0.00126"
"3.28200","0.27366","0.00124"
"3.28800","0.27413","0.00120"
"3.29400","0.27461","0.00115"
"3.30000","0.27515","0.00100"
"3.30600","0.27563","0.00086"
"3.31200","0.27611","0.00081"
"3.31800","0.27665","0.00083"
"3.32400","0.27712","0.00085"
"3.33000","0.27766","0.00096"
"3.33600","0.27814","0.00105"
"3.34200","0.27868","0.00107"
"3.34800","0.27916","0.00101"
"3.35400","0.27964","0.00102"
"3.36000","0.28011","0.00118"
"3.36600","0.28065","0.00133"
"3.37200","0.28113","0.00140"
"3.37800","0.28161","0.00139"
"3.38400","0.28209","0.00137"
"3.39000","0.28263","0.00153"
"3.39600","0.28310","0.00160"
"3.40200","0.28358","0.00165"
"3.40800","0.28412","0.00158"
"3.41400","0.28460","0.00140"
"3.42000","0.28508","0.00119"
"3.42600","0.28555","0.00111"
"3.43200","0.28609","0.00105"
"3.43800","0.28657","0.00099"
"3.44400","0.28705","0.00101"
"3.45000","0.28759","0.00102"
"3.45600","0.28807","0.00095"
"3.46200","0.28860","0.00080"
"3.46800","0.28908","0.00068"
"3.47400","0.28962","0.00071"
"3.48000","0.29010","0.00079"
"3.48600","0.29064","0.00083"
"3.49200","0.29112","0.00082"
"3.49800","0.29159","0.00089"
"3.50400","0.29213","0.00098"
"3.51000","0.29261","0.00100"
"3.51600","0.29315","0.00102"
"3.52200","0.29363","0.00115"
"3.52800","0.29410","0.00125"
"3.53400","0.29464","0.00114"
"3.54000","0.29512","0.00104"
"3.54600","0.29560","0.00103"
"3.55200","0.29614","0.00108"
"3.55800","0.29662","0.00106"
"3.56400","0.29709","0.00106"
"3.57000","0.29763","0.00110"
"3.57600","0.29811","0.00116"
"3.58200","0.29865","0.00117"
"3.58800","0.29913","0.00115"
"3.59400","0.29967","0.00109"
"3.60000","0.30014","0.00099"
"3.60600","0.30068","0.00095"
"3.61200","0.30116","0.00093"
"3.61800","0.30170","0.00098"
"3.62400","0.30218","0.00114"
"3.63000","0.30271","0.00128"
"3.63600","0.30319","0.00135"
"3.64200","0.30373","0.00149"
"3.64800","0.30421","0.00157"
"3.65400","0.30469","0.00162"
"3.66000","0.30523","0.00174"
"3.66600","0.30570","0.00184"
"3.67200","0.30618","0.00201"
"3.67800","0.30666","0.00220"
"3.68400","0.30714","0.00218"
"3.69000","0.30768","0.00208"
"3.69600","0.30816","0.00189"
"3.70200","0.30863","0.00168"
"3.70800","0.30911","0.00154"
"3.71400","0.30965","0.00139"
"3.72000","0.31013","0.00131"
"3.72600","0.31061","0.00137"
"3.73200","0.31114","0.00134"
"3.73800","0.31162","0.00119"
"3.74400","0.31216","0.00112"
"3.75000","0.31264","0.00108"
"3.75600","0.31318","0.00123"
"3.76200","0.31366","0.00130"
"3.76800","0.31419","0.00125"
"3.77400","0.31467","0.00116"
"3.78000","0.31515","0.00110"
"3.78600","0.31569","0.00112"
"3.79200","0.31617","0.00120"
"3.79800","0.31665","0.00124"
"3.80400","0.31712","0.00118"
"3.81000","0.31760","0.00120"
"3.81600","0.31814","0.00114"
"3.82200","0.31862","0.00107"
"3.82800","0.31910","0.00109"
"3.83400","0.31958","0.00105"
"3.84000","0.32011","0.00103"
"3.84600","0.32059","0.00098"
"3.85200","0.32107","0.00095"
"3.85800","0.32155","0.00093"
"3.86400","0.32209","0.00091"
"3.87000","0.32256","0.00096"
"3.87600","0.32310","0.00108"
"3.88200","0.32358","0.00115"
"3.88800","0.32406","0.00121"
"3.89400","0.32460","0.00113"
"3.90000","0.32508","0.00109"
"3.90600","0.32561","0.00115"
"3.91200","0.32609","0.00109"
"3.91800","0.32663","0.00102"
"3.92400","0.32711","0.00112"
"3.93000","0.32759","0.00128"
"3.93600","0.32812","0.00136"
"3.94200","0.32860","0.00135"
"3.94800","0.32908","0.00128"
"3.95400","0.32962","0.00117"
"3.96000","0.33010","0.00108"
"3.96600","0.33058","0.00105"
"3.97200","0.33105","0.00108"
"3.97800","0.33159","0.00112"
"3.98400","0.33207","0.00116"
"3.99000","0.33255","0.00129"
"3.99600","0.33303","0.00136"
"4.00200","0.33357","0.00131"
"4.00800","0.33404","0.00125"
"4.01400","0.33452","0.00119"
"4.02000","0.33506","0.00121"
"4.02600","0.33554","0.00137"
"4.03200","0.33608","0.00140"
"4.03800","0.33656","0.00144"
"4.04400","0.33709","0.00141"
"4.05000","0.33763","0.00130"
"4.05600","0.33811","0.00125"
"4.06200","0.33859","0.00120"
"4.06800","0.33913","0.00120"
"4.07400","0.33960","0.00125"
"4.08000","0.34008","0.00123"
"4.08600","0.34062","0.00121"
"4.09200","0.34110","0.00118"
"4.09800","0.34158","0.00117"
"4.10400","0.34206","0.00122"
"4.11000","0.34259","0.00120"
"4.11600","0.34307","0.00119"
"4.12200","0.34355","0.00128"
"4.12800","0.34409","0.00139"
"4.13400","0.34457","0.00142"
"4.14000","0.34511","0.00134"
"4.14600","0.34558","0.00119"
"4.15200","0.34612","0.00108"
"4.15800","0.34660","0.00110"
"4.16400","0.34708","0.00119"
"4.17000","0.34762","0.00123"
"4.17600","0.34809","0.00133"
"4.18200","0.34863","0.00146"
"4.18800","0.34917","0.00148"
"4.19400","0.34965","0.00141"
"4.20000","0.35019","0.00133"
"4.20600","0.35067","0.00139"
"4.21200","0.35120","0.00146"
"4.21800","0.35168","0.00157"
"4.22400","0.35216","0.00159"
"4.23000","0.35264","0.00145"
"4.23600","0.35312","0.00142"
"4.24200","0.35366","0.00140"
"4.24800","0.35413","0.00136"
"4.25400","0.35461","0.00139"
"4.26000","0.35509","0.00143"
"4.26600","0.35563","0.00144"
"4.27200","0.35611","0.00143"
"4.27800","0.35664","0.00141"
"4.28400","0.35712","0.00140"
"4.29000","0.35760","0.00147"
"4.29600","0.35814","0.00146"
"4.30200","0.35862","0.00152"
"4.30800","0.35910","0.00152"
"4.31400","0.35963","0.00149"
"4.32000","0.36017","0.00145"
"4.32600","0.36065","0.00148"
"4.33200","0.36119","0.00152"
"4.33800","0.36167","0.00155"
"4.34400","0.36220","0.00149"
"4.35000","0.36268","0.00145"
"4.35600","0.36316","0.00148"
"4.36200","0.36370","0.00152"
"4.36800","0.36418","0.00151"
"4.37400","0.36466","0.00161"
"4.38000","0.36513","0.00165"
"4.38600","0.36561","0.00156"
"4.39200","0.36615","0.00141"
"4.39800","0.36663","0.00127"
"4.40400","0.36711","0.00112"
"4.41000","0.36759","0.00098"
"4.41600","0.36812","0.00085"
"4.42200","0.36860","0.00076"
"4.42800","0.36908","0.00080"
"4.43400","0.36956","0.00102"
"4.44000","0.37010","0.00142"
"4.44600","0.37058","0.00163"
"4.45200","0.37105","0.00169"
"4.45800","0.37159","0.00171"
"4.46400","0.37207","0.00162"
"4.47000","0.37261","0.00151"
"4.47600","0.37309","0.00139"
"4.48200","0.37362","0.00135"
"4.48800","0.37410","0.00142"
"4.49400","0.37464","0.00150"
"4.50000","0.37512","0.00159"
"4.50600","0.37560","0.00166"
"4.51200","0.37614","0.00161"
"4.51800","0.37661","0.00143"
"4.52400","0.37709","0.00139"
"4.53000","0.37757","0.00146"
"4.53600","0.37805","0.00160"
"4.54200","0.37859","0.00177"
"4.54800","0.37907","0.00188"
"4.55400","0.37954","0.00191"
"4.56000","0.38008","0.00187"
"4.56600","0.38056","0.00160"
"4.57200","0.38104","0.00134"
"4.57800","0.38158","0.00121"
"4.58400","0.38206","0.00105"
"4.59000","0.38253","0.00099"
"4.59600","0.38307","0.00100"
"4.60200","0.38361","0.00104"
"4.60800","0.38409","0.00123"
"4.61400","0.38463","0.00154"
"4.62000","0.38510","0.00179"
"4.62600","0.38564","0.00192"
"4.63200","0.38612","0.00183"
"4.63800","0.38666","0.00171"
"4.64400","0.38714","0.00147"
"4.65000","0.38762","0.00127"
"4.65600","0.38815","0.00120"
"4.66200","0.38863","0.00112"
"4.66800","0.38911","0.00107"
"4.67400","0.38965","0.00100"
"4.68000","0.39013","0.00103"
"4.68600","0.39066","0.00113"
"4.69200","0.39114","0.00118"
"4.69800","0.39162","0.00106"
"4.70400","0.39216","0.00098"
"4.71000","0.39264","0.00096"
"4.71600","0.39312","0.00103"
"4.72200","0.39365","0.00118"
"4.72800","0.39413","0.00130"
"4.73400","0.39461","0.00130"
"4.74000","0.39515","0.00139"
"4.74600","0.39563","0.00143"
"4.75200","0.39617","0.00141"
"4.75800","0.39664","0.00140"
"4.76400","0.39718","0.00140"
"4.77000","0.39766","0.00136"
"4.77600","0.39820","0.00135"
"4.78200","0.39868","0.00128"
"4.78800","0.39915","0.00125"
"4.79400","0.39969","0.00129"
"4.80000","0.40017","0.00131"
"4.80600","0.40065","0.00121"
"4.81200","0.40119","0.00112"
"4.81800","0.40167","0.00121"
"4.82400","0.40214","0.00124"
"4.83000","0.40262","0.00122"
"4.83600","0.40316","0.00120"
"4.84200","0.40364","0.00114"
"4.84800","0.40418","0.00104"
