End date,"11/4/2016"
Specimen label,"63G_21"
Maximum Load,"-0.00015",N

Time,Extension,Load
(s),(mm),(N)
"1.97400","-0.40388","-0.00440"
"1.98000","-0.40340","-0.00437"
"1.98600","-0.40286","-0.00439"
"1.99200","-0.40238","-0.00444"
"1.99800","-0.40191","-0.00448"
"2.00400","-0.40137","-0.00446"
"2.01000","-0.40089","-0.00446"
"2.01600","-0.40041","-0.00450"
"2.02200","-0.39987","-0.00459"
"2.02800","-0.39939","-0.00463"
"2.03400","-0.39892","-0.00465"
"2.04000","-0.39844","-0.00467"
"2.04600","-0.39796","-0.00472"
"2.05200","-0.39742","-0.00472"
"2.05800","-0.39694","-0.00472"
"2.06400","-0.39646","-0.00470"
"2.07000","-0.39593","-0.00465"
"2.07600","-0.39545","-0.00462"
"2.08200","-0.39491","-0.00459"
"2.08800","-0.39443","-0.00453"
"2.09400","-0.39389","-0.00451"
"2.10000","-0.39342","-0.00449"
"2.10600","-0.39294","-0.00449"
"2.11200","-0.39240","-0.00448"
"2.11800","-0.39192","-0.00446"
"2.12400","-0.39138","-0.00451"
"2.13000","-0.39090","-0.00459"
"2.13600","-0.39043","-0.00457"
"2.14200","-0.38989","-0.00448"
"2.14800","-0.38941","-0.00437"
"2.15400","-0.38893","-0.00433"
"2.16000","-0.38839","-0.00428"
"2.16600","-0.38791","-0.00430"
"2.17200","-0.38744","-0.00435"
"2.17800","-0.38690","-0.00441"
"2.18400","-0.38642","-0.00447"
"2.19000","-0.38594","-0.00458"
"2.19600","-0.38546","-0.00466"
"2.20200","-0.38493","-0.00459"
"2.20800","-0.38445","-0.00456"
"2.21400","-0.38397","-0.00460"
"2.22000","-0.38349","-0.00463"
"2.22600","-0.38295","-0.00462"
"2.23200","-0.38247","-0.00457"
"2.23800","-0.38194","-0.00449"
"2.24400","-0.38146","-0.00440"
"2.25000","-0.38092","-0.00438"
"2.25600","-0.38044","-0.00440"
"2.26200","-0.37990","-0.00442"
"2.26800","-0.37942","-0.00441"
"2.27400","-0.37889","-0.00444"
"2.28000","-0.37841","-0.00450"
"2.28600","-0.37787","-0.00453"
"2.29200","-0.37739","-0.00456"
"2.29800","-0.37691","-0.00449"
"2.30400","-0.37638","-0.00436"
"2.31000","-0.37590","-0.00424"
"2.31600","-0.37542","-0.00419"
"2.32200","-0.37494","-0.00424"
"2.32800","-0.37440","-0.00431"
"2.33400","-0.37392","-0.00439"
"2.34000","-0.37339","-0.00448"
"2.34600","-0.37291","-0.00454"
"2.35200","-0.37243","-0.00457"
"2.35800","-0.37189","-0.00460"
"2.36400","-0.37141","-0.00465"
"2.37000","-0.37087","-0.00463"
"2.37600","-0.37040","-0.00460"
"2.38200","-0.36986","-0.00448"
"2.38800","-0.36932","-0.00443"
"2.39400","-0.36884","-0.00446"
"2.40000","-0.36836","-0.00446"
"2.40600","-0.36783","-0.00447"
"2.41200","-0.36735","-0.00444"
"2.41800","-0.36681","-0.00440"
"2.42400","-0.36633","-0.00442"
"2.43000","-0.36585","-0.00438"
"2.43600","-0.36537","-0.00425"
"2.44200","-0.36484","-0.00408"
"2.44800","-0.36436","-0.00395"
"2.45400","-0.36388","-0.00390"
"2.46000","-0.36340","-0.00388"
"2.46600","-0.36292","-0.00394"
"2.47200","-0.36238","-0.00391"
"2.47800","-0.36191","-0.00392"
"2.48400","-0.36137","-0.00392"
"2.49000","-0.36089","-0.00398"
"2.49600","-0.36041","-0.00408"
"2.50200","-0.35987","-0.00420"
"2.50800","-0.35939","-0.00436"
"2.51400","-0.35886","-0.00445"
"2.52000","-0.35838","-0.00445"
"2.52600","-0.35784","-0.00440"
"2.53200","-0.35736","-0.00433"
"2.53800","-0.35682","-0.00425"
"2.54400","-0.35635","-0.00418"
"2.55000","-0.35587","-0.00411"
"2.55600","-0.35533","-0.00409"
"2.56200","-0.35485","-0.00405"
"2.56800","-0.35431","-0.00405"
"2.57400","-0.35383","-0.00400"
"2.58000","-0.35336","-0.00390"
"2.58600","-0.35282","-0.00380"
"2.59200","-0.35234","-0.00363"
"2.59800","-0.35186","-0.00355"
"2.60400","-0.35138","-0.00364"
"2.61000","-0.35090","-0.00384"
"2.61600","-0.35043","-0.00405"
"2.62200","-0.34989","-0.00420"
"2.62800","-0.34941","-0.00423"
"2.63400","-0.34893","-0.00418"
"2.64000","-0.34845","-0.00414"
"2.64600","-0.34792","-0.00412"
"2.65200","-0.34744","-0.00406"
"2.65800","-0.34696","-0.00397"
"2.66400","-0.34642","-0.00388"
"2.67000","-0.34594","-0.00385"
"2.67600","-0.34546","-0.00389"
"2.68200","-0.34493","-0.00393"
"2.68800","-0.34445","-0.00390"
"2.69400","-0.34391","-0.00390"
"2.70000","-0.34343","-0.00397"
"2.70600","-0.34289","-0.00405"
"2.71200","-0.34241","-0.00409"
"2.71800","-0.34194","-0.00402"
"2.72400","-0.34146","-0.00401"
"2.73000","-0.34092","-0.00394"
"2.73600","-0.34044","-0.00389"
"2.74200","-0.33996","-0.00383"
"2.74800","-0.33949","-0.00377"
"2.75400","-0.33901","-0.00372"
"2.76000","-0.33847","-0.00371"
"2.76600","-0.33799","-0.00378"
"2.77200","-0.33745","-0.00388"
"2.77800","-0.33697","-0.00395"
"2.78400","-0.33650","-0.00403"
"2.79000","-0.33596","-0.00407"
"2.79600","-0.33548","-0.00412"
"2.80200","-0.33494","-0.00414"
"2.80800","-0.33446","-0.00411"
"2.81400","-0.33392","-0.00404"
"2.82000","-0.33345","-0.00401"
"2.82600","-0.33291","-0.00398"
"2.83200","-0.33243","-0.00389"
"2.83800","-0.33189","-0.00383"
"2.84400","-0.33135","-0.00382"
"2.85000","-0.33088","-0.00388"
"2.85600","-0.33040","-0.00395"
"2.86200","-0.32986","-0.00403"
"2.86800","-0.32938","-0.00411"
"2.87400","-0.32890","-0.00427"
"2.88000","-0.32842","-0.00433"
"2.88600","-0.32789","-0.00433"
"2.89200","-0.32741","-0.00424"
"2.89800","-0.32693","-0.00419"
"2.90400","-0.32639","-0.00414"
"2.91000","-0.32591","-0.00413"
"2.91600","-0.32537","-0.00411"
"2.92200","-0.32490","-0.00410"
"2.92800","-0.32436","-0.00406"
"2.93400","-0.32388","-0.00394"
"2.94000","-0.32340","-0.00388"
"2.94600","-0.32286","-0.00378"
"2.95200","-0.32239","-0.00372"
"2.95800","-0.32191","-0.00372"
"2.96400","-0.32137","-0.00379"
"2.97000","-0.32089","-0.00387"
"2.97600","-0.32035","-0.00396"
"2.98200","-0.31987","-0.00395"
"2.98800","-0.31934","-0.00394"
"2.99400","-0.31886","-0.00392"
"3.00000","-0.31832","-0.00390"
"3.00600","-0.31784","-0.00388"
"3.01200","-0.31736","-0.00384"
"3.01800","-0.31682","-0.00384"
"3.02400","-0.31635","-0.00390"
"3.03000","-0.31587","-0.00394"
"3.03600","-0.31539","-0.00395"
"3.04200","-0.31485","-0.00394"
"3.04800","-0.31437","-0.00390"
"3.05400","-0.31390","-0.00388"
"3.06000","-0.31336","-0.00384"
"3.06600","-0.31288","-0.00382"
"3.07200","-0.31240","-0.00378"
"3.07800","-0.31186","-0.00374"
"3.08400","-0.31138","-0.00371"
"3.09000","-0.31091","-0.00374"
"3.09600","-0.31037","-0.00378"
"3.10200","-0.30989","-0.00386"
"3.10800","-0.30941","-0.00393"
"3.11400","-0.30887","-0.00399"
"3.12000","-0.30839","-0.00403"
"3.12600","-0.30786","-0.00402"
"3.13200","-0.30738","-0.00393"
"3.13800","-0.30684","-0.00385"
"3.14400","-0.30636","-0.00377"
"3.15000","-0.30588","-0.00367"
"3.15600","-0.30540","-0.00360"
"3.16200","-0.30493","-0.00355"
"3.16800","-0.30439","-0.00352"
"3.17400","-0.30391","-0.00352"
"3.18000","-0.30343","-0.00352"
"3.18600","-0.30295","-0.00354"
"3.19200","-0.30242","-0.00362"
"3.19800","-0.30194","-0.00371"
"3.20400","-0.30146","-0.00373"
"3.21000","-0.30092","-0.00375"
"3.21600","-0.30044","-0.00377"
"3.22200","-0.29990","-0.00382"
"3.22800","-0.29943","-0.00388"
"3.23400","-0.29895","-0.00393"
"3.24000","-0.29841","-0.00396"
"3.24600","-0.29793","-0.00398"
"3.25200","-0.29745","-0.00400"
"3.25800","-0.29691","-0.00404"
"3.26400","-0.29644","-0.00408"
"3.27000","-0.29596","-0.00403"
"3.27600","-0.29542","-0.00394"
"3.28200","-0.29494","-0.00383"
"3.28800","-0.29440","-0.00375"
"3.29400","-0.29393","-0.00373"
"3.30000","-0.29345","-0.00374"
"3.30600","-0.29297","-0.00376"
"3.31200","-0.29249","-0.00374"
"3.31800","-0.29195","-0.00365"
"3.32400","-0.29147","-0.00365"
"3.33000","-0.29100","-0.00372"
"3.33600","-0.29046","-0.00378"
"3.34200","-0.28998","-0.00372"
"3.34800","-0.28944","-0.00371"
"3.35400","-0.28896","-0.00375"
"3.36000","-0.28842","-0.00379"
"3.36600","-0.28795","-0.00384"
"3.37200","-0.28747","-0.00382"
"3.37800","-0.28693","-0.00375"
"3.38400","-0.28645","-0.00372"
"3.39000","-0.28591","-0.00375"
"3.39600","-0.28544","-0.00379"
"3.40200","-0.28490","-0.00375"
"3.40800","-0.28442","-0.00367"
"3.41400","-0.28388","-0.00362"
"3.42000","-0.28340","-0.00360"
"3.42600","-0.28286","-0.00356"
"3.43200","-0.28239","-0.00352"
"3.43800","-0.28185","-0.00354"
"3.44400","-0.28137","-0.00357"
"3.45000","-0.28089","-0.00356"
"3.45600","-0.28035","-0.00358"
"3.46200","-0.27987","-0.00360"
"3.46800","-0.27940","-0.00361"
"3.47400","-0.27886","-0.00359"
"3.48000","-0.27838","-0.00357"
"3.48600","-0.27790","-0.00355"
"3.49200","-0.27736","-0.00352"
"3.49800","-0.27689","-0.00357"
"3.50400","-0.27641","-0.00362"
"3.51000","-0.27593","-0.00360"
"3.51600","-0.27539","-0.00360"
"3.52200","-0.27491","-0.00366"
"3.52800","-0.27437","-0.00371"
"3.53400","-0.27390","-0.00369"
"3.54000","-0.27342","-0.00364"
"3.54600","-0.27288","-0.00357"
"3.55200","-0.27234","-0.00352"
"3.55800","-0.27186","-0.00355"
"3.56400","-0.27132","-0.00359"
"3.57000","-0.27085","-0.00358"
"3.57600","-0.27037","-0.00359"
"3.58200","-0.26983","-0.00362"
"3.58800","-0.26935","-0.00361"
"3.59400","-0.26887","-0.00360"
"3.60000","-0.26840","-0.00357"
"3.60600","-0.26786","-0.00357"
"3.61200","-0.26738","-0.00358"
"3.61800","-0.26684","-0.00361"
"3.62400","-0.26636","-0.00365"
"3.63000","-0.26588","-0.00361"
"3.63600","-0.26541","-0.00352"
"3.64200","-0.26487","-0.00341"
"3.64800","-0.26439","-0.00333"
"3.65400","-0.26391","-0.00333"
"3.66000","-0.26343","-0.00335"
"3.66600","-0.26289","-0.00335"
"3.67200","-0.26242","-0.00333"
"3.67800","-0.26188","-0.00334"
"3.68400","-0.26140","-0.00326"
"3.69000","-0.26086","-0.00312"
"3.69600","-0.26038","-0.00309"
"3.70200","-0.25991","-0.00314"
"3.70800","-0.25937","-0.00326"
"3.71400","-0.25889","-0.00337"
"3.72000","-0.25841","-0.00347"
"3.72600","-0.25787","-0.00351"
"3.73200","-0.25739","-0.00342"
"3.73800","-0.25692","-0.00332"
"3.74400","-0.25644","-0.00329"
"3.75000","-0.25596","-0.00329"
"3.75600","-0.25542","-0.00330"
"3.76200","-0.25494","-0.00341"
"3.76800","-0.25446","-0.00357"
"3.77400","-0.25393","-0.00368"
"3.78000","-0.25345","-0.00374"
"3.78600","-0.25297","-0.00377"
"3.79200","-0.25243","-0.00380"
"3.79800","-0.25195","-0.00373"
"3.80400","-0.25147","-0.00361"
"3.81000","-0.25094","-0.00352"
"3.81600","-0.25046","-0.00342"
"3.82200","-0.24992","-0.00336"
"3.82800","-0.24944","-0.00330"
"3.83400","-0.24890","-0.00325"
"3.84000","-0.24843","-0.00327"
"3.84600","-0.24795","-0.00334"
"3.85200","-0.24741","-0.00346"
"3.85800","-0.24693","-0.00357"
"3.86400","-0.24645","-0.00359"
"3.87000","-0.24591","-0.00364"
"3.87600","-0.24544","-0.00366"
"3.88200","-0.24496","-0.00366"
"3.88800","-0.24442","-0.00359"
"3.89400","-0.24394","-0.00348"
"3.90000","-0.24346","-0.00338"
"3.90600","-0.24292","-0.00332"
"3.91200","-0.24245","-0.00335"
"3.91800","-0.24191","-0.00336"
"3.92400","-0.24143","-0.00341"
"3.93000","-0.24095","-0.00334"
"3.93600","-0.24047","-0.00321"
"3.94200","-0.23994","-0.00308"
"3.94800","-0.23946","-0.00298"
"3.95400","-0.23892","-0.00284"
"3.96000","-0.23844","-0.00278"
"3.96600","-0.23796","-0.00278"
"3.97200","-0.23742","-0.00278"
"3.97800","-0.23695","-0.00276"
"3.98400","-0.23641","-0.00268"
"3.99000","-0.23593","-0.00274"
"3.99600","-0.23539","-0.00283"
