End date,"2/12/2017"
Specimen label,"10BG_Unk2"
Maximum Load,"0.64592",N

Time,Extension,Load
(s),(mm),(N)
"2.84400","0.23719","0.00591"
"2.85000","0.23772","0.00586"
"2.85600","0.23820","0.00584"
"2.86200","0.23874","0.00576"
"2.86800","0.23922","0.00567"
"2.87400","0.23976","0.00567"
"2.88000","0.24023","0.00573"
"2.88600","0.24077","0.00582"
"2.89200","0.24125","0.00590"
"2.89800","0.24173","0.00602"
"2.90400","0.24221","0.00611"
"2.91000","0.24275","0.00620"
"2.91600","0.24322","0.00635"
"2.92200","0.24370","0.00630"
"2.92800","0.24418","0.00605"
"2.93400","0.24472","0.00584"
"2.94000","0.24520","0.00566"
"2.94600","0.24568","0.00561"
"2.95200","0.24621","0.00558"
"2.95800","0.24669","0.00563"
"2.96400","0.24723","0.00563"
"2.97000","0.24771","0.00575"
"2.97600","0.24819","0.00576"
"2.98200","0.24872","0.00577"
"2.98800","0.24920","0.00591"
"2.99400","0.24974","0.00607"
"3.00000","0.25022","0.00610"
"3.00600","0.25076","0.00608"
"3.01200","0.25124","0.00615"
"3.01800","0.25177","0.00621"
"3.02400","0.25225","0.00625"
"3.03000","0.25273","0.00627"
"3.03600","0.25327","0.00630"
"3.04200","0.25375","0.00636"
"3.04800","0.25423","0.00637"
"3.05400","0.25476","0.00626"
"3.06000","0.25524","0.00613"
"3.06600","0.25572","0.00592"
"3.07200","0.25626","0.00586"
"3.07800","0.25674","0.00598"
"3.08400","0.25721","0.00601"
"3.09000","0.25775","0.00593"
"3.09600","0.25823","0.00588"
"3.10200","0.25871","0.00588"
"3.10800","0.25925","0.00592"
"3.11400","0.25973","0.00590"
"3.12000","0.26020","0.00604"
"3.12600","0.26074","0.00609"
"3.13200","0.26122","0.00613"
"3.13800","0.26176","0.00637"
"3.14400","0.26224","0.00651"
"3.15000","0.26278","0.00662"
"3.15600","0.26325","0.00666"
"3.16200","0.26373","0.00671"
"3.16800","0.26427","0.00661"
"3.17400","0.26475","0.00647"
"3.18000","0.26523","0.00633"
"3.18600","0.26570","0.00624"
"3.19200","0.26624","0.00622"
"3.19800","0.26672","0.00633"
"3.20400","0.26720","0.00635"
"3.21000","0.26768","0.00645"
"3.21600","0.26822","0.00657"
"3.22200","0.26869","0.00653"
"3.22800","0.26917","0.00650"
"3.23400","0.26971","0.00633"
"3.24000","0.27019","0.00621"
"3.24600","0.27067","0.00618"
"3.25200","0.27121","0.00622"
"3.25800","0.27168","0.00611"
"3.26400","0.27222","0.00595"
"3.27000","0.27270","0.00576"
"3.27600","0.27318","0.00550"
"3.28200","0.27372","0.00545"
"3.28800","0.27419","0.00551"
"3.29400","0.27467","0.00562"
"3.30000","0.27521","0.00576"
"3.30600","0.27569","0.00584"
"3.31200","0.27623","0.00590"
"3.31800","0.27671","0.00594"
"3.32400","0.27718","0.00608"
"3.33000","0.27772","0.00615"
"3.33600","0.27820","0.00621"
"3.34200","0.27868","0.00626"
"3.34800","0.27922","0.00624"
"3.35400","0.27970","0.00631"
"3.36000","0.28017","0.00627"
"3.36600","0.28071","0.00634"
"3.37200","0.28119","0.00654"
"3.37800","0.28167","0.00675"
"3.38400","0.28221","0.00704"
"3.39000","0.28268","0.00720"
"3.39600","0.28322","0.00715"
"3.40200","0.28370","0.00688"
"3.40800","0.28424","0.00659"
"3.41400","0.28472","0.00650"
"3.42000","0.28520","0.00645"
"3.42600","0.28573","0.00630"
"3.43200","0.28621","0.00627"
"3.43800","0.28669","0.00636"
"3.44400","0.28723","0.00619"
"3.45000","0.28771","0.00623"
"3.45600","0.28819","0.00641"
"3.46200","0.28866","0.00644"
"3.46800","0.28920","0.00650"
"3.47400","0.28968","0.00653"
"3.48000","0.29022","0.00658"
"3.48600","0.29070","0.00657"
"3.49200","0.29118","0.00661"
"3.49800","0.29171","0.00668"
"3.50400","0.29225","0.00661"
"3.51000","0.29273","0.00656"
"3.51600","0.29321","0.00648"
"3.52200","0.29375","0.00649"
"3.52800","0.29422","0.00649"
"3.53400","0.29476","0.00652"
"3.54000","0.29524","0.00642"
"3.54600","0.29572","0.00629"
"3.55200","0.29620","0.00619"
"3.55800","0.29674","0.00612"
"3.56400","0.29721","0.00618"
"3.57000","0.29775","0.00633"
"3.57600","0.29823","0.00649"
"3.58200","0.29877","0.00670"
"3.58800","0.29925","0.00696"
"3.59400","0.29972","0.00697"
"3.60000","0.30026","0.00703"
"3.60600","0.30074","0.00715"
"3.61200","0.30122","0.00718"
"3.61800","0.30176","0.00712"
"3.62400","0.30224","0.00707"
"3.63000","0.30277","0.00687"
"3.63600","0.30325","0.00665"
"3.64200","0.30373","0.00645"
"3.64800","0.30427","0.00647"
"3.65400","0.30475","0.00652"
"3.66000","0.30529","0.00644"
"3.66600","0.30576","0.00636"
"3.67200","0.30624","0.00633"
"3.67800","0.30672","0.00636"
"3.68400","0.30726","0.00630"
"3.69000","0.30774","0.00634"
"3.69600","0.30822","0.00652"
