End date,"12/17/2016"
Specimen label,"15CG_21"
Maximum Load,"0.00672",N

Time,Extension,Load
(s),(mm),(N)
"2.86200","0.23874","0.00126"
"2.86800","0.23922","0.00127"
"2.87400","0.23976","0.00121"
"2.88000","0.24023","0.00118"
"2.88600","0.24071","0.00116"
"2.89200","0.24125","0.00121"
"2.89800","0.24173","0.00135"
"2.90400","0.24221","0.00146"
"2.91000","0.24269","0.00154"
"2.91600","0.24316","0.00161"
"2.92200","0.24364","0.00164"
"2.92800","0.24418","0.00171"
"2.93400","0.24466","0.00173"
"2.94000","0.24514","0.00167"
"2.94600","0.24568","0.00157"
"2.95200","0.24615","0.00148"
"2.95800","0.24669","0.00140"
"2.96400","0.24717","0.00135"
"2.97000","0.24771","0.00133"
"2.97600","0.24819","0.00131"
"2.98200","0.24872","0.00134"
"2.98800","0.24920","0.00135"
"2.99400","0.24974","0.00143"
"3.00000","0.25022","0.00146"
"3.00600","0.25070","0.00143"
"3.01200","0.25124","0.00138"
"3.01800","0.25171","0.00132"
"3.02400","0.25219","0.00134"
"3.03000","0.25267","0.00137"
"3.03600","0.25321","0.00138"
"3.04200","0.25369","0.00143"
"3.04800","0.25417","0.00150"
"3.05400","0.25470","0.00146"
"3.06000","0.25518","0.00138"
"3.06600","0.25566","0.00132"
"3.07200","0.25614","0.00128"
"3.07800","0.25668","0.00129"
"3.08400","0.25715","0.00135"
"3.09000","0.25763","0.00138"
"3.09600","0.25817","0.00139"
"3.10200","0.25865","0.00142"
"3.10800","0.25919","0.00146"
"3.11400","0.25967","0.00147"
"3.12000","0.26020","0.00148"
"3.12600","0.26068","0.00150"
"3.13200","0.26116","0.00147"
"3.13800","0.26170","0.00132"
"3.14400","0.26218","0.00120"
"3.15000","0.26266","0.00121"
"3.15600","0.26313","0.00115"
"3.16200","0.26361","0.00109"
"3.16800","0.26415","0.00109"
"3.17400","0.26463","0.00104"
"3.18000","0.26511","0.00104"
"3.18600","0.26559","0.00111"
"3.19200","0.26612","0.00123"
"3.19800","0.26660","0.00134"
"3.20400","0.26714","0.00128"
"3.21000","0.26762","0.00127"
"3.21600","0.26810","0.00128"
"3.22200","0.26857","0.00128"
"3.22800","0.26911","0.00132"
"3.23400","0.26959","0.00133"
"3.24000","0.27013","0.00128"
"3.24600","0.27061","0.00125"
"3.25200","0.27109","0.00120"
"3.25800","0.27162","0.00115"
"3.26400","0.27216","0.00112"
"3.27000","0.27270","0.00108"
"3.27600","0.27318","0.00111"
"3.28200","0.27372","0.00117"
"3.28800","0.27419","0.00115"
"3.29400","0.27467","0.00111"
"3.30000","0.27521","0.00116"
"3.30600","0.27569","0.00123"
"3.31200","0.27617","0.00136"
"3.31800","0.27665","0.00144"
"3.32400","0.27718","0.00151"
"3.33000","0.27766","0.00151"
"3.33600","0.27814","0.00143"
"3.34200","0.27868","0.00138"
"3.34800","0.27916","0.00137"
"3.35400","0.27970","0.00132"
"3.36000","0.28017","0.00130"
"3.36600","0.28071","0.00135"
"3.37200","0.28119","0.00133"
"3.37800","0.28167","0.00128"
"3.38400","0.28221","0.00124"
"3.39000","0.28268","0.00125"
"3.39600","0.28316","0.00127"
"3.40200","0.28370","0.00126"
"3.40800","0.28424","0.00132"
"3.41400","0.28472","0.00137"
"3.42000","0.28526","0.00137"
"3.42600","0.28573","0.00135"
"3.43200","0.28621","0.00131"
"3.43800","0.28669","0.00123"
"3.44400","0.28723","0.00120"
"3.45000","0.28771","0.00119"
"3.45600","0.28819","0.00114"
"3.46200","0.28866","0.00115"
"3.46800","0.28914","0.00122"
"3.47400","0.28968","0.00129"
"3.48000","0.29016","0.00137"
"3.48600","0.29070","0.00137"
"3.49200","0.29118","0.00136"
"3.49800","0.29165","0.00136"
"3.50400","0.29219","0.00134"
"3.51000","0.29267","0.00133"
"3.51600","0.29321","0.00133"
"3.52200","0.29369","0.00132"
"3.52800","0.29416","0.00138"
"3.53400","0.29470","0.00151"
"3.54000","0.29518","0.00169"
"3.54600","0.29572","0.00181"
"3.55200","0.29620","0.00182"
"3.55800","0.29674","0.00179"
"3.56400","0.29721","0.00177"
"3.57000","0.29775","0.00169"
"3.57600","0.29823","0.00164"
"3.58200","0.29871","0.00160"
"3.58800","0.29925","0.00153"
"3.59400","0.29972","0.00150"
"3.60000","0.30020","0.00150"
"3.60600","0.30068","0.00147"
"3.61200","0.30116","0.00147"
"3.61800","0.30170","0.00151"
"3.62400","0.30218","0.00158"
"3.63000","0.30265","0.00167"
"3.63600","0.30319","0.00163"
"3.64200","0.30367","0.00157"
"3.64800","0.30415","0.00147"
"3.65400","0.30463","0.00130"
"3.66000","0.30517","0.00119"
"3.66600","0.30564","0.00121"
"3.67200","0.30612","0.00125"
"3.67800","0.30666","0.00129"
"3.68400","0.30714","0.00133"
"3.69000","0.30768","0.00134"
"3.69600","0.30816","0.00138"
"3.70200","0.30869","0.00145"
"3.70800","0.30917","0.00157"
"3.71400","0.30965","0.00164"
"3.72000","0.31019","0.00157"
"3.72600","0.31067","0.00155"
"3.73200","0.31114","0.00163"
"3.73800","0.31162","0.00167"
"3.74400","0.31210","0.00169"
"3.75000","0.31264","0.00176"
"3.75600","0.31312","0.00174"
"3.76200","0.31360","0.00169"
"3.76800","0.31407","0.00162"
"3.77400","0.31461","0.00154"
"3.78000","0.31509","0.00147"
"3.78600","0.31557","0.00139"
"3.79200","0.31611","0.00143"
"3.79800","0.31659","0.00142"
"3.80400","0.31706","0.00139"
"3.81000","0.31760","0.00139"
"3.81600","0.31808","0.00150"
"3.82200","0.31862","0.00153"
"3.82800","0.31916","0.00157"
"3.83400","0.31963","0.00158"
"3.84000","0.32017","0.00157"
"3.84600","0.32065","0.00156"
"3.85200","0.32119","0.00150"
"3.85800","0.32173","0.00143"
"3.86400","0.32221","0.00138"
"3.87000","0.32268","0.00128"
"3.87600","0.32322","0.00122"
"3.88200","0.32370","0.00131"
"3.88800","0.32418","0.00136"
"3.89400","0.32472","0.00141"
"3.90000","0.32520","0.00146"
"3.90600","0.32567","0.00146"
"3.91200","0.32621","0.00146"
"3.91800","0.32669","0.00143"
"3.92400","0.32717","0.00143"
"3.93000","0.32771","0.00141"
"3.93600","0.32818","0.00139"
"3.94200","0.32866","0.00148"
"3.94800","0.32920","0.00161"
"3.95400","0.32968","0.00161"
"3.96000","0.33022","0.00161"
"3.96600","0.33070","0.00161"
"3.97200","0.33117","0.00160"
"3.97800","0.33171","0.00166"
"3.98400","0.33225","0.00170"
"3.99000","0.33273","0.00173"
"3.99600","0.33321","0.00178"
"4.00200","0.33375","0.00179"
"4.00800","0.33422","0.00185"
"4.01400","0.33470","0.00184"
"4.02000","0.33518","0.00183"
"4.02600","0.33566","0.00181"
"4.03200","0.33620","0.00171"
"4.03800","0.33667","0.00159"
"4.04400","0.33715","0.00157"
"4.05000","0.33769","0.00156"
"4.05600","0.33817","0.00151"
"4.06200","0.33871","0.00149"
"4.06800","0.33919","0.00145"
"4.07400","0.33966","0.00146"
"4.08000","0.34020","0.00151"
"4.08600","0.34068","0.00148"
"4.09200","0.34122","0.00145"
"4.09800","0.34170","0.00143"
"4.10400","0.34218","0.00137"
"4.11000","0.34271","0.00139"
"4.11600","0.34319","0.00138"
"4.12200","0.34373","0.00141"
"4.12800","0.34421","0.00146"
"4.13400","0.34475","0.00149"
"4.14000","0.34522","0.00154"
"4.14600","0.34576","0.00165"
"4.15200","0.34624","0.00171"
"4.15800","0.34672","0.00177"
"4.16400","0.34720","0.00179"
"4.17000","0.34768","0.00176"
"4.17600","0.34821","0.00180"
"4.18200","0.34869","0.00186"
"4.18800","0.34917","0.00186"
"4.19400","0.34965","0.00180"
"4.20000","0.35019","0.00175"
"4.20600","0.35067","0.00173"
"4.21200","0.35114","0.00171"
"4.21800","0.35168","0.00169"
"4.22400","0.35216","0.00174"
"4.23000","0.35264","0.00171"
"4.23600","0.35318","0.00162"
"4.24200","0.35366","0.00159"
"4.24800","0.35413","0.00159"
"4.25400","0.35467","0.00154"
"4.26000","0.35515","0.00151"
"4.26600","0.35569","0.00148"
"4.27200","0.35617","0.00139"
"4.27800","0.35664","0.00131"
"4.28400","0.35718","0.00129"
"4.29000","0.35766","0.00132"
"4.29600","0.35814","0.00135"
"4.30200","0.35862","0.00139"
"4.30800","0.35910","0.00148"
"4.31400","0.35963","0.00152"
"4.32000","0.36011","0.00155"
"4.32600","0.36059","0.00170"
"4.33200","0.36107","0.00185"
"4.33800","0.36161","0.00190"
"4.34400","0.36209","0.00188"
"4.35000","0.36256","0.00182"
"4.35600","0.36310","0.00175"
"4.36200","0.36358","0.00167"
"4.36800","0.36412","0.00159"
"4.37400","0.36460","0.00157"
"4.38000","0.36513","0.00162"
"4.38600","0.36567","0.00162"
"4.39200","0.36615","0.00154"
"4.39800","0.36669","0.00148"
"4.40400","0.36717","0.00142"
"4.41000","0.36771","0.00139"
"4.41600","0.36818","0.00145"
"4.42200","0.36872","0.00146"
"4.42800","0.36920","0.00148"
"4.43400","0.36974","0.00150"
"4.44000","0.37022","0.00152"
"4.44600","0.37070","0.00159"
"4.45200","0.37123","0.00158"
"4.45800","0.37171","0.00163"
"4.46400","0.37225","0.00173"
"4.47000","0.37273","0.00174"
"4.47600","0.37321","0.00166"
"4.48200","0.37374","0.00163"
"4.48800","0.37422","0.00163"
"4.49400","0.37470","0.00168"
"4.50000","0.37524","0.00171"
"4.50600","0.37572","0.00169"
"4.51200","0.37620","0.00168"
"4.51800","0.37673","0.00160"
"4.52400","0.37721","0.00154"
"4.53000","0.37769","0.00160"
"4.53600","0.37823","0.00164"
"4.54200","0.37871","0.00165"
"4.54800","0.37925","0.00169"
"4.55400","0.37972","0.00168"
"4.56000","0.38020","0.00166"
"4.56600","0.38074","0.00164"
"4.57200","0.38122","0.00167"
"4.57800","0.38170","0.00176"
"4.58400","0.38223","0.00173"
"4.59000","0.38271","0.00167"
"4.59600","0.38319","0.00169"
"4.60200","0.38373","0.00166"
"4.60800","0.38421","0.00171"
"4.61400","0.38469","0.00181"
"4.62000","0.38516","0.00189"
"4.62600","0.38570","0.00197"
"4.63200","0.38618","0.00200"
"4.63800","0.38666","0.00189"
"4.64400","0.38720","0.00181"
"4.65000","0.38768","0.00172"
"4.65600","0.38815","0.00170"
"4.66200","0.38863","0.00168"
"4.66800","0.38917","0.00165"
"4.67400","0.38965","0.00163"
"4.68000","0.39013","0.00168"
"4.68600","0.39066","0.00170"
"4.69200","0.39114","0.00175"
"4.69800","0.39168","0.00180"
"4.70400","0.39216","0.00178"
"4.71000","0.39270","0.00172"
"4.71600","0.39318","0.00157"
"4.72200","0.39371","0.00146"
"4.72800","0.39419","0.00147"
"4.73400","0.39467","0.00150"
"4.74000","0.39521","0.00152"
"4.74600","0.39569","0.00156"
"4.75200","0.39617","0.00159"
"4.75800","0.39664","0.00160"
"4.76400","0.39712","0.00159"
"4.77000","0.39766","0.00159"
"4.77600","0.39814","0.00157"
"4.78200","0.39862","0.00156"
"4.78800","0.39915","0.00147"
"4.79400","0.39963","0.00143"
"4.80000","0.40011","0.00145"
"4.80600","0.40065","0.00149"
"4.81200","0.40113","0.00154"
"4.81800","0.40161","0.00152"
"4.82400","0.40214","0.00151"
"4.83000","0.40262","0.00161"
