End date,"12/17/2016"
Specimen label,"6CT_42"
Maximum Load,"0.30066",N

Time,Extension,Load
(s),(mm),(N)
"3.24000","0.27013","0.00452"
"3.24600","0.27061","0.00446"
"3.25200","0.27115","0.00443"
"3.25800","0.27162","0.00443"
"3.26400","0.27216","0.00445"
"3.27000","0.27264","0.00448"
"3.27600","0.27312","0.00445"
"3.28200","0.27360","0.00445"
"3.28800","0.27413","0.00446"
"3.29400","0.27461","0.00443"
"3.30000","0.27515","0.00445"
"3.30600","0.27563","0.00449"
"3.31200","0.27611","0.00452"
"3.31800","0.27665","0.00449"
"3.32400","0.27712","0.00456"
"3.33000","0.27766","0.00459"
"3.33600","0.27814","0.00452"
"3.34200","0.27862","0.00446"
"3.34800","0.27916","0.00444"
"3.35400","0.27964","0.00446"
"3.36000","0.28017","0.00446"
"3.36600","0.28065","0.00448"
"3.37200","0.28113","0.00446"
"3.37800","0.28167","0.00443"
"3.38400","0.28215","0.00441"
"3.39000","0.28268","0.00443"
"3.39600","0.28316","0.00444"
"3.40200","0.28370","0.00442"
"3.40800","0.28418","0.00446"
"3.41400","0.28472","0.00451"
"3.42000","0.28520","0.00454"
"3.42600","0.28567","0.00456"
"3.43200","0.28621","0.00456"
"3.43800","0.28669","0.00456"
"3.44400","0.28723","0.00456"
"3.45000","0.28771","0.00452"
"3.45600","0.28819","0.00454"
"3.46200","0.28866","0.00466"
"3.46800","0.28920","0.00470"
"3.47400","0.28968","0.00468"
"3.48000","0.29016","0.00466"
"3.48600","0.29070","0.00465"
"3.49200","0.29118","0.00460"
"3.49800","0.29165","0.00455"
"3.50400","0.29219","0.00450"
"3.51000","0.29267","0.00451"
"3.51600","0.29321","0.00451"
"3.52200","0.29369","0.00460"
"3.52800","0.29422","0.00469"
"3.53400","0.29470","0.00463"
"3.54000","0.29518","0.00455"
"3.54600","0.29572","0.00446"
"3.55200","0.29620","0.00441"
"3.55800","0.29668","0.00438"
"3.56400","0.29715","0.00436"
"3.57000","0.29769","0.00436"
"3.57600","0.29817","0.00436"
"3.58200","0.29865","0.00433"
"3.58800","0.29913","0.00439"
"3.59400","0.29967","0.00448"
"3.60000","0.30014","0.00451"
"3.60600","0.30062","0.00455"
"3.61200","0.30116","0.00468"
"3.61800","0.30164","0.00480"
"3.62400","0.30212","0.00489"
"3.63000","0.30265","0.00501"
"3.63600","0.30313","0.00508"
"3.64200","0.30361","0.00504"
"3.64800","0.30415","0.00498"
"3.65400","0.30463","0.00490"
"3.66000","0.30517","0.00479"
"3.66600","0.30564","0.00465"
"3.67200","0.30618","0.00451"
"3.67800","0.30666","0.00446"
"3.68400","0.30720","0.00441"
"3.69000","0.30768","0.00445"
"3.69600","0.30816","0.00455"
"3.70200","0.30869","0.00458"
"3.70800","0.30917","0.00455"
"3.71400","0.30965","0.00451"
"3.72000","0.31013","0.00454"
"3.72600","0.31061","0.00459"
"3.73200","0.31108","0.00458"
"3.73800","0.31162","0.00452"
"3.74400","0.31210","0.00450"
"3.75000","0.31264","0.00445"
"3.75600","0.31312","0.00442"
"3.76200","0.31360","0.00443"
"3.76800","0.31413","0.00445"
"3.77400","0.31461","0.00449"
"3.78000","0.31509","0.00449"
"3.78600","0.31563","0.00452"
"3.79200","0.31611","0.00456"
"3.79800","0.31659","0.00460"
"3.80400","0.31712","0.00471"
"3.81000","0.31760","0.00480"
"3.81600","0.31814","0.00475"
"3.82200","0.31862","0.00472"
"3.82800","0.31916","0.00472"
"3.83400","0.31963","0.00463"
"3.84000","0.32017","0.00456"
"3.84600","0.32065","0.00451"
"3.85200","0.32113","0.00445"
"3.85800","0.32161","0.00445"
"3.86400","0.32215","0.00447"
"3.87000","0.32262","0.00448"
"3.87600","0.32310","0.00450"
"3.88200","0.32364","0.00448"
"3.88800","0.32412","0.00454"
"3.89400","0.32466","0.00461"
"3.90000","0.32514","0.00460"
"3.90600","0.32561","0.00460"
"3.91200","0.32615","0.00461"
"3.91800","0.32663","0.00460"
"3.92400","0.32717","0.00462"
"3.93000","0.32765","0.00464"
"3.93600","0.32818","0.00463"
"3.94200","0.32866","0.00470"
"3.94800","0.32920","0.00474"
"3.95400","0.32968","0.00479"
"3.96000","0.33022","0.00479"
"3.96600","0.33070","0.00473"
"3.97200","0.33123","0.00469"
"3.97800","0.33171","0.00466"
"3.98400","0.33225","0.00460"
"3.99000","0.33273","0.00454"
"3.99600","0.33321","0.00453"
"4.00200","0.33375","0.00454"
"4.00800","0.33422","0.00458"
"4.01400","0.33470","0.00459"
"4.02000","0.33518","0.00457"
"4.02600","0.33566","0.00451"
"4.03200","0.33620","0.00448"
"4.03800","0.33667","0.00447"
"4.04400","0.33715","0.00449"
"4.05000","0.33769","0.00452"
"4.05600","0.33817","0.00459"
"4.06200","0.33865","0.00473"
"4.06800","0.33919","0.00483"
"4.07400","0.33966","0.00484"
"4.08000","0.34014","0.00477"
"4.08600","0.34068","0.00475"
"4.09200","0.34116","0.00473"
"4.09800","0.34170","0.00463"
"4.10400","0.34218","0.00460"
"4.11000","0.34271","0.00459"
"4.11600","0.34319","0.00456"
"4.12200","0.34367","0.00451"
"4.12800","0.34421","0.00446"
"4.13400","0.34469","0.00443"
"4.14000","0.34516","0.00447"
"4.14600","0.34564","0.00451"
"4.15200","0.34618","0.00460"
"4.15800","0.34666","0.00467"
"4.16400","0.34714","0.00470"
"4.17000","0.34762","0.00469"
"4.17600","0.34815","0.00468"
"4.18200","0.34863","0.00467"
"4.18800","0.34911","0.00472"
"4.19400","0.34965","0.00480"
"4.20000","0.35013","0.00481"
"4.20600","0.35061","0.00481"
"4.21200","0.35114","0.00478"
"4.21800","0.35162","0.00478"
"4.22400","0.35210","0.00476"
"4.23000","0.35264","0.00478"
"4.23600","0.35312","0.00488"
"4.24200","0.35360","0.00493"
"4.24800","0.35413","0.00490"
"4.25400","0.35467","0.00486"
"4.26000","0.35515","0.00476"
"4.26600","0.35569","0.00471"
"4.27200","0.35617","0.00474"
"4.27800","0.35664","0.00476"
"4.28400","0.35712","0.00475"
"4.29000","0.35766","0.00478"
"4.29600","0.35814","0.00481"
"4.30200","0.35862","0.00480"
"4.30800","0.35910","0.00484"
"4.31400","0.35963","0.00485"
"4.32000","0.36011","0.00483"
