End date,"12/17/2016"
Specimen label,"15CG_Unk"
Maximum Load,"0.01489",N

Time,Extension,Load
(s),(mm),(N)
"3.79800","0.31671","0.00493"
"3.80400","0.31718","0.00493"
"3.81000","0.31772","0.00492"
"3.81600","0.31820","0.00493"
"3.82200","0.31874","0.00496"
"3.82800","0.31922","0.00494"
"3.83400","0.31969","0.00490"
"3.84000","0.32023","0.00493"
"3.84600","0.32071","0.00496"
"3.85200","0.32125","0.00490"
"3.85800","0.32173","0.00482"
"3.86400","0.32227","0.00481"
"3.87000","0.32274","0.00493"
"3.87600","0.32322","0.00505"
"3.88200","0.32370","0.00510"
"3.88800","0.32418","0.00512"
"3.89400","0.32472","0.00515"
"3.90000","0.32520","0.00517"
"3.90600","0.32567","0.00522"
"3.91200","0.32615","0.00521"
"3.91800","0.32669","0.00522"
"3.92400","0.32717","0.00526"
"3.93000","0.32771","0.00530"
"3.93600","0.32818","0.00531"
"3.94200","0.32872","0.00531"
"3.94800","0.32920","0.00525"
"3.95400","0.32968","0.00515"
"3.96000","0.33022","0.00511"
"3.96600","0.33070","0.00504"
"3.97200","0.33123","0.00501"
"3.97800","0.33171","0.00507"
"3.98400","0.33225","0.00511"
"3.99000","0.33273","0.00507"
"3.99600","0.33321","0.00499"
"4.00200","0.33375","0.00492"
"4.00800","0.33422","0.00491"
"4.01400","0.33470","0.00487"
"4.02000","0.33524","0.00489"
"4.02600","0.33572","0.00497"
"4.03200","0.33620","0.00502"
"4.03800","0.33673","0.00507"
"4.04400","0.33721","0.00515"
"4.05000","0.33775","0.00523"
"4.05600","0.33823","0.00523"
"4.06200","0.33871","0.00525"
"4.06800","0.33925","0.00525"
"4.07400","0.33972","0.00526"
"4.08000","0.34020","0.00523"
"4.08600","0.34074","0.00520"
"4.09200","0.34122","0.00520"
"4.09800","0.34176","0.00519"
"4.10400","0.34224","0.00518"
"4.11000","0.34271","0.00515"
"4.11600","0.34325","0.00513"
"4.12200","0.34373","0.00509"
"4.12800","0.34427","0.00505"
"4.13400","0.34481","0.00507"
"4.14000","0.34528","0.00514"
"4.14600","0.34576","0.00516"
"4.15200","0.34630","0.00515"
"4.15800","0.34678","0.00516"
"4.16400","0.34726","0.00514"
"4.17000","0.34774","0.00516"
"4.17600","0.34827","0.00521"
"4.18200","0.34875","0.00524"
"4.18800","0.34923","0.00521"
"4.19400","0.34977","0.00515"
"4.20000","0.35025","0.00512"
"4.20600","0.35073","0.00514"
"4.21200","0.35126","0.00520"
"4.21800","0.35174","0.00526"
"4.22400","0.35222","0.00528"
"4.23000","0.35276","0.00529"
"4.23600","0.35324","0.00531"
"4.24200","0.35371","0.00541"
"4.24800","0.35419","0.00548"
"4.25400","0.35473","0.00550"
"4.26000","0.35521","0.00547"
"4.26600","0.35575","0.00539"
"4.27200","0.35623","0.00535"
"4.27800","0.35676","0.00531"
"4.28400","0.35724","0.00531"
"4.29000","0.35772","0.00534"
"4.29600","0.35826","0.00538"
"4.30200","0.35874","0.00545"
"4.30800","0.35922","0.00553"
"4.31400","0.35969","0.00554"
"4.32000","0.36017","0.00556"
"4.32600","0.36071","0.00561"
"4.33200","0.36119","0.00558"
"4.33800","0.36173","0.00559"
"4.34400","0.36220","0.00559"
"4.35000","0.36268","0.00556"
"4.35600","0.36322","0.00554"
"4.36200","0.36370","0.00554"
"4.36800","0.36418","0.00547"
"4.37400","0.36472","0.00544"
"4.38000","0.36519","0.00539"
"4.38600","0.36567","0.00535"
"4.39200","0.36621","0.00538"
"4.39800","0.36669","0.00539"
"4.40400","0.36717","0.00540"
"4.41000","0.36771","0.00536"
"4.41600","0.36818","0.00530"
"4.42200","0.36872","0.00535"
"4.42800","0.36920","0.00543"
"4.43400","0.36968","0.00550"
"4.44000","0.37022","0.00554"
"4.44600","0.37070","0.00560"
"4.45200","0.37117","0.00562"
"4.45800","0.37171","0.00563"
"4.46400","0.37219","0.00555"
"4.47000","0.37267","0.00545"
"4.47600","0.37321","0.00537"
"4.48200","0.37368","0.00535"
"4.48800","0.37422","0.00537"
"4.49400","0.37470","0.00541"
"4.50000","0.37524","0.00546"
"4.50600","0.37572","0.00551"
"4.51200","0.37620","0.00550"
"4.51800","0.37673","0.00551"
"4.52400","0.37721","0.00548"
"4.53000","0.37769","0.00538"
