End date,"2/25/2017"
Specimen label,"6BG_41"
Maximum Load,"1.72377",N

Time,Extension,Load
(s),(mm),(N)
"4.47600","0.37309","0.00201"
"4.48200","0.37362","0.00202"
"4.48800","0.37410","0.00196"
"4.49400","0.37458","0.00189"
"4.50000","0.37512","0.00186"
"4.50600","0.37560","0.00180"
"4.51200","0.37608","0.00168"
"4.51800","0.37661","0.00171"
"4.52400","0.37709","0.00180"
"4.53000","0.37763","0.00187"
"4.53600","0.37811","0.00187"
"4.54200","0.37865","0.00176"
"4.54800","0.37919","0.00163"
"4.55400","0.37966","0.00166"
"4.56000","0.38020","0.00173"
"4.56600","0.38068","0.00173"
"4.57200","0.38122","0.00162"
"4.57800","0.38170","0.00139"
"4.58400","0.38217","0.00111"
"4.59000","0.38271","0.00091"
"4.59600","0.38319","0.00091"
"4.60200","0.38373","0.00098"
"4.60800","0.38421","0.00106"
"4.61400","0.38475","0.00109"
"4.62000","0.38522","0.00117"
"4.62600","0.38576","0.00125"
"4.63200","0.38624","0.00120"
"4.63800","0.38672","0.00125"
"4.64400","0.38726","0.00138"
"4.65000","0.38774","0.00134"
"4.65600","0.38821","0.00131"
"4.66200","0.38875","0.00134"
"4.66800","0.38923","0.00133"
"4.67400","0.38971","0.00138"
"4.68000","0.39025","0.00154"
"4.68600","0.39072","0.00172"
"4.69200","0.39126","0.00185"
"4.69800","0.39174","0.00201"
"4.70400","0.39222","0.00215"
"4.71000","0.39276","0.00216"
"4.71600","0.39324","0.00216"
"4.72200","0.39377","0.00211"
"4.72800","0.39425","0.00208"
"4.73400","0.39473","0.00206"
"4.74000","0.39527","0.00207"
"4.74600","0.39575","0.00216"
"4.75200","0.39623","0.00223"
"4.75800","0.39670","0.00227"
"4.76400","0.39724","0.00216"
"4.77000","0.39772","0.00213"
"4.77600","0.39820","0.00222"
"4.78200","0.39874","0.00229"
"4.78800","0.39921","0.00228"
"4.79400","0.39969","0.00222"
"4.80000","0.40023","0.00204"
"4.80600","0.40071","0.00172"
"4.81200","0.40125","0.00151"
"4.81800","0.40173","0.00156"
"4.82400","0.40220","0.00154"
"4.83000","0.40274","0.00150"
