End date,"2/25/2017"
Specimen label,"1DG_unk"
Maximum Load,"0.41180",N

Time,Extension,Load
(s),(mm),(N)
"2.99400","0.24962","0.00394"
"3.00000","0.25016","0.00392"
"3.00600","0.25064","0.00384"
"3.01200","0.25112","0.00371"
"3.01800","0.25165","0.00355"
"3.02400","0.25219","0.00344"
"3.03000","0.25273","0.00341"
"3.03600","0.25321","0.00335"
"3.04200","0.25375","0.00331"
"3.04800","0.25423","0.00332"
"3.05400","0.25470","0.00343"
"3.06000","0.25524","0.00357"
"3.06600","0.25572","0.00353"
"3.07200","0.25620","0.00344"
"3.07800","0.25668","0.00322"
"3.08400","0.25715","0.00293"
"3.09000","0.25769","0.00273"
"3.09600","0.25817","0.00267"
"3.10200","0.25871","0.00274"
"3.10800","0.25919","0.00275"
"3.11400","0.25967","0.00279"
"3.12000","0.26020","0.00282"
"3.12600","0.26068","0.00289"
"3.13200","0.26122","0.00289"
"3.13800","0.26170","0.00296"
"3.14400","0.26218","0.00320"
"3.15000","0.26272","0.00338"
"3.15600","0.26319","0.00351"
"3.16200","0.26373","0.00365"
"3.16800","0.26421","0.00373"
"3.17400","0.26475","0.00369"
"3.18000","0.26523","0.00383"
"3.18600","0.26576","0.00401"
"3.19200","0.26624","0.00414"
"3.19800","0.26672","0.00415"
"3.20400","0.26720","0.00399"
"3.21000","0.26774","0.00380"
"3.21600","0.26822","0.00369"
"3.22200","0.26869","0.00360"
"3.22800","0.26917","0.00358"
"3.23400","0.26971","0.00354"
"3.24000","0.27019","0.00357"
"3.24600","0.27067","0.00365"
"3.25200","0.27121","0.00362"
"3.25800","0.27168","0.00364"
"3.26400","0.27216","0.00370"
"3.27000","0.27270","0.00367"
"3.27600","0.27318","0.00370"
"3.28200","0.27372","0.00368"
"3.28800","0.27419","0.00364"
"3.29400","0.27467","0.00356"
"3.30000","0.27521","0.00354"
"3.30600","0.27569","0.00356"
"3.31200","0.27617","0.00356"
"3.31800","0.27671","0.00354"
"3.32400","0.27718","0.00351"
"3.33000","0.27772","0.00343"
"3.33600","0.27820","0.00326"
"3.34200","0.27874","0.00317"
"3.34800","0.27922","0.00316"
"3.35400","0.27970","0.00331"
"3.36000","0.28023","0.00348"
"3.36600","0.28071","0.00345"
"3.37200","0.28119","0.00334"
"3.37800","0.28167","0.00328"
"3.38400","0.28215","0.00329"
"3.39000","0.28263","0.00333"
"3.39600","0.28316","0.00345"
"3.40200","0.28364","0.00358"
"3.40800","0.28412","0.00357"
"3.41400","0.28466","0.00346"
"3.42000","0.28514","0.00344"
"3.42600","0.28561","0.00346"
"3.43200","0.28615","0.00362"
"3.43800","0.28663","0.00368"
"3.44400","0.28717","0.00355"
"3.45000","0.28765","0.00339"
"3.45600","0.28819","0.00320"
"3.46200","0.28866","0.00318"
"3.46800","0.28914","0.00328"
"3.47400","0.28968","0.00332"
"3.48000","0.29016","0.00349"
"3.48600","0.29064","0.00364"
"3.49200","0.29118","0.00364"
"3.49800","0.29165","0.00354"
"3.50400","0.29213","0.00350"
"3.51000","0.29261","0.00357"
"3.51600","0.29315","0.00356"
"3.52200","0.29363","0.00350"
"3.52800","0.29410","0.00350"
"3.53400","0.29464","0.00352"
"3.54000","0.29512","0.00353"
"3.54600","0.29566","0.00346"
"3.55200","0.29614","0.00334"
"3.55800","0.29662","0.00339"
"3.56400","0.29715","0.00352"
"3.57000","0.29763","0.00362"
"3.57600","0.29817","0.00371"
"3.58200","0.29865","0.00380"
"3.58800","0.29919","0.00386"
"3.59400","0.29972","0.00383"
"3.60000","0.30020","0.00375"
"3.60600","0.30074","0.00367"
"3.61200","0.30122","0.00351"
"3.61800","0.30170","0.00333"
"3.62400","0.30224","0.00323"
"3.63000","0.30271","0.00318"
"3.63600","0.30319","0.00308"
"3.64200","0.30373","0.00307"
"3.64800","0.30421","0.00311"
"3.65400","0.30475","0.00318"
"3.66000","0.30523","0.00326"
"3.66600","0.30570","0.00324"
"3.67200","0.30618","0.00320"
"3.67800","0.30672","0.00325"
"3.68400","0.30720","0.00321"
"3.69000","0.30768","0.00325"
"3.69600","0.30816","0.00344"
"3.70200","0.30869","0.00364"
"3.70800","0.30917","0.00370"
"3.71400","0.30965","0.00373"
"3.72000","0.31013","0.00369"
"3.72600","0.31067","0.00364"
"3.73200","0.31114","0.00354"
"3.73800","0.31168","0.00343"
"3.74400","0.31222","0.00335"
"3.75000","0.31270","0.00336"
"3.75600","0.31324","0.00330"
"3.76200","0.31372","0.00330"
"3.76800","0.31419","0.00332"
"3.77400","0.31473","0.00346"
"3.78000","0.31521","0.00377"
"3.78600","0.31575","0.00401"
"3.79200","0.31623","0.00407"
"3.79800","0.31671","0.00415"
"3.80400","0.31718","0.00417"
"3.81000","0.31772","0.00395"
"3.81600","0.31820","0.00364"
"3.82200","0.31868","0.00337"
"3.82800","0.31922","0.00324"
"3.83400","0.31969","0.00316"
"3.84000","0.32017","0.00318"
"3.84600","0.32071","0.00327"
"3.85200","0.32119","0.00335"
"3.85800","0.32167","0.00347"
"3.86400","0.32221","0.00359"
"3.87000","0.32268","0.00367"
"3.87600","0.32316","0.00375"
"3.88200","0.32370","0.00386"
"3.88800","0.32418","0.00393"
"3.89400","0.32472","0.00387"
"3.90000","0.32520","0.00384"
"3.90600","0.32573","0.00382"
"3.91200","0.32621","0.00379"
"3.91800","0.32669","0.00365"
"3.92400","0.32717","0.00357"
"3.93000","0.32771","0.00375"
"3.93600","0.32818","0.00397"
"3.94200","0.32866","0.00408"
"3.94800","0.32914","0.00417"
"3.95400","0.32962","0.00419"
"3.96000","0.33016","0.00413"
"3.96600","0.33064","0.00386"
"3.97200","0.33111","0.00370"
"3.97800","0.33165","0.00359"
"3.98400","0.33213","0.00349"
"3.99000","0.33261","0.00345"
"3.99600","0.33315","0.00357"
"4.00200","0.33363","0.00374"
"4.00800","0.33410","0.00380"
"4.01400","0.33464","0.00383"
"4.02000","0.33512","0.00376"
"4.02600","0.33566","0.00371"
"4.03200","0.33614","0.00367"
"4.03800","0.33667","0.00376"
"4.04400","0.33715","0.00383"
"4.05000","0.33769","0.00389"
"4.05600","0.33817","0.00392"
"4.06200","0.33871","0.00385"
"4.06800","0.33919","0.00368"
"4.07400","0.33966","0.00354"
"4.08000","0.34020","0.00343"
"4.08600","0.34068","0.00349"
"4.09200","0.34116","0.00369"
"4.09800","0.34170","0.00393"
"4.10400","0.34218","0.00412"
"4.11000","0.34271","0.00421"
"4.11600","0.34319","0.00414"
"4.12200","0.34367","0.00408"
"4.12800","0.34421","0.00406"
"4.13400","0.34469","0.00408"
"4.14000","0.34522","0.00402"
"4.14600","0.34570","0.00389"
"4.15200","0.34624","0.00380"
"4.15800","0.34672","0.00376"
"4.16400","0.34720","0.00370"
"4.17000","0.34774","0.00373"
"4.17600","0.34821","0.00383"
