End date,"2/25/2017"
Specimen label,"1BG_5.2"
Maximum Load,"0.02768",N

Time,Extension,Load
(s),(mm),(N)
"3.91200","0.32609","0.00069"
"3.91800","0.32663","0.00083"
"3.92400","0.32711","0.00083"
"3.93000","0.32759","0.00061"
"3.93600","0.32807","0.00037"
"3.94200","0.32860","0.00030"
"3.94800","0.32908","0.00036"
"3.95400","0.32956","0.00047"
"3.96000","0.33010","0.00071"
"3.96600","0.33058","0.00101"
"3.97200","0.33105","0.00127"
"3.97800","0.33159","0.00148"
"3.98400","0.33207","0.00148"
"3.99000","0.33261","0.00123"
"3.99600","0.33309","0.00092"
"4.00200","0.33363","0.00069"
"4.00800","0.33410","0.00049"
"4.01400","0.33458","0.00046"
"4.02000","0.33512","0.00057"
"4.02600","0.33560","0.00075"
"4.03200","0.33608","0.00087"
"4.03800","0.33662","0.00089"
"4.04400","0.33709","0.00090"
"4.05000","0.33763","0.00075"
"4.05600","0.33817","0.00056"
"4.06200","0.33865","0.00039"
"4.06800","0.33913","0.00038"
"4.07400","0.33966","0.00049"
"4.08000","0.34014","0.00065"
"4.08600","0.34068","0.00078"
"4.09200","0.34116","0.00092"
"4.09800","0.34164","0.00102"
"4.10400","0.34218","0.00093"
"4.11000","0.34265","0.00087"
"4.11600","0.34319","0.00077"
"4.12200","0.34367","0.00068"
"4.12800","0.34421","0.00068"
"4.13400","0.34469","0.00069"
"4.14000","0.34516","0.00062"
"4.14600","0.34564","0.00047"
"4.15200","0.34618","0.00041"
"4.15800","0.34666","0.00047"
"4.16400","0.34714","0.00052"
"4.17000","0.34762","0.00071"
"4.17600","0.34815","0.00104"
"4.18200","0.34863","0.00123"
"4.18800","0.34917","0.00128"
"4.19400","0.34965","0.00116"
"4.20000","0.35019","0.00112"
"4.20600","0.35067","0.00112"
"4.21200","0.35114","0.00115"
"4.21800","0.35168","0.00125"
"4.22400","0.35216","0.00123"
"4.23000","0.35264","0.00108"
"4.23600","0.35318","0.00090"
"4.24200","0.35366","0.00070"
"4.24800","0.35413","0.00049"
"4.25400","0.35467","0.00042"
"4.26000","0.35515","0.00046"
"4.26600","0.35569","0.00054"
"4.27200","0.35617","0.00055"
"4.27800","0.35664","0.00056"
"4.28400","0.35718","0.00064"
"4.29000","0.35766","0.00076"
"4.29600","0.35814","0.00083"
"4.30200","0.35868","0.00098"
"4.30800","0.35916","0.00109"
"4.31400","0.35963","0.00116"
"4.32000","0.36017","0.00117"
"4.32600","0.36065","0.00105"
"4.33200","0.36113","0.00090"
"4.33800","0.36161","0.00083"
"4.34400","0.36215","0.00076"
"4.35000","0.36262","0.00066"
"4.35600","0.36310","0.00074"
"4.36200","0.36364","0.00086"
"4.36800","0.36412","0.00088"
"4.37400","0.36460","0.00085"
"4.38000","0.36513","0.00104"
"4.38600","0.36561","0.00121"
"4.39200","0.36615","0.00140"
"4.39800","0.36663","0.00139"
"4.40400","0.36717","0.00118"
"4.41000","0.36765","0.00114"
"4.41600","0.36812","0.00114"
"4.42200","0.36866","0.00095"
"4.42800","0.36914","0.00062"
"4.43400","0.36962","0.00036"
"4.44000","0.37016","0.00027"
"4.44600","0.37064","0.00041"
"4.45200","0.37111","0.00064"
"4.45800","0.37159","0.00083"
"4.46400","0.37213","0.00088"
"4.47000","0.37261","0.00083"
"4.47600","0.37309","0.00076"
"4.48200","0.37362","0.00065"
"4.48800","0.37410","0.00062"
"4.49400","0.37458","0.00065"
"4.50000","0.37506","0.00074"
"4.50600","0.37560","0.00081"
"4.51200","0.37608","0.00088"
"4.51800","0.37655","0.00100"
"4.52400","0.37709","0.00105"
"4.53000","0.37757","0.00111"
"4.53600","0.37811","0.00108"
"4.54200","0.37859","0.00110"
"4.54800","0.37913","0.00102"
"4.55400","0.37966","0.00095"
"4.56000","0.38014","0.00098"
"4.56600","0.38068","0.00103"
"4.57200","0.38116","0.00104"
"4.57800","0.38164","0.00108"
"4.58400","0.38217","0.00098"
"4.59000","0.38265","0.00087"
"4.59600","0.38313","0.00084"
"4.60200","0.38367","0.00078"
"4.60800","0.38415","0.00069"
"4.61400","0.38463","0.00063"
"4.62000","0.38516","0.00066"
"4.62600","0.38564","0.00071"
"4.63200","0.38612","0.00078"
"4.63800","0.38666","0.00092"
"4.64400","0.38714","0.00107"
"4.65000","0.38762","0.00108"
"4.65600","0.38815","0.00102"
"4.66200","0.38863","0.00093"
"4.66800","0.38917","0.00074"
"4.67400","0.38965","0.00068"
"4.68000","0.39019","0.00083"
"4.68600","0.39066","0.00110"
"4.69200","0.39120","0.00132"
"4.69800","0.39168","0.00130"
"4.70400","0.39222","0.00112"
"4.71000","0.39270","0.00094"
"4.71600","0.39318","0.00088"
"4.72200","0.39371","0.00086"
"4.72800","0.39419","0.00092"
"4.73400","0.39467","0.00102"
"4.74000","0.39521","0.00113"
"4.74600","0.39569","0.00110"
"4.75200","0.39617","0.00113"
"4.75800","0.39664","0.00108"
"4.76400","0.39718","0.00098"
"4.77000","0.39766","0.00089"
"4.77600","0.39814","0.00084"
"4.78200","0.39868","0.00076"
"4.78800","0.39915","0.00071"
"4.79400","0.39963","0.00082"
"4.80000","0.40017","0.00097"
"4.80600","0.40065","0.00103"
"4.81200","0.40113","0.00102"
"4.81800","0.40167","0.00097"
"4.82400","0.40214","0.00098"
"4.83000","0.40268","0.00085"
