End date,"1/8/2017"
Specimen label,"11AT_NL"
Maximum Load,"0.06823",N

Time,Extension,Load
(s),(mm),(N)
"2.85600","0.23820","-0.00037"
"2.86200","0.23874","-0.00031"
"2.86800","0.23922","-0.00029"
"2.87400","0.23970","-0.00016"
"2.88000","0.24017","-0.00006"
"2.88600","0.24071","-0.00001"
"2.89200","0.24119","-0.00004"
"2.89800","0.24167","0.00000"
"2.90400","0.24221","0.00012"
"2.91000","0.24269","0.00017"
"2.91600","0.24316","0.00009"
"2.92200","0.24364","0.00000"
"2.92800","0.24418","-0.00010"
"2.93400","0.24466","-0.00018"
"2.94000","0.24514","-0.00030"
"2.94600","0.24562","-0.00035"
"2.95200","0.24615","-0.00034"
"2.95800","0.24663","-0.00035"
"2.96400","0.24711","-0.00031"
"2.97000","0.24765","-0.00027"
"2.97600","0.24819","-0.00025"
"2.98200","0.24866","-0.00013"
"2.98800","0.24914","0.00007"
"2.99400","0.24968","0.00022"
"3.00000","0.25016","0.00016"
"3.00600","0.25070","0.00008"
"3.01200","0.25118","0.00005"
"3.01800","0.25171","0.00010"
"3.02400","0.25219","0.00022"
"3.03000","0.25267","0.00032"
"3.03600","0.25315","0.00033"
"3.04200","0.25369","0.00030"
"3.04800","0.25417","0.00029"
"3.05400","0.25464","0.00035"
"3.06000","0.25518","0.00030"
"3.06600","0.25566","0.00018"
"3.07200","0.25614","0.00005"
"3.07800","0.25668","-0.00019"
"3.08400","0.25715","-0.00032"
"3.09000","0.25763","-0.00033"
"3.09600","0.25811","-0.00015"
"3.10200","0.25865","0.00007"
"3.10800","0.25913","0.00013"
"3.11400","0.25961","0.00021"
"3.12000","0.26014","0.00031"
"3.12600","0.26062","0.00024"
"3.13200","0.26116","0.00023"
"3.13800","0.26164","0.00035"
"3.14400","0.26218","0.00052"
"3.15000","0.26272","0.00060"
"3.15600","0.26319","0.00059"
"3.16200","0.26367","0.00043"
"3.16800","0.26421","0.00028"
"3.17400","0.26469","0.00022"
"3.18000","0.26517","0.00022"
"3.18600","0.26564","0.00034"
"3.19200","0.26618","0.00042"
"3.19800","0.26666","0.00043"
"3.20400","0.26714","0.00038"
"3.21000","0.26768","0.00027"
"3.21600","0.26816","0.00023"
"3.22200","0.26869","0.00031"
"3.22800","0.26917","0.00036"
"3.23400","0.26971","0.00040"
"3.24000","0.27019","0.00041"
"3.24600","0.27073","0.00041"
"3.25200","0.27121","0.00038"
"3.25800","0.27168","0.00037"
"3.26400","0.27222","0.00035"
"3.27000","0.27270","0.00023"
"3.27600","0.27324","0.00007"
"3.28200","0.27372","-0.00016"
"3.28800","0.27425","-0.00029"
"3.29400","0.27479","-0.00032"
"3.30000","0.27527","-0.00032"
"3.30600","0.27575","-0.00020"
"3.31200","0.27629","-0.00021"
"3.31800","0.27677","-0.00025"
"3.32400","0.27724","-0.00026"
"3.33000","0.27772","-0.00007"
"3.33600","0.27820","0.00020"
"3.34200","0.27874","0.00038"
"3.34800","0.27922","0.00047"
"3.35400","0.27970","0.00055"
"3.36000","0.28023","0.00051"
"3.36600","0.28071","0.00046"
"3.37200","0.28125","0.00053"
"3.37800","0.28173","0.00052"
"3.38400","0.28221","0.00046"
"3.39000","0.28274","0.00037"
"3.39600","0.28322","0.00026"
"3.40200","0.28376","0.00018"
"3.40800","0.28424","0.00018"
"3.41400","0.28472","0.00021"
"3.42000","0.28526","0.00021"
"3.42600","0.28573","0.00019"
"3.43200","0.28621","0.00016"
"3.43800","0.28675","0.00015"
"3.44400","0.28723","0.00021"
"3.45000","0.28771","0.00031"
"3.45600","0.28819","0.00055"
"3.46200","0.28872","0.00073"
"3.46800","0.28920","0.00062"
"3.47400","0.28968","0.00030"
"3.48000","0.29022","0.00008"
"3.48600","0.29070","0.00007"
"3.49200","0.29118","0.00017"
"3.49800","0.29171","0.00024"
"3.50400","0.29219","0.00030"
"3.51000","0.29267","0.00029"
"3.51600","0.29321","0.00022"
"3.52200","0.29369","0.00013"
"3.52800","0.29416","0.00006"
"3.53400","0.29470","0.00008"
"3.54000","0.29518","0.00013"
"3.54600","0.29566","0.00024"
"3.55200","0.29620","0.00030"
"3.55800","0.29668","0.00018"
"3.56400","0.29715","0.00012"
"3.57000","0.29769","0.00019"
"3.57600","0.29817","0.00031"
"3.58200","0.29871","0.00044"
"3.58800","0.29919","0.00047"
"3.59400","0.29967","0.00038"
"3.60000","0.30014","0.00022"
"3.60600","0.30068","0.00008"
"3.61200","0.30116","0.00009"
"3.61800","0.30164","0.00014"
"3.62400","0.30218","0.00004"
"3.63000","0.30265","-0.00003"
"3.63600","0.30319","-0.00009"
"3.64200","0.30367","-0.00009"
"3.64800","0.30415","0.00007"
"3.65400","0.30469","0.00035"
"3.66000","0.30517","0.00050"
"3.66600","0.30570","0.00035"
"3.67200","0.30618","0.00022"
"3.67800","0.30666","0.00029"
"3.68400","0.30720","0.00029"
"3.69000","0.30768","0.00038"
"3.69600","0.30822","0.00054"
"3.70200","0.30869","0.00069"
"3.70800","0.30917","0.00070"
"3.71400","0.30971","0.00071"
"3.72000","0.31019","0.00064"
"3.72600","0.31073","0.00057"
"3.73200","0.31120","0.00047"
"3.73800","0.31168","0.00035"
"3.74400","0.31222","0.00015"
"3.75000","0.31270","-0.00003"
