End date,"1/8/2017"
Specimen label,"20DT_UNK"
Maximum Load,"0.19153",N

Time,Extension,Load
(s),(mm),(N)
"3.62400","0.30218","0.00423"
"3.63000","0.30265","0.00423"
"3.63600","0.30313","0.00431"
"3.64200","0.30367","0.00437"
"3.64800","0.30415","0.00443"
"3.65400","0.30463","0.00449"
"3.66000","0.30511","0.00450"
"3.66600","0.30558","0.00441"
"3.67200","0.30612","0.00435"
"3.67800","0.30660","0.00433"
"3.68400","0.30708","0.00433"
"3.69000","0.30762","0.00433"
"3.69600","0.30810","0.00432"
"3.70200","0.30857","0.00429"
"3.70800","0.30911","0.00432"
"3.71400","0.30959","0.00437"
"3.72000","0.31013","0.00444"
"3.72600","0.31061","0.00454"
"3.73200","0.31114","0.00466"
"3.73800","0.31168","0.00471"
"3.74400","0.31216","0.00476"
"3.75000","0.31270","0.00475"
"3.75600","0.31318","0.00469"
"3.76200","0.31366","0.00461"
"3.76800","0.31419","0.00455"
"3.77400","0.31467","0.00453"
"3.78000","0.31515","0.00456"
"3.78600","0.31569","0.00458"
"3.79200","0.31617","0.00459"
"3.79800","0.31665","0.00454"
"3.80400","0.31718","0.00445"
"3.81000","0.31766","0.00441"
"3.81600","0.31814","0.00440"
"3.82200","0.31868","0.00438"
"3.82800","0.31916","0.00441"
"3.83400","0.31969","0.00447"
"3.84000","0.32017","0.00446"
"3.84600","0.32065","0.00441"
"3.85200","0.32119","0.00440"
"3.85800","0.32167","0.00436"
"3.86400","0.32221","0.00427"
"3.87000","0.32268","0.00425"
"3.87600","0.32322","0.00425"
"3.88200","0.32370","0.00424"
"3.88800","0.32424","0.00427"
"3.89400","0.32472","0.00436"
"3.90000","0.32526","0.00446"
"3.90600","0.32573","0.00459"
"3.91200","0.32621","0.00460"
"3.91800","0.32675","0.00460"
"3.92400","0.32723","0.00460"
"3.93000","0.32771","0.00450"
"3.93600","0.32818","0.00442"
"3.94200","0.32872","0.00446"
"3.94800","0.32920","0.00450"
"3.95400","0.32968","0.00454"
"3.96000","0.33022","0.00458"
"3.96600","0.33070","0.00461"
