End date,"1/8/2017"
Specimen label,"19AG_UNK"
Maximum Load,"0.01075",N

Time,Extension,Load
(s),(mm),(N)
"3.13800","0.26164","0.00819"
"3.14400","0.26212","0.00817"
"3.15000","0.26266","0.00808"
"3.15600","0.26313","0.00794"
"3.16200","0.26361","0.00784"
"3.16800","0.26415","0.00787"
"3.17400","0.26463","0.00792"
"3.18000","0.26511","0.00801"
"3.18600","0.26559","0.00807"
"3.19200","0.26612","0.00801"
"3.19800","0.26660","0.00800"
"3.20400","0.26708","0.00793"
"3.21000","0.26762","0.00795"
"3.21600","0.26810","0.00793"
"3.22200","0.26857","0.00783"
"3.22800","0.26911","0.00776"
"3.23400","0.26959","0.00777"
"3.24000","0.27013","0.00774"
"3.24600","0.27061","0.00774"
"3.25200","0.27115","0.00779"
"3.25800","0.27162","0.00785"
"3.26400","0.27216","0.00790"
"3.27000","0.27264","0.00783"
"3.27600","0.27318","0.00770"
"3.28200","0.27366","0.00769"
"3.28800","0.27419","0.00770"
"3.29400","0.27467","0.00773"
"3.30000","0.27515","0.00776"
"3.30600","0.27569","0.00775"
"3.31200","0.27617","0.00775"
"3.31800","0.27665","0.00764"
"3.32400","0.27718","0.00749"
"3.33000","0.27766","0.00742"
"3.33600","0.27814","0.00742"
"3.34200","0.27862","0.00740"
"3.34800","0.27916","0.00744"
"3.35400","0.27964","0.00751"
"3.36000","0.28011","0.00762"
"3.36600","0.28065","0.00771"
"3.37200","0.28113","0.00781"
"3.37800","0.28161","0.00787"
"3.38400","0.28215","0.00787"
"3.39000","0.28263","0.00781"
"3.39600","0.28316","0.00780"
"3.40200","0.28370","0.00787"
"3.40800","0.28418","0.00792"
"3.41400","0.28472","0.00800"
"3.42000","0.28520","0.00807"
"3.42600","0.28573","0.00806"
"3.43200","0.28621","0.00800"
"3.43800","0.28669","0.00793"
"3.44400","0.28717","0.00796"
"3.45000","0.28771","0.00799"
"3.45600","0.28819","0.00795"
"3.46200","0.28866","0.00791"
"3.46800","0.28914","0.00789"
"3.47400","0.28968","0.00776"
"3.48000","0.29016","0.00761"
"3.48600","0.29070","0.00758"
"3.49200","0.29118","0.00764"
"3.49800","0.29165","0.00777"
"3.50400","0.29219","0.00791"
"3.51000","0.29267","0.00803"
"3.51600","0.29315","0.00805"
"3.52200","0.29369","0.00802"
"3.52800","0.29416","0.00804"
"3.53400","0.29464","0.00810"
"3.54000","0.29518","0.00804"
"3.54600","0.29566","0.00801"
"3.55200","0.29620","0.00801"
"3.55800","0.29668","0.00799"
"3.56400","0.29721","0.00798"
"3.57000","0.29769","0.00791"
"3.57600","0.29817","0.00778"
"3.58200","0.29871","0.00764"
"3.58800","0.29919","0.00756"
"3.59400","0.29967","0.00753"
"3.60000","0.30014","0.00754"
"3.60600","0.30062","0.00757"
