End date,"12/16/2016"
Specimen label,"6DG_Unk"
Maximum Load,"0.12815",N

Time,Extension,Load
(s),(mm),(N)
"3.13200","0.26116","-0.00003"
"3.13800","0.26170","-0.00002"
"3.14400","0.26218","0.00006"
"3.15000","0.26272","0.00018"
"3.15600","0.26319","0.00038"
"3.16200","0.26373","0.00054"
"3.16800","0.26421","0.00058"
"3.17400","0.26469","0.00057"
"3.18000","0.26523","0.00044"
"3.18600","0.26570","0.00042"
"3.19200","0.26618","0.00047"
"3.19800","0.26672","0.00043"
"3.20400","0.26720","0.00052"
"3.21000","0.26768","0.00065"
"3.21600","0.26816","0.00073"
"3.22200","0.26863","0.00079"
"3.22800","0.26917","0.00069"
"3.23400","0.26965","0.00064"
"3.24000","0.27013","0.00065"
"3.24600","0.27061","0.00063"
"3.25200","0.27115","0.00062"
"3.25800","0.27162","0.00056"
"3.26400","0.27210","0.00036"
"3.27000","0.27264","0.00029"
"3.27600","0.27312","0.00020"
"3.28200","0.27366","0.00012"
"3.28800","0.27419","0.00021"
"3.29400","0.27467","0.00032"
"3.30000","0.27521","0.00035"
"3.30600","0.27569","0.00038"
"3.31200","0.27623","0.00030"
"3.31800","0.27671","0.00020"
"3.32400","0.27724","0.00018"
"3.33000","0.27772","0.00017"
"3.33600","0.27820","0.00026"
"3.34200","0.27868","0.00037"
"3.34800","0.27922","0.00041"
"3.35400","0.27970","0.00047"
"3.36000","0.28017","0.00049"
"3.36600","0.28071","0.00043"
"3.37200","0.28119","0.00051"
"3.37800","0.28173","0.00051"
"3.38400","0.28221","0.00053"
"3.39000","0.28274","0.00061"
"3.39600","0.28322","0.00063"
"3.40200","0.28370","0.00064"
"3.40800","0.28424","0.00060"
"3.41400","0.28472","0.00050"
"3.42000","0.28520","0.00051"
"3.42600","0.28573","0.00046"
"3.43200","0.28621","0.00047"
"3.43800","0.28675","0.00052"
"3.44400","0.28723","0.00049"
"3.45000","0.28777","0.00038"
"3.45600","0.28825","0.00030"
"3.46200","0.28872","0.00017"
"3.46800","0.28920","0.00024"
"3.47400","0.28974","0.00040"
"3.48000","0.29022","0.00050"
"3.48600","0.29070","0.00057"
"3.49200","0.29118","0.00056"
"3.49800","0.29165","0.00045"
"3.50400","0.29219","0.00042"
"3.51000","0.29267","0.00046"
"3.51600","0.29321","0.00050"
"3.52200","0.29369","0.00068"
"3.52800","0.29422","0.00077"
"3.53400","0.29470","0.00086"
"3.54000","0.29518","0.00085"
"3.54600","0.29572","0.00068"
"3.55200","0.29620","0.00053"
"3.55800","0.29668","0.00038"
"3.56400","0.29721","0.00029"
"3.57000","0.29769","0.00033"
"3.57600","0.29817","0.00043"
"3.58200","0.29871","0.00046"
"3.58800","0.29919","0.00042"
"3.59400","0.29972","0.00032"
"3.60000","0.30020","0.00021"
"3.60600","0.30074","0.00019"
"3.61200","0.30122","0.00025"
"3.61800","0.30170","0.00033"
"3.62400","0.30224","0.00035"
"3.63000","0.30271","0.00031"
"3.63600","0.30319","0.00034"
