End date,"12/16/2016"
Specimen label,"15AG_19"
Maximum Load,"0.22100",N

Time,Extension,Load
(s),(mm),(N)
"2.99400","0.24968","0.00179"
"3.00000","0.25022","0.00171"
"3.00600","0.25070","0.00168"
"3.01200","0.25124","0.00166"
"3.01800","0.25171","0.00160"
"3.02400","0.25219","0.00157"
"3.03000","0.25273","0.00153"
"3.03600","0.25321","0.00150"
"3.04200","0.25375","0.00171"
"3.04800","0.25423","0.00185"
"3.05400","0.25476","0.00191"
"3.06000","0.25524","0.00198"
"3.06600","0.25572","0.00195"
"3.07200","0.25626","0.00196"
"3.07800","0.25674","0.00201"
"3.08400","0.25721","0.00200"
"3.09000","0.25775","0.00199"
"3.09600","0.25823","0.00191"
"3.10200","0.25871","0.00177"
"3.10800","0.25925","0.00174"
"3.11400","0.25973","0.00174"
"3.12000","0.26020","0.00170"
"3.12600","0.26074","0.00181"
"3.13200","0.26122","0.00183"
"3.13800","0.26170","0.00191"
"3.14400","0.26224","0.00200"
"3.15000","0.26272","0.00185"
"3.15600","0.26325","0.00175"
"3.16200","0.26373","0.00168"
"3.16800","0.26421","0.00159"
"3.17400","0.26475","0.00166"
"3.18000","0.26529","0.00183"
"3.18600","0.26576","0.00187"
"3.19200","0.26630","0.00194"
"3.19800","0.26678","0.00191"
"3.20400","0.26732","0.00183"
"3.21000","0.26780","0.00183"
"3.21600","0.26828","0.00171"
"3.22200","0.26875","0.00162"
"3.22800","0.26929","0.00167"
"3.23400","0.26977","0.00165"
"3.24000","0.27025","0.00162"
"3.24600","0.27079","0.00149"
"3.25200","0.27127","0.00131"
"3.25800","0.27174","0.00148"
"3.26400","0.27228","0.00155"
"3.27000","0.27276","0.00157"
"3.27600","0.27324","0.00158"
"3.28200","0.27372","0.00154"
"3.28800","0.27425","0.00150"
"3.29400","0.27473","0.00150"
"3.30000","0.27521","0.00140"
"3.30600","0.27569","0.00129"
"3.31200","0.27623","0.00126"
"3.31800","0.27671","0.00129"
"3.32400","0.27724","0.00142"
"3.33000","0.27772","0.00147"
"3.33600","0.27826","0.00152"
"3.34200","0.27874","0.00166"
"3.34800","0.27928","0.00178"
"3.35400","0.27976","0.00176"
"3.36000","0.28023","0.00182"
"3.36600","0.28071","0.00188"
"3.37200","0.28119","0.00182"
"3.37800","0.28173","0.00181"
"3.38400","0.28221","0.00170"
"3.39000","0.28268","0.00159"
