End date,"1/21/2017"
Specimen label,"19DT_NT"
Maximum Load,"0.07495",N

Time,Extension,Load
(s),(mm),(N)
"2.13000","0.17769","-0.00532"
"2.13600","0.17823","-0.00549"
"2.14200","0.17871","-0.00562"
"2.14800","0.17925","-0.00556"
"2.15400","0.17973","-0.00556"
"2.16000","0.18027","-0.00570"
"2.16600","0.18074","-0.00567"
"2.17200","0.18122","-0.00556"
"2.17800","0.18176","-0.00537"
"2.18400","0.18224","-0.00508"
"2.19000","0.18272","-0.00502"
"2.19600","0.18325","-0.00507"
"2.20200","0.18373","-0.00508"
"2.20800","0.18421","-0.00512"
"2.21400","0.18469","-0.00505"
"2.22000","0.18523","-0.00482"
"2.22600","0.18571","-0.00461"
"2.23200","0.18618","-0.00439"
"2.23800","0.18666","-0.00429"
"2.24400","0.18720","-0.00431"
"2.25000","0.18768","-0.00440"
"2.25600","0.18816","-0.00464"
"2.26200","0.18870","-0.00492"
"2.26800","0.18917","-0.00505"
"2.27400","0.18965","-0.00518"
"2.28000","0.19019","-0.00527"
"2.28600","0.19067","-0.00540"
"2.29200","0.19115","-0.00559"
"2.29800","0.19169","-0.00572"
"2.30400","0.19216","-0.00576"
"2.31000","0.19270","-0.00571"
"2.31600","0.19318","-0.00559"
"2.32200","0.19366","-0.00539"
"2.32800","0.19414","-0.00509"
"2.33400","0.19461","-0.00487"
"2.34000","0.19515","-0.00486"
"2.34600","0.19563","-0.00483"
"2.35200","0.19611","-0.00467"
"2.35800","0.19665","-0.00454"
"2.36400","0.19713","-0.00456"
"2.37000","0.19760","-0.00468"
"2.37600","0.19814","-0.00481"
"2.38200","0.19862","-0.00474"
"2.38800","0.19910","-0.00474"
"2.39400","0.19964","-0.00468"
"2.40000","0.20012","-0.00440"
"2.40600","0.20059","-0.00431"
"2.41200","0.20113","-0.00432"
"2.41800","0.20161","-0.00432"
"2.42400","0.20215","-0.00440"
"2.43000","0.20263","-0.00448"
"2.43600","0.20316","-0.00454"
"2.44200","0.20370","-0.00461"
"2.44800","0.20418","-0.00464"
"2.45400","0.20472","-0.00473"
"2.46000","0.20520","-0.00488"
"2.46600","0.20568","-0.00487"
"2.47200","0.20621","-0.00481"
"2.47800","0.20669","-0.00474"
"2.48400","0.20717","-0.00467"
"2.49000","0.20771","-0.00475"
"2.49600","0.20819","-0.00491"
"2.50200","0.20867","-0.00511"
"2.50800","0.20920","-0.00533"
"2.51400","0.20968","-0.00533"
"2.52000","0.21016","-0.00521"
"2.52600","0.21070","-0.00505"
"2.53200","0.21118","-0.00488"
"2.53800","0.21165","-0.00473"
"2.54400","0.21219","-0.00473"
"2.55000","0.21267","-0.00464"
"2.55600","0.21315","-0.00451"
"2.56200","0.21369","-0.00437"
"2.56800","0.21423","-0.00408"
"2.57400","0.21470","-0.00399"
"2.58000","0.21524","-0.00405"
"2.58600","0.21572","-0.00423"
"2.59200","0.21626","-0.00451"
"2.59800","0.21674","-0.00472"
"2.60400","0.21728","-0.00489"
"2.61000","0.21775","-0.00505"
"2.61600","0.21823","-0.00507"
