End date,"1/21/2017"
Specimen label,"14DT_NoLabel"
Maximum Load,"0.00887",N

Time,Extension,Load
(s),(mm),(N)
"4.50000","0.37518","-0.00001"
"4.50600","0.37566","-0.00004"
"4.51200","0.37620","-0.00001"
"4.51800","0.37667","0.00004"
"4.52400","0.37715","0.00003"
"4.53000","0.37769","0.00001"
"4.53600","0.37817","0.00000"
"4.54200","0.37865","0.00000"
"4.54800","0.37919","0.00003"
"4.55400","0.37966","-0.00001"
"4.56000","0.38020","-0.00006"
"4.56600","0.38068","-0.00003"
"4.57200","0.38122","-0.00002"
"4.57800","0.38170","0.00005"
"4.58400","0.38223","0.00013"
"4.59000","0.38271","0.00015"
"4.59600","0.38319","0.00005"
"4.60200","0.38373","0.00008"
"4.60800","0.38421","0.00010"
"4.61400","0.38469","0.00004"
"4.62000","0.38522","0.00002"
"4.62600","0.38570","0.00008"
"4.63200","0.38618","0.00012"
"4.63800","0.38672","0.00005"
"4.64400","0.38720","0.00003"
"4.65000","0.38768","0.00005"
"4.65600","0.38815","0.00003"
"4.66200","0.38869","0.00004"
"4.66800","0.38917","0.00011"
"4.67400","0.38965","0.00009"
"4.68000","0.39019","0.00006"
"4.68600","0.39066","0.00004"
"4.69200","0.39120","0.00001"
"4.69800","0.39168","-0.00008"
"4.70400","0.39222","-0.00022"
"4.71000","0.39270","-0.00020"
"4.71600","0.39324","-0.00017"
"4.72200","0.39371","-0.00015"
"4.72800","0.39425","-0.00015"
"4.73400","0.39473","-0.00012"
"4.74000","0.39527","-0.00015"
"4.74600","0.39575","-0.00012"
"4.75200","0.39623","-0.00007"
"4.75800","0.39676","-0.00006"
"4.76400","0.39724","-0.00014"
