End date,"12/23/2016"
Specimen label,"21CT_65"
Maximum Load,"0.01464",N

Time,Extension,Load
(s),(mm),(N)
"3.39600","0.28322","0.00399"
"3.40200","0.28370","0.00390"
"3.40800","0.28424","0.00379"
"3.41400","0.28472","0.00363"
"3.42000","0.28520","0.00350"
"3.42600","0.28567","0.00345"
"3.43200","0.28615","0.00343"
"3.43800","0.28669","0.00346"
"3.44400","0.28717","0.00363"
"3.45000","0.28765","0.00381"
"3.45600","0.28813","0.00389"
"3.46200","0.28866","0.00400"
"3.46800","0.28914","0.00408"
"3.47400","0.28968","0.00405"
"3.48000","0.29016","0.00402"
"3.48600","0.29064","0.00395"
"3.49200","0.29118","0.00393"
"3.49800","0.29165","0.00391"
"3.50400","0.29213","0.00379"
"3.51000","0.29267","0.00373"
"3.51600","0.29315","0.00364"
"3.52200","0.29369","0.00349"
"3.52800","0.29416","0.00344"
"3.53400","0.29470","0.00337"
"3.54000","0.29518","0.00330"
"3.54600","0.29572","0.00331"
"3.55200","0.29620","0.00338"
"3.55800","0.29668","0.00342"
"3.56400","0.29721","0.00355"
"3.57000","0.29769","0.00365"
"3.57600","0.29823","0.00370"
"3.58200","0.29871","0.00378"
"3.58800","0.29919","0.00381"
"3.59400","0.29967","0.00385"
"3.60000","0.30020","0.00386"
"3.60600","0.30068","0.00387"
"3.61200","0.30116","0.00398"
"3.61800","0.30170","0.00406"
"3.62400","0.30218","0.00401"
"3.63000","0.30265","0.00386"
"3.63600","0.30319","0.00370"
"3.64200","0.30367","0.00369"
"3.64800","0.30415","0.00374"
"3.65400","0.30469","0.00371"
"3.66000","0.30517","0.00368"
"3.66600","0.30570","0.00373"
"3.67200","0.30618","0.00378"
"3.67800","0.30672","0.00386"
"3.68400","0.30720","0.00390"
"3.69000","0.30774","0.00388"
"3.69600","0.30822","0.00387"
"3.70200","0.30875","0.00376"
"3.70800","0.30923","0.00362"
"3.71400","0.30971","0.00357"
"3.72000","0.31025","0.00354"
"3.72600","0.31073","0.00362"
"3.73200","0.31120","0.00376"
"3.73800","0.31168","0.00388"
"3.74400","0.31222","0.00402"
"3.75000","0.31270","0.00410"
"3.75600","0.31318","0.00406"
"3.76200","0.31372","0.00415"
"3.76800","0.31419","0.00410"
"3.77400","0.31473","0.00402"
"3.78000","0.31521","0.00398"
"3.78600","0.31575","0.00385"
"3.79200","0.31623","0.00373"
"3.79800","0.31671","0.00367"
"3.80400","0.31724","0.00361"
"3.81000","0.31772","0.00358"
"3.81600","0.31826","0.00360"
"3.82200","0.31874","0.00358"
"3.82800","0.31928","0.00364"
"3.83400","0.31975","0.00362"
"3.84000","0.32023","0.00368"
"3.84600","0.32077","0.00378"
"3.85200","0.32125","0.00382"
"3.85800","0.32173","0.00388"
"3.86400","0.32227","0.00398"
"3.87000","0.32274","0.00398"
"3.87600","0.32322","0.00394"
"3.88200","0.32370","0.00388"
"3.88800","0.32424","0.00386"
"3.89400","0.32472","0.00399"
"3.90000","0.32520","0.00409"
"3.90600","0.32567","0.00408"
"3.91200","0.32615","0.00411"
"3.91800","0.32669","0.00403"
"3.92400","0.32717","0.00397"
"3.93000","0.32765","0.00393"
"3.93600","0.32818","0.00382"
"3.94200","0.32866","0.00383"
"3.94800","0.32920","0.00391"
"3.95400","0.32968","0.00386"
"3.96000","0.33022","0.00386"
"3.96600","0.33070","0.00392"
"3.97200","0.33117","0.00393"
"3.97800","0.33171","0.00397"
"3.98400","0.33219","0.00399"
"3.99000","0.33267","0.00398"
"3.99600","0.33321","0.00404"
