End date,"12/21/2016"
Specimen label,"23DGG_81"
Maximum Load,"0.23561",N

Time,Extension,Load
(s),(mm),(N)
"3.07800","0.25668","0.00125"
"3.08400","0.25715","0.00110"
"3.09000","0.25769","0.00107"
"3.09600","0.25817","0.00100"
"3.10200","0.25871","0.00096"
"3.10800","0.25919","0.00099"
"3.11400","0.25967","0.00104"
"3.12000","0.26020","0.00116"
"3.12600","0.26068","0.00128"
"3.13200","0.26122","0.00136"
"3.13800","0.26170","0.00146"
"3.14400","0.26218","0.00152"
"3.15000","0.26266","0.00158"
"3.15600","0.26319","0.00161"
"3.16200","0.26367","0.00155"
"3.16800","0.26415","0.00150"
"3.17400","0.26463","0.00144"
"3.18000","0.26517","0.00132"
"3.18600","0.26564","0.00130"
"3.19200","0.26612","0.00120"
"3.19800","0.26666","0.00113"
"3.20400","0.26714","0.00117"
"3.21000","0.26768","0.00131"
"3.21600","0.26816","0.00148"
"3.22200","0.26863","0.00152"
"3.22800","0.26917","0.00144"
"3.23400","0.26965","0.00146"
"3.24000","0.27019","0.00158"
"3.24600","0.27067","0.00162"
"3.25200","0.27121","0.00171"
"3.25800","0.27168","0.00179"
"3.26400","0.27222","0.00176"
"3.27000","0.27270","0.00176"
"3.27600","0.27324","0.00167"
"3.28200","0.27372","0.00162"
"3.28800","0.27425","0.00163"
"3.29400","0.27473","0.00158"
"3.30000","0.27521","0.00147"
"3.30600","0.27575","0.00139"
"3.31200","0.27623","0.00136"
"3.31800","0.27671","0.00134"
"3.32400","0.27724","0.00135"
"3.33000","0.27772","0.00133"
"3.33600","0.27820","0.00139"
"3.34200","0.27874","0.00136"
"3.34800","0.27922","0.00138"
"3.35400","0.27970","0.00145"
"3.36000","0.28017","0.00150"
"3.36600","0.28071","0.00152"
"3.37200","0.28119","0.00147"
"3.37800","0.28167","0.00141"
"3.38400","0.28221","0.00144"
"3.39000","0.28268","0.00149"
"3.39600","0.28322","0.00144"
"3.40200","0.28370","0.00140"
"3.40800","0.28424","0.00134"
"3.41400","0.28472","0.00122"
"3.42000","0.28526","0.00117"
"3.42600","0.28573","0.00116"
"3.43200","0.28627","0.00121"
"3.43800","0.28675","0.00132"
"3.44400","0.28723","0.00132"
"3.45000","0.28771","0.00130"
"3.45600","0.28825","0.00129"
"3.46200","0.28872","0.00130"
"3.46800","0.28920","0.00139"
"3.47400","0.28974","0.00140"
"3.48000","0.29022","0.00140"
"3.48600","0.29070","0.00141"
"3.49200","0.29123","0.00136"
"3.49800","0.29171","0.00130"
"3.50400","0.29219","0.00120"
"3.51000","0.29273","0.00113"
"3.51600","0.29321","0.00113"
"3.52200","0.29369","0.00125"
"3.52800","0.29422","0.00128"
"3.53400","0.29470","0.00125"
"3.54000","0.29524","0.00131"
"3.54600","0.29572","0.00131"
"3.55200","0.29626","0.00130"
"3.55800","0.29674","0.00129"
"3.56400","0.29727","0.00125"
"3.57000","0.29775","0.00122"
"3.57600","0.29823","0.00116"
"3.58200","0.29877","0.00114"
"3.58800","0.29925","0.00117"
"3.59400","0.29972","0.00120"
"3.60000","0.30020","0.00122"
"3.60600","0.30068","0.00123"
"3.61200","0.30122","0.00119"
"3.61800","0.30170","0.00114"
"3.62400","0.30218","0.00113"
"3.63000","0.30271","0.00118"
"3.63600","0.30319","0.00130"
"3.64200","0.30367","0.00132"
"3.64800","0.30415","0.00118"
"3.65400","0.30469","0.00111"
"3.66000","0.30517","0.00096"
"3.66600","0.30564","0.00089"
"3.67200","0.30618","0.00094"
"3.67800","0.30666","0.00100"
"3.68400","0.30720","0.00113"
"3.69000","0.30768","0.00123"
"3.69600","0.30816","0.00127"
"3.70200","0.30869","0.00137"
"3.70800","0.30917","0.00145"
"3.71400","0.30971","0.00149"
"3.72000","0.31019","0.00154"
"3.72600","0.31073","0.00155"
"3.73200","0.31120","0.00151"
"3.73800","0.31168","0.00153"
"3.74400","0.31216","0.00154"
"3.75000","0.31264","0.00154"
"3.75600","0.31318","0.00154"
"3.76200","0.31366","0.00155"
"3.76800","0.31413","0.00154"
"3.77400","0.31467","0.00142"
"3.78000","0.31515","0.00129"
"3.78600","0.31563","0.00126"
"3.79200","0.31617","0.00131"
"3.79800","0.31665","0.00134"
"3.80400","0.31718","0.00134"
"3.81000","0.31766","0.00128"
"3.81600","0.31814","0.00125"
"3.82200","0.31868","0.00124"
"3.82800","0.31916","0.00119"
"3.83400","0.31969","0.00117"
"3.84000","0.32017","0.00118"
"3.84600","0.32071","0.00117"
"3.85200","0.32119","0.00121"
"3.85800","0.32173","0.00128"
"3.86400","0.32221","0.00133"
"3.87000","0.32274","0.00143"
"3.87600","0.32322","0.00154"
"3.88200","0.32370","0.00164"
"3.88800","0.32418","0.00172"
"3.89400","0.32466","0.00167"
"3.90000","0.32520","0.00164"
"3.90600","0.32567","0.00159"
"3.91200","0.32615","0.00147"
"3.91800","0.32669","0.00146"
"3.92400","0.32717","0.00141"
"3.93000","0.32765","0.00136"
"3.93600","0.32818","0.00141"
"3.94200","0.32866","0.00137"
"3.94800","0.32920","0.00133"
"3.95400","0.32968","0.00136"
"3.96000","0.33022","0.00137"
"3.96600","0.33070","0.00137"
"3.97200","0.33123","0.00141"
"3.97800","0.33171","0.00133"
"3.98400","0.33225","0.00129"
"3.99000","0.33273","0.00129"
"3.99600","0.33321","0.00121"
"4.00200","0.33375","0.00123"
"4.00800","0.33422","0.00128"
"4.01400","0.33476","0.00134"
"4.02000","0.33524","0.00143"
"4.02600","0.33572","0.00141"
"4.03200","0.33626","0.00138"
"4.03800","0.33673","0.00137"
"4.04400","0.33721","0.00135"
"4.05000","0.33769","0.00132"
"4.05600","0.33817","0.00135"
"4.06200","0.33871","0.00136"
"4.06800","0.33919","0.00132"
"4.07400","0.33966","0.00129"
"4.08000","0.34020","0.00126"
"4.08600","0.34068","0.00119"
"4.09200","0.34116","0.00109"
"4.09800","0.34170","0.00104"
"4.10400","0.34218","0.00111"
"4.11000","0.34271","0.00119"
"4.11600","0.34319","0.00133"
"4.12200","0.34367","0.00145"
"4.12800","0.34421","0.00145"
"4.13400","0.34469","0.00144"
"4.14000","0.34522","0.00149"
"4.14600","0.34570","0.00148"
"4.15200","0.34618","0.00148"
"4.15800","0.34666","0.00145"
"4.16400","0.34714","0.00153"
"4.17000","0.34768","0.00156"
"4.17600","0.34815","0.00141"
"4.18200","0.34863","0.00127"
"4.18800","0.34911","0.00125"
"4.19400","0.34965","0.00120"
"4.20000","0.35013","0.00131"
"4.20600","0.35061","0.00144"
"4.21200","0.35114","0.00155"
"4.21800","0.35162","0.00166"
"4.22400","0.35210","0.00181"
"4.23000","0.35264","0.00193"
"4.23600","0.35312","0.00205"
"4.24200","0.35360","0.00204"
"4.24800","0.35413","0.00202"
"4.25400","0.35461","0.00197"
"4.26000","0.35515","0.00186"
"4.26600","0.35569","0.00178"
"4.27200","0.35617","0.00173"
"4.27800","0.35664","0.00168"
"4.28400","0.35718","0.00167"
"4.29000","0.35766","0.00168"
"4.29600","0.35820","0.00165"
"4.30200","0.35868","0.00172"
"4.30800","0.35922","0.00177"
"4.31400","0.35969","0.00175"
"4.32000","0.36017","0.00171"
"4.32600","0.36071","0.00157"
"4.33200","0.36119","0.00143"
"4.33800","0.36167","0.00136"
"4.34400","0.36220","0.00129"
"4.35000","0.36268","0.00133"
"4.35600","0.36322","0.00138"
"4.36200","0.36370","0.00143"
"4.36800","0.36418","0.00147"
"4.37400","0.36472","0.00145"
"4.38000","0.36519","0.00146"
"4.38600","0.36567","0.00154"
"4.39200","0.36621","0.00157"
"4.39800","0.36669","0.00154"
"4.40400","0.36723","0.00155"
"4.41000","0.36771","0.00153"
"4.41600","0.36824","0.00155"
"4.42200","0.36872","0.00158"
"4.42800","0.36926","0.00161"
"4.43400","0.36974","0.00158"
"4.44000","0.37022","0.00155"
"4.44600","0.37075","0.00158"
"4.45200","0.37123","0.00164"
"4.45800","0.37171","0.00168"
"4.46400","0.37219","0.00164"
"4.47000","0.37273","0.00159"
"4.47600","0.37321","0.00149"
"4.48200","0.37368","0.00144"
"4.48800","0.37422","0.00143"
"4.49400","0.37470","0.00146"
"4.50000","0.37524","0.00157"
"4.50600","0.37572","0.00167"
"4.51200","0.37620","0.00171"
"4.51800","0.37673","0.00178"
"4.52400","0.37721","0.00179"
"4.53000","0.37775","0.00173"
"4.53600","0.37823","0.00173"
"4.54200","0.37871","0.00176"
"4.54800","0.37925","0.00175"
"4.55400","0.37972","0.00172"
"4.56000","0.38020","0.00170"
"4.56600","0.38074","0.00169"
"4.57200","0.38122","0.00170"
"4.57800","0.38176","0.00155"
"4.58400","0.38223","0.00147"
"4.59000","0.38271","0.00150"
