End date,"12/18/2016"
Specimen label,"16AT_Unk"
Maximum Load,"0.14730",N

Time,Extension,Load
(s),(mm),(N)
"3.81000","0.31778","0.00019"
"3.81600","0.31826","0.00021"
"3.82200","0.31874","0.00026"
"3.82800","0.31928","0.00026"
"3.83400","0.31975","0.00023"
"3.84000","0.32023","0.00014"
"3.84600","0.32071","0.00002"
"3.85200","0.32119","-0.00008"
"3.85800","0.32173","-0.00020"
"3.86400","0.32221","-0.00022"
"3.87000","0.32268","-0.00010"
"3.87600","0.32322","-0.00003"
"3.88200","0.32370","0.00002"
"3.88800","0.32418","0.00006"
"3.89400","0.32472","0.00005"
"3.90000","0.32520","0.00004"
"3.90600","0.32567","0.00001"
"3.91200","0.32621","0.00002"
"3.91800","0.32669","0.00011"
"3.92400","0.32723","0.00019"
"3.93000","0.32771","0.00026"
"3.93600","0.32818","0.00021"
"3.94200","0.32872","0.00010"
"3.94800","0.32920","0.00007"
"3.95400","0.32968","0.00010"
"3.96000","0.33022","0.00015"
"3.96600","0.33070","0.00023"
"3.97200","0.33117","0.00026"
"3.97800","0.33165","0.00024"
"3.98400","0.33213","0.00017"
"3.99000","0.33267","0.00001"
"3.99600","0.33315","-0.00002"
"4.00200","0.33363","0.00000"
"4.00800","0.33416","-0.00011"
"4.01400","0.33464","-0.00012"
"4.02000","0.33518","-0.00004"
"4.02600","0.33566","0.00005"
"4.03200","0.33614","0.00016"
"4.03800","0.33667","0.00029"
"4.04400","0.33721","0.00035"
"4.05000","0.33769","0.00039"
"4.05600","0.33823","0.00035"
"4.06200","0.33871","0.00037"
"4.06800","0.33925","0.00044"
"4.07400","0.33972","0.00037"
"4.08000","0.34026","0.00031"
"4.08600","0.34080","0.00024"
"4.09200","0.34128","0.00005"
"4.09800","0.34176","-0.00006"
"4.10400","0.34230","-0.00006"
"4.11000","0.34277","-0.00005"
"4.11600","0.34325","0.00005"
"4.12200","0.34379","0.00009"
"4.12800","0.34427","0.00007"
"4.13400","0.34475","0.00008"
"4.14000","0.34528","0.00002"
"4.14600","0.34576","-0.00003"
"4.15200","0.34630","-0.00005"
"4.15800","0.34678","-0.00010"
"4.16400","0.34726","-0.00010"
"4.17000","0.34774","-0.00005"
"4.17600","0.34827","-0.00002"
"4.18200","0.34875","0.00008"
"4.18800","0.34923","0.00012"
"4.19400","0.34977","0.00012"
"4.20000","0.35025","0.00012"
"4.20600","0.35073","0.00005"
"4.21200","0.35126","0.00002"
"4.21800","0.35174","0.00003"
"4.22400","0.35228","-0.00006"
"4.23000","0.35276","-0.00013"
"4.23600","0.35324","-0.00012"
"4.24200","0.35377","-0.00015"
"4.24800","0.35425","-0.00014"
"4.25400","0.35479","-0.00018"
"4.26000","0.35527","-0.00029"
"4.26600","0.35575","-0.00032"
"4.27200","0.35623","-0.00031"
"4.27800","0.35676","-0.00020"
"4.28400","0.35724","0.00005"
"4.29000","0.35772","0.00019"
"4.29600","0.35826","0.00022"
"4.30200","0.35874","0.00022"
"4.30800","0.35922","0.00013"
"4.31400","0.35969","0.00005"
"4.32000","0.36023","-0.00001"
"4.32600","0.36071","-0.00008"
"4.33200","0.36119","-0.00010"
"4.33800","0.36173","-0.00015"
"4.34400","0.36220","-0.00019"
"4.35000","0.36274","-0.00014"
"4.35600","0.36322","-0.00010"
"4.36200","0.36376","-0.00016"
"4.36800","0.36424","-0.00014"
"4.37400","0.36478","-0.00016"
"4.38000","0.36525","-0.00013"
"4.38600","0.36573","-0.00010"
"4.39200","0.36627","-0.00011"
"4.39800","0.36675","-0.00011"
"4.40400","0.36723","-0.00008"
"4.41000","0.36771","-0.00012"
"4.41600","0.36824","-0.00008"
"4.42200","0.36872","-0.00007"
"4.42800","0.36920","-0.00006"
"4.43400","0.36968","-0.00001"
"4.44000","0.37022","0.00004"
"4.44600","0.37070","0.00011"
"4.45200","0.37117","0.00012"
"4.45800","0.37171","0.00009"
"4.46400","0.37219","0.00009"
"4.47000","0.37267","0.00011"
"4.47600","0.37321","0.00006"
"4.48200","0.37368","0.00003"
"4.48800","0.37416","0.00006"
"4.49400","0.37464","0.00003"
"4.50000","0.37518","0.00001"
"4.50600","0.37566","-0.00007"
"4.51200","0.37620","-0.00006"
"4.51800","0.37667","0.00001"
"4.52400","0.37721","-0.00003"
"4.53000","0.37769","-0.00007"
"4.53600","0.37817","-0.00006"
"4.54200","0.37871","-0.00005"
"4.54800","0.37919","0.00002"
"4.55400","0.37972","0.00003"
"4.56000","0.38020","0.00000"
"4.56600","0.38068","-0.00005"
"4.57200","0.38116","-0.00012"
"4.57800","0.38170","-0.00008"
"4.58400","0.38217","0.00002"
"4.59000","0.38265","0.00000"
"4.59600","0.38313","0.00001"
"4.60200","0.38367","0.00004"
"4.60800","0.38415","-0.00005"
"4.61400","0.38463","-0.00014"
"4.62000","0.38516","-0.00017"
"4.62600","0.38564","-0.00016"
