End date,"12/18/2016"
Specimen label,"16AT_26_run2"
Maximum Load,"0.19149",N

Time,Extension,Load
(s),(mm),(N)
"3.15600","0.26319","0.00142"
"3.16200","0.26367","0.00147"
"3.16800","0.26415","0.00152"
"3.17400","0.26463","0.00157"
"3.18000","0.26517","0.00157"
"3.18600","0.26564","0.00150"
"3.19200","0.26612","0.00144"
"3.19800","0.26660","0.00136"
"3.20400","0.26708","0.00130"
"3.21000","0.26762","0.00132"
"3.21600","0.26810","0.00133"
"3.22200","0.26857","0.00136"
"3.22800","0.26911","0.00135"
"3.23400","0.26959","0.00136"
"3.24000","0.27007","0.00152"
"3.24600","0.27061","0.00154"
"3.25200","0.27109","0.00143"
"3.25800","0.27156","0.00132"
"3.26400","0.27210","0.00125"
"3.27000","0.27258","0.00124"
"3.27600","0.27306","0.00134"
"3.28200","0.27360","0.00138"
"3.28800","0.27413","0.00145"
"3.29400","0.27461","0.00139"
"3.30000","0.27515","0.00135"
"3.30600","0.27563","0.00144"
"3.31200","0.27611","0.00148"
"3.31800","0.27665","0.00143"
"3.32400","0.27712","0.00140"
"3.33000","0.27766","0.00134"
"3.33600","0.27814","0.00130"
"3.34200","0.27862","0.00131"
"3.34800","0.27916","0.00129"
"3.35400","0.27964","0.00129"
"3.36000","0.28011","0.00129"
"3.36600","0.28065","0.00120"
"3.37200","0.28113","0.00115"
"3.37800","0.28161","0.00111"
"3.38400","0.28209","0.00109"
"3.39000","0.28263","0.00115"
"3.39600","0.28310","0.00117"
"3.40200","0.28364","0.00120"
"3.40800","0.28412","0.00121"
"3.41400","0.28466","0.00120"
"3.42000","0.28514","0.00126"
"3.42600","0.28567","0.00129"
"3.43200","0.28615","0.00129"
"3.43800","0.28663","0.00130"
"3.44400","0.28717","0.00121"
"3.45000","0.28765","0.00117"
"3.45600","0.28819","0.00127"
"3.46200","0.28866","0.00123"
"3.46800","0.28914","0.00121"
"3.47400","0.28968","0.00117"
"3.48000","0.29016","0.00106"
"3.48600","0.29064","0.00104"
"3.49200","0.29118","0.00106"
"3.49800","0.29165","0.00112"
"3.50400","0.29213","0.00119"
"3.51000","0.29261","0.00128"
"3.51600","0.29309","0.00139"
"3.52200","0.29363","0.00149"
"3.52800","0.29410","0.00148"
"3.53400","0.29458","0.00146"
"3.54000","0.29512","0.00151"
"3.54600","0.29560","0.00143"
"3.55200","0.29614","0.00142"
"3.55800","0.29662","0.00143"
"3.56400","0.29715","0.00136"
"3.57000","0.29763","0.00135"
"3.57600","0.29817","0.00133"
"3.58200","0.29865","0.00125"
"3.58800","0.29913","0.00124"
"3.59400","0.29967","0.00122"
"3.60000","0.30014","0.00121"
"3.60600","0.30062","0.00125"
"3.61200","0.30116","0.00118"
"3.61800","0.30164","0.00116"
"3.62400","0.30218","0.00122"
"3.63000","0.30265","0.00121"
"3.63600","0.30313","0.00119"
"3.64200","0.30367","0.00118"
"3.64800","0.30415","0.00116"
"3.65400","0.30469","0.00114"
"3.66000","0.30517","0.00109"
"3.66600","0.30564","0.00111"
"3.67200","0.30612","0.00120"
"3.67800","0.30660","0.00127"
"3.68400","0.30714","0.00135"
"3.69000","0.30762","0.00146"
"3.69600","0.30810","0.00150"
"3.70200","0.30863","0.00157"
"3.70800","0.30911","0.00167"
"3.71400","0.30965","0.00170"
"3.72000","0.31013","0.00170"
"3.72600","0.31061","0.00162"
"3.73200","0.31114","0.00155"
"3.73800","0.31162","0.00156"
"3.74400","0.31210","0.00145"
"3.75000","0.31258","0.00138"
"3.75600","0.31312","0.00147"
"3.76200","0.31360","0.00151"
"3.76800","0.31407","0.00154"
"3.77400","0.31461","0.00166"
"3.78000","0.31509","0.00176"
"3.78600","0.31563","0.00179"
"3.79200","0.31611","0.00171"
"3.79800","0.31659","0.00167"
"3.80400","0.31712","0.00168"
"3.81000","0.31760","0.00157"
"3.81600","0.31808","0.00153"
"3.82200","0.31862","0.00150"
"3.82800","0.31910","0.00141"
"3.83400","0.31958","0.00135"
"3.84000","0.32011","0.00139"
"3.84600","0.32059","0.00136"
"3.85200","0.32107","0.00126"
"3.85800","0.32161","0.00113"
"3.86400","0.32215","0.00108"
"3.87000","0.32262","0.00121"
"3.87600","0.32316","0.00132"
"3.88200","0.32364","0.00132"
"3.88800","0.32412","0.00139"
"3.89400","0.32466","0.00142"
"3.90000","0.32514","0.00151"
"3.90600","0.32561","0.00167"
"3.91200","0.32615","0.00172"
"3.91800","0.32663","0.00179"
"3.92400","0.32717","0.00191"
"3.93000","0.32765","0.00197"
"3.93600","0.32818","0.00209"
"3.94200","0.32866","0.00215"
"3.94800","0.32920","0.00208"
"3.95400","0.32968","0.00195"
"3.96000","0.33016","0.00173"
"3.96600","0.33070","0.00157"
"3.97200","0.33117","0.00154"
"3.97800","0.33165","0.00144"
"3.98400","0.33213","0.00149"
"3.99000","0.33267","0.00162"
"3.99600","0.33315","0.00160"
"4.00200","0.33369","0.00151"
"4.00800","0.33416","0.00147"
"4.01400","0.33464","0.00150"
"4.02000","0.33518","0.00162"
"4.02600","0.33566","0.00172"
"4.03200","0.33620","0.00169"
"4.03800","0.33667","0.00155"
"4.04400","0.33715","0.00142"
"4.05000","0.33763","0.00135"
"4.05600","0.33817","0.00135"
"4.06200","0.33865","0.00132"
"4.06800","0.33919","0.00136"
"4.07400","0.33966","0.00149"
"4.08000","0.34020","0.00156"
"4.08600","0.34068","0.00160"
"4.09200","0.34116","0.00161"
"4.09800","0.34170","0.00156"
"4.10400","0.34218","0.00154"
"4.11000","0.34265","0.00149"
"4.11600","0.34319","0.00146"
"4.12200","0.34367","0.00151"
"4.12800","0.34415","0.00145"
"4.13400","0.34469","0.00139"
"4.14000","0.34516","0.00143"
"4.14600","0.34564","0.00143"
"4.15200","0.34618","0.00140"
"4.15800","0.34666","0.00134"
"4.16400","0.34714","0.00128"
"4.17000","0.34768","0.00136"
"4.17600","0.34815","0.00155"
"4.18200","0.34863","0.00164"
"4.18800","0.34917","0.00168"
"4.19400","0.34965","0.00162"
"4.20000","0.35013","0.00158"
"4.20600","0.35067","0.00162"
"4.21200","0.35114","0.00162"
"4.21800","0.35162","0.00165"
"4.22400","0.35210","0.00166"
"4.23000","0.35264","0.00152"
"4.23600","0.35312","0.00145"
"4.24200","0.35360","0.00145"
"4.24800","0.35413","0.00147"
"4.25400","0.35461","0.00154"
"4.26000","0.35515","0.00161"
"4.26600","0.35563","0.00176"
"4.27200","0.35617","0.00186"
"4.27800","0.35664","0.00180"
"4.28400","0.35712","0.00173"
"4.29000","0.35766","0.00173"
"4.29600","0.35814","0.00167"
"4.30200","0.35868","0.00156"
"4.30800","0.35916","0.00153"
"4.31400","0.35963","0.00157"
"4.32000","0.36017","0.00167"
"4.32600","0.36065","0.00170"
"4.33200","0.36113","0.00169"
"4.33800","0.36167","0.00179"
"4.34400","0.36215","0.00180"
"4.35000","0.36262","0.00178"
"4.35600","0.36316","0.00177"
"4.36200","0.36364","0.00164"
"4.36800","0.36412","0.00156"
"4.37400","0.36466","0.00164"
"4.38000","0.36513","0.00167"
"4.38600","0.36561","0.00168"
"4.39200","0.36615","0.00168"
"4.39800","0.36663","0.00161"
"4.40400","0.36711","0.00160"
"4.41000","0.36765","0.00160"
"4.41600","0.36812","0.00161"
"4.42200","0.36860","0.00170"
"4.42800","0.36914","0.00171"
"4.43400","0.36962","0.00161"
"4.44000","0.37016","0.00149"
"4.44600","0.37064","0.00148"
"4.45200","0.37111","0.00147"
"4.45800","0.37165","0.00140"
"4.46400","0.37213","0.00129"
"4.47000","0.37261","0.00128"
"4.47600","0.37315","0.00121"
"4.48200","0.37362","0.00121"
"4.48800","0.37410","0.00133"
"4.49400","0.37464","0.00145"
"4.50000","0.37512","0.00150"
"4.50600","0.37560","0.00149"
"4.51200","0.37614","0.00136"
"4.51800","0.37661","0.00127"
"4.52400","0.37709","0.00138"
"4.53000","0.37763","0.00152"
"4.53600","0.37811","0.00160"
"4.54200","0.37865","0.00164"
"4.54800","0.37913","0.00169"
"4.55400","0.37960","0.00178"
"4.56000","0.38014","0.00183"
"4.56600","0.38068","0.00190"
"4.57200","0.38116","0.00200"
"4.57800","0.38164","0.00193"
"4.58400","0.38217","0.00188"
"4.59000","0.38265","0.00186"
"4.59600","0.38319","0.00182"
"4.60200","0.38367","0.00179"
"4.60800","0.38415","0.00180"
"4.61400","0.38469","0.00183"
"4.62000","0.38516","0.00185"
"4.62600","0.38564","0.00184"
"4.63200","0.38612","0.00179"
"4.63800","0.38666","0.00185"
"4.64400","0.38714","0.00186"
"4.65000","0.38762","0.00186"
"4.65600","0.38815","0.00188"
"4.66200","0.38863","0.00174"
"4.66800","0.38911","0.00155"
"4.67400","0.38965","0.00149"
"4.68000","0.39013","0.00146"
"4.68600","0.39061","0.00144"
"4.69200","0.39114","0.00139"
"4.69800","0.39162","0.00134"
"4.70400","0.39216","0.00142"
"4.71000","0.39264","0.00148"
"4.71600","0.39318","0.00155"
"4.72200","0.39365","0.00172"
"4.72800","0.39419","0.00182"
"4.73400","0.39467","0.00188"
"4.74000","0.39521","0.00187"
"4.74600","0.39569","0.00176"
"4.75200","0.39617","0.00167"
"4.75800","0.39670","0.00165"
"4.76400","0.39718","0.00169"
"4.77000","0.39766","0.00170"
"4.77600","0.39814","0.00157"
"4.78200","0.39862","0.00145"
"4.78800","0.39915","0.00144"
"4.79400","0.39963","0.00144"
"4.80000","0.40011","0.00145"
"4.80600","0.40059","0.00158"
"4.81200","0.40113","0.00167"
"4.81800","0.40161","0.00176"
"4.82400","0.40208","0.00178"
