End date,"12/18/2016"
Specimen label,"16DG_31_run2"
Maximum Load,"0.05678",N

Time,Extension,Load
(s),(mm),(N)
"2.97600","39.64751","0.01956"
"2.98200","39.64805","0.01960"
"2.98800","39.64853","0.01952"
"2.99400","39.64901","0.01946"
"3.00000","39.64955","0.01931"
"3.00600","39.65002","0.01927"
"3.01200","39.65051","0.01938"
"3.01800","39.65104","0.01938"
"3.02400","39.65152","0.01930"
"3.03000","39.65200","0.01930"
"3.03600","39.65248","0.01941"
"3.04200","39.65302","0.01948"
"3.04800","39.65350","0.01956"
"3.05400","39.65397","0.01961"
"3.06000","39.65451","0.01955"
"3.06600","39.65499","0.01946"
"3.07200","39.65547","0.01937"
"3.07800","39.65601","0.01930"
"3.08400","39.65648","0.01928"
"3.09000","39.65696","0.01934"
"3.09600","39.65750","0.01946"
"3.10200","39.65798","0.01955"
"3.10800","39.65846","0.01973"
"3.11400","39.65900","0.01991"
"3.12000","39.65947","0.01998"
"3.12600","39.65995","0.02000"
"3.13200","39.66049","0.01996"
"3.13800","39.66097","0.01983"
"3.14400","39.66145","0.01979"
"3.15000","39.66198","0.01988"
"3.15600","39.66246","0.01999"
"3.16200","39.66294","0.02010"
"3.16800","39.66348","0.02010"
"3.17400","39.66396","0.02001"
"3.18000","39.66449","0.01982"
"3.18600","39.66498","0.01968"
"3.19200","39.66545","0.01952"
"3.19800","39.66599","0.01941"
"3.20400","39.66647","0.01934"
"3.21000","39.66695","0.01945"
"3.21600","39.66749","0.01949"
"3.22200","39.66796","0.01942"
"3.22800","39.66850","0.01949"
"3.23400","39.66898","0.01948"
"3.24000","39.66946","0.01923"
"3.24600","39.67000","0.01892"
"3.25200","39.67047","0.01880"
"3.25800","39.67101","0.01889"
"3.26400","39.67149","0.01903"
"3.27000","39.67203","0.01914"
"3.27600","39.67251","0.01922"
"3.28200","39.67299","0.01914"
"3.28800","39.67353","0.01897"
"3.29400","39.67400","0.01892"
"3.30000","39.67448","0.01903"
"3.30600","39.67501","0.01915"
"3.31200","39.67550","0.01924"
"3.31800","39.67598","0.01926"
"3.32400","39.67651","0.01932"
"3.33000","39.67699","0.01936"
"3.33600","39.67753","0.01933"
"3.34200","39.67801","0.01931"
"3.34800","39.67849","0.01921"
"3.35400","39.67902","0.01902"
"3.36000","39.67950","0.01903"
"3.36600","39.67998","0.01910"
"3.37200","39.68052","0.01925"
"3.37800","39.68100","0.01922"
"3.38400","39.68148","0.01911"
"3.39000","39.68201","0.01900"
"3.39600","39.68249","0.01895"
"3.40200","39.68297","0.01895"
"3.40800","39.68351","0.01903"
"3.41400","39.68399","0.01913"
"3.42000","39.68453","0.01912"
"3.42600","39.68500","0.01918"
"3.43200","39.68549","0.01924"
"3.43800","39.68602","0.01925"
"3.44400","39.68649","0.01928"
"3.45000","39.68697","0.01947"
"3.45600","39.68752","0.01958"
"3.46200","39.68800","0.01954"
"3.46800","39.68847","0.01936"
"3.47400","39.68900","0.01922"
"3.48000","39.68949","0.01922"
"3.48600","39.69003","0.01931"
"3.49200","39.69051","0.01943"
"3.49800","39.69104","0.01954"
"3.50400","39.69152","0.01957"
"3.51000","39.69200","0.01965"
"3.51600","39.69254","0.01976"
"3.52200","39.69301","0.01978"
"3.52800","39.69349","0.01969"
"3.53400","39.69403","0.01959"
"3.54000","39.69451","0.01940"
"3.54600","39.69498","0.01939"
"3.55200","39.69552","0.01950"
"3.55800","39.69600","0.01961"
"3.56400","39.69654","0.01962"
"3.57000","39.69702","0.01959"
"3.57600","39.69756","0.01948"
"3.58200","39.69804","0.01937"
"3.58800","39.69852","0.01937"
"3.59400","39.69900","0.01944"
"3.60000","39.69953","0.01962"
"3.60600","39.70001","0.01973"
"3.61200","39.70049","0.01972"
"3.61800","39.70096","0.01962"
"3.62400","39.70150","0.01949"
"3.63000","39.70198","0.01952"
"3.63600","39.70247","0.01959"
"3.64200","39.70294","0.01963"
"3.64800","39.70348","0.01972"
"3.65400","39.70396","0.01987"
"3.66000","39.70443","0.01999"
"3.66600","39.70497","0.02006"
"3.67200","39.70545","0.02006"
"3.67800","39.70599","0.02004"
"3.68400","39.70647","0.02008"
"3.69000","39.70694","0.02011"
"3.69600","39.70748","0.02007"
"3.70200","39.70796","0.01992"
"3.70800","39.70850","0.01979"
"3.71400","39.70898","0.01968"
"3.72000","39.70951","0.01961"
"3.72600","39.71000","0.01964"
"3.73200","39.71047","0.01980"
"3.73800","39.71095","0.01989"
"3.74400","39.71149","0.02003"
"3.75000","39.71197","0.02029"
"3.75600","39.71245","0.02040"
"3.76200","39.71292","0.02044"
"3.76800","39.71346","0.02049"
"3.77400","39.71394","0.02048"
"3.78000","39.71448","0.02043"
"3.78600","39.71495","0.02031"
"3.79200","39.71544","0.02026"
"3.79800","39.71598","0.02024"
"3.80400","39.71645","0.02014"
"3.81000","39.71699","0.02012"
"3.81600","39.71746","0.02014"
"3.82200","39.71801","0.02019"
"3.82800","39.71849","0.02028"
"3.83400","39.71902","0.02032"
"3.84000","39.71950","0.02027"
"3.84600","39.72004","0.02021"
"3.85200","39.72058","0.02011"
"3.85800","39.72106","0.02010"
"3.86400","39.72160","0.02014"
"3.87000","39.72207","0.02017"
"3.87600","39.72255","0.02018"
"3.88200","39.72309","0.02029"
"3.88800","39.72357","0.02026"
"3.89400","39.72404","0.02028"
"3.90000","39.72458","0.02034"
"3.90600","39.72506","0.02032"
"3.91200","39.72554","0.02025"
"3.91800","39.72602","0.02016"
"3.92400","39.72655","0.02020"
"3.93000","39.72704","0.02030"
"3.93600","39.72751","0.02043"
"3.94200","39.72799","0.02054"
"3.94800","39.72847","0.02061"
"3.95400","39.72901","0.02067"
"3.96000","39.72948","0.02065"
"3.96600","39.72997","0.02056"
"3.97200","39.73050","0.02055"
"3.97800","39.73098","0.02053"
"3.98400","39.73152","0.02063"
"3.99000","39.73199","0.02082"
"3.99600","39.73254","0.02089"
"4.00200","39.73301","0.02081"
"4.00800","39.73355","0.02074"
"4.01400","39.73403","0.02065"
"4.02000","39.73451","0.02050"
"4.02600","39.73505","0.02045"
"4.03200","39.73553","0.02053"
"4.03800","39.73600","0.02054"
"4.04400","39.73654","0.02056"
"4.05000","39.73702","0.02055"
"4.05600","39.73750","0.02054"
"4.06200","39.73804","0.02051"
"4.06800","39.73851","0.02050"
"4.07400","39.73899","0.02042"
"4.08000","39.73953","0.02035"
"4.08600","39.74001","0.02025"
"4.09200","39.74049","0.02022"
"4.09800","39.74103","0.02027"
"4.10400","39.74150","0.02030"
"4.11000","39.74205","0.02035"
"4.11600","39.74252","0.02040"
"4.12200","39.74300","0.02047"
"4.12800","39.74354","0.02041"
"4.13400","39.74408","0.02035"
"4.14000","39.74456","0.02040"
"4.14600","39.74503","0.02049"
"4.15200","39.74557","0.02058"
"4.15800","39.74605","0.02071"
"4.16400","39.74652","0.02078"
"4.17000","39.74706","0.02073"
"4.17600","39.74754","0.02069"
"4.18200","39.74802","0.02055"
"4.18800","39.74850","0.02037"
"4.19400","39.74898","0.02025"
"4.20000","39.74952","0.02024"
"4.20600","39.75000","0.02025"
"4.21200","39.75047","0.02032"
"4.21800","39.75101","0.02035"
"4.22400","39.75149","0.02040"
"4.23000","39.75197","0.02047"
"4.23600","39.75245","0.02045"
"4.24200","39.75299","0.02049"
"4.24800","39.75346","0.02050"
"4.25400","39.75394","0.02042"
"4.26000","39.75447","0.02035"
"4.26600","39.75496","0.02035"
"4.27200","39.75544","0.02026"
"4.27800","39.75597","0.02020"
"4.28400","39.75645","0.02034"
"4.29000","39.75699","0.02044"
"4.29600","39.75747","0.02050"
"4.30200","39.75801","0.02054"
"4.30800","39.75848","0.02062"
"4.31400","39.75902","0.02075"
"4.32000","39.75950","0.02086"
"4.32600","39.76004","0.02104"
"4.33200","39.76051","0.02122"
"4.33800","39.76099","0.02128"
"4.34400","39.76154","0.02125"
"4.35000","39.76201","0.02122"
"4.35600","39.76249","0.02111"
"4.36200","39.76303","0.02103"
"4.36800","39.76351","0.02103"
"4.37400","39.76405","0.02114"
"4.38000","39.76452","0.02123"
"4.38600","39.76500","0.02127"
"4.39200","39.76554","0.02134"
"4.39800","39.76602","0.02141"
"4.40400","39.76656","0.02139"
"4.41000","39.76703","0.02132"
"4.41600","39.76757","0.02137"
"4.42200","39.76805","0.02129"
"4.42800","39.76853","0.02117"
"4.43400","39.76907","0.02117"
"4.44000","39.76955","0.02110"
"4.44600","39.77008","0.02092"
"4.45200","39.77056","0.02081"
"4.45800","39.77104","0.02085"
"4.46400","39.77158","0.02089"
"4.47000","39.77206","0.02092"
"4.47600","39.77254","0.02096"
"4.48200","39.77301","0.02108"
"4.48800","39.77355","0.02112"
"4.49400","39.77403","0.02109"
"4.50000","39.77451","0.02108"
"4.50600","39.77504","0.02103"
"4.51200","39.77552","0.02107"
"4.51800","39.77600","0.02121"
"4.52400","39.77654","0.02139"
"4.53000","39.77702","0.02144"
"4.53600","39.77750","0.02141"
"4.54200","39.77803","0.02137"
"4.54800","39.77851","0.02138"
"4.55400","39.77899","0.02130"
"4.56000","39.77953","0.02118"
"4.56600","39.78001","0.02119"
"4.57200","39.78054","0.02129"
"4.57800","39.78102","0.02133"
"4.58400","39.78150","0.02124"
"4.59000","39.78198","0.02121"
"4.59600","39.78252","0.02122"
"4.60200","39.78300","0.02127"
"4.60800","39.78348","0.02128"
"4.61400","39.78402","0.02124"
"4.62000","39.78450","0.02116"
"4.62600","39.78503","0.02104"
"4.63200","39.78551","0.02100"
"4.63800","39.78599","0.02100"
"4.64400","39.78646","0.02099"
"4.65000","39.78700","0.02113"
"4.65600","39.78748","0.02129"
"4.66200","39.78796","0.02131"
"4.66800","39.78844","0.02124"
"4.67400","39.78897","0.02108"
"4.68000","39.78946","0.02106"
"4.68600","39.78999","0.02117"
"4.69200","39.79047","0.02121"
"4.69800","39.79095","0.02132"
"4.70400","39.79149","0.02151"
"4.71000","39.79197","0.02169"
"4.71600","39.79250","0.02177"
"4.72200","39.79298","0.02178"
"4.72800","39.79346","0.02176"
"4.73400","39.79400","0.02178"
"4.74000","39.79448","0.02173"
"4.74600","39.79501","0.02171"
"4.75200","39.79549","0.02165"
"4.75800","39.79597","0.02160"
"4.76400","39.79651","0.02162"
"4.77000","39.79699","0.02159"
"4.77600","39.79747","0.02151"
"4.78200","39.79801","0.02146"
"4.78800","39.79848","0.02144"
"4.79400","39.79896","0.02149"
"4.80000","39.79950","0.02151"
"4.80600","39.79998","0.02149"
"4.81200","39.80046","0.02146"
"4.81800","39.80093","0.02137"
"4.82400","39.80147","0.02130"
"4.83000","39.80195","0.02129"
"4.83600","39.80243","0.02122"
"4.84200","39.80297","0.02123"
