End date,"1/22/2017"
Specimen label,"18BG_46 run 2"
Maximum Load,"0.06005",N

Time,Extension,Load
(s),(mm),(N)
"3.07200","29.65316","0.04778"
"3.07800","29.65369","0.04778"
"3.08400","29.65417","0.04782"
"3.09000","29.65465","0.04781"
"3.09600","29.65519","0.04775"
"3.10200","29.65567","0.04776"
"3.10800","29.65615","0.04778"
"3.11400","29.65668","0.04780"
"3.12000","29.65717","0.04786"
"3.12600","29.65764","0.04800"
"3.13200","29.65818","0.04817"
"3.13800","29.65866","0.04831"
"3.14400","29.65920","0.04842"
"3.15000","29.65967","0.04846"
"3.15600","29.66021","0.04843"
"3.16200","29.66069","0.04844"
"3.16800","29.66123","0.04842"
"3.17400","29.66171","0.04836"
"3.18000","29.66219","0.04824"
"3.18600","29.66273","0.04812"
"3.19200","29.66320","0.04809"
"3.19800","29.66368","0.04804"
"3.20400","29.66422","0.04795"
"3.21000","29.66470","0.04797"
"3.21600","29.66518","0.04810"
"3.22200","29.66571","0.04818"
"3.22800","29.66619","0.04826"
"3.23400","29.66673","0.04831"
"3.24000","29.66721","0.04833"
"3.24600","29.66769","0.04842"
"3.25200","29.66822","0.04852"
"3.25800","29.66870","0.04849"
"3.26400","29.66918","0.04843"
"3.27000","29.66972","0.04835"
"3.27600","29.67020","0.04831"
"3.28200","29.67074","0.04825"
"3.28800","29.67121","0.04828"
"3.29400","29.67169","0.04818"
"3.30000","29.67223","0.04810"
"3.30600","29.67271","0.04800"
"3.31200","29.67325","0.04800"
"3.31800","29.67373","0.04793"
"3.32400","29.67426","0.04786"
"3.33000","29.67474","0.04793"
"3.33600","29.67522","0.04804"
"3.34200","29.67570","0.04819"
"3.34800","29.67624","0.04839"
"3.35400","29.67672","0.04855"
"3.36000","29.67719","0.04875"
"3.36600","29.67773","0.04876"
"3.37200","29.67821","0.04868"
"3.37800","29.67869","0.04867"
"3.38400","29.67923","0.04867"
"3.39000","29.67970","0.04873"
"3.39600","29.68024","0.04877"
"3.40200","29.68072","0.04877"
"3.40800","29.68120","0.04865"
"3.41400","29.68174","0.04849"
"3.42000","29.68222","0.04838"
"3.42600","29.68269","0.04834"
"3.43200","29.68323","0.04824"
"3.43800","29.68371","0.04821"
"3.44400","29.68419","0.04817"
"3.45000","29.68473","0.04808"
"3.45600","29.68521","0.04804"
"3.46200","29.68568","0.04810"
"3.46800","29.68622","0.04818"
"3.47400","29.68670","0.04831"
"3.48000","29.68718","0.04839"
"3.48600","29.68772","0.04843"
"3.49200","29.68820","0.04855"
"3.49800","29.68867","0.04865"
"3.50400","29.68915","0.04859"
"3.51000","29.68969","0.04858"
"3.51600","29.69017","0.04855"
"3.52200","29.69065","0.04847"
"3.52800","29.69118","0.04850"
"3.53400","29.69166","0.04852"
"3.54000","29.69214","0.04852"
"3.54600","29.69268","0.04859"
"3.55200","29.69316","0.04852"
"3.55800","29.69364","0.04848"
"3.56400","29.69417","0.04853"
"3.57000","29.69465","0.04868"
"3.57600","29.69513","0.04892"
"3.58200","29.69567","0.04900"
"3.58800","29.69615","0.04897"
"3.59400","29.69668","0.04886"
"3.60000","29.69716","0.04865"
"3.60600","29.69764","0.04858"
"3.61200","29.69812","0.04863"
"3.61800","29.69866","0.04875"
"3.62400","29.69913","0.04884"
"3.63000","29.69967","0.04894"
"3.63600","29.70015","0.04892"
"3.64200","29.70063","0.04895"
"3.64800","29.70117","0.04879"
"3.65400","29.70165","0.04857"
"3.66000","29.70219","0.04847"
"3.66600","29.70266","0.04850"
"3.67200","29.70314","0.04860"
"3.67800","29.70368","0.04863"
"3.68400","29.70416","0.04857"
"3.69000","29.70464","0.04860"
"3.69600","29.70518","0.04865"
"3.70200","29.70565","0.04868"
"3.70800","29.70613","0.04868"
"3.71400","29.70667","0.04868"
"3.72000","29.70715","0.04868"
"3.72600","29.70763","0.04871"
"3.73200","29.70817","0.04872"
"3.73800","29.70870","0.04865"
"3.74400","29.70918","0.04858"
"3.75000","29.70966","0.04855"
"3.75600","29.71020","0.04843"
"3.76200","29.71068","0.04829"
"3.76800","29.71115","0.04828"
"3.77400","29.71169","0.04831"
"3.78000","29.71217","0.04832"
"3.78600","29.71271","0.04829"
"3.79200","29.71319","0.04836"
"3.79800","29.71367","0.04850"
"3.80400","29.71420","0.04867"
"3.81000","29.71468","0.04875"
"3.81600","29.71516","0.04871"
"3.82200","29.71570","0.04867"
"3.82800","29.71618","0.04869"
"3.83400","29.71666","0.04870"
"3.84000","29.71719","0.04871"
"3.84600","29.71767","0.04865"
"3.85200","29.71815","0.04853"
"3.85800","29.71869","0.04837"
"3.86400","29.71916","0.04825"
"3.87000","29.71971","0.04827"
"3.87600","29.72018","0.04830"
"3.88200","29.72072","0.04835"
"3.88800","29.72120","0.04846"
"3.89400","29.72174","0.04873"
"3.90000","29.72221","0.04896"
"3.90600","29.72275","0.04904"
"3.91200","29.72323","0.04904"
"3.91800","29.72371","0.04906"
"3.92400","29.72425","0.04890"
"3.93000","29.72472","0.04884"
"3.93600","29.72520","0.04892"
