End date,"11/14/2016"
Specimen label,"20BT63.2"
Maximum Load,"0.14899",N

Time,Extension,Load
(s),(mm),(N)
"2.82600","0.23563","0.00179"
"2.83200","0.23617","0.00191"
"2.83800","0.23665","0.00187"
"2.84400","0.23719","0.00167"
"2.85000","0.23766","0.00147"
"2.85600","0.23820","0.00134"
"2.86200","0.23868","0.00126"
"2.86800","0.23916","0.00140"
"2.87400","0.23970","0.00167"
"2.88000","0.24017","0.00188"
"2.88600","0.24065","0.00213"
"2.89200","0.24119","0.00230"
"2.89800","0.24167","0.00231"
"2.90400","0.24221","0.00212"
"2.91000","0.24269","0.00202"
"2.91600","0.24322","0.00189"
"2.92200","0.24370","0.00183"
"2.92800","0.24424","0.00158"
"2.93400","0.24472","0.00140"
"2.94000","0.24520","0.00133"
"2.94600","0.24568","0.00152"
"2.95200","0.24621","0.00173"
"2.95800","0.24669","0.00186"
"2.96400","0.24717","0.00185"
"2.97000","0.24771","0.00191"
"2.97600","0.24819","0.00202"
"2.98200","0.24872","0.00221"
"2.98800","0.24920","0.00226"
"2.99400","0.24974","0.00223"
"3.00000","0.25022","0.00217"
"3.00600","0.25070","0.00191"
"3.01200","0.25124","0.00159"
"3.01800","0.25171","0.00136"
"3.02400","0.25219","0.00130"
"3.03000","0.25273","0.00144"
"3.03600","0.25321","0.00168"
"3.04200","0.25369","0.00187"
"3.04800","0.25423","0.00211"
"3.05400","0.25470","0.00223"
"3.06000","0.25524","0.00229"
"3.06600","0.25572","0.00236"
"3.07200","0.25620","0.00234"
"3.07800","0.25674","0.00223"
"3.08400","0.25721","0.00212"
"3.09000","0.25769","0.00209"
"3.09600","0.25823","0.00200"
"3.10200","0.25871","0.00190"
"3.10800","0.25925","0.00186"
"3.11400","0.25973","0.00178"
"3.12000","0.26026","0.00167"
"3.12600","0.26074","0.00170"
"3.13200","0.26128","0.00186"
"3.13800","0.26176","0.00205"
"3.14400","0.26224","0.00223"
"3.15000","0.26278","0.00228"
"3.15600","0.26325","0.00251"
"3.16200","0.26373","0.00264"
"3.16800","0.26421","0.00256"
"3.17400","0.26475","0.00234"
"3.18000","0.26523","0.00199"
"3.18600","0.26570","0.00175"
"3.19200","0.26618","0.00163"
"3.19800","0.26672","0.00166"
"3.20400","0.26720","0.00188"
"3.21000","0.26768","0.00195"
"3.21600","0.26816","0.00200"
"3.22200","0.26869","0.00211"
"3.22800","0.26917","0.00212"
"3.23400","0.26965","0.00227"
"3.24000","0.27013","0.00254"
"3.24600","0.27067","0.00263"
"3.25200","0.27115","0.00255"
"3.25800","0.27162","0.00234"
"3.26400","0.27216","0.00198"
"3.27000","0.27264","0.00172"
"3.27600","0.27318","0.00152"
"3.28200","0.27366","0.00136"
"3.28800","0.27413","0.00139"
"3.29400","0.27467","0.00142"
"3.30000","0.27515","0.00157"
"3.30600","0.27563","0.00190"
"3.31200","0.27611","0.00224"
"3.31800","0.27665","0.00260"
"3.32400","0.27712","0.00265"
"3.33000","0.27760","0.00252"
"3.33600","0.27814","0.00224"
"3.34200","0.27862","0.00212"
"3.34800","0.27916","0.00204"
"3.35400","0.27964","0.00196"
"3.36000","0.28011","0.00203"
"3.36600","0.28065","0.00222"
"3.37200","0.28113","0.00255"
"3.37800","0.28167","0.00268"
"3.38400","0.28215","0.00272"
"3.39000","0.28268","0.00291"
"3.39600","0.28316","0.00296"
"3.40200","0.28370","0.00280"
"3.40800","0.28418","0.00234"
"3.41400","0.28472","0.00216"
"3.42000","0.28520","0.00199"
"3.42600","0.28573","0.00184"
"3.43200","0.28621","0.00184"
"3.43800","0.28675","0.00202"
"3.44400","0.28723","0.00224"
"3.45000","0.28771","0.00233"
"3.45600","0.28825","0.00235"
"3.46200","0.28872","0.00254"
"3.46800","0.28920","0.00273"
"3.47400","0.28974","0.00270"
"3.48000","0.29022","0.00249"
"3.48600","0.29070","0.00229"
"3.49200","0.29123","0.00216"
"3.49800","0.29171","0.00212"
"3.50400","0.29219","0.00220"
"3.51000","0.29267","0.00217"
"3.51600","0.29321","0.00208"
"3.52200","0.29369","0.00197"
"3.52800","0.29416","0.00178"
"3.53400","0.29470","0.00164"
"3.54000","0.29518","0.00167"
"3.54600","0.29572","0.00175"
"3.55200","0.29620","0.00189"
"3.55800","0.29674","0.00190"
"3.56400","0.29721","0.00197"
"3.57000","0.29775","0.00209"
"3.57600","0.29823","0.00232"
"3.58200","0.29877","0.00261"
"3.58800","0.29925","0.00260"
"3.59400","0.29972","0.00233"
"3.60000","0.30020","0.00198"
"3.60600","0.30074","0.00176"
"3.61200","0.30122","0.00175"
"3.61800","0.30170","0.00183"
"3.62400","0.30224","0.00203"
"3.63000","0.30271","0.00222"
"3.63600","0.30319","0.00223"
"3.64200","0.30373","0.00234"
"3.64800","0.30421","0.00246"
"3.65400","0.30469","0.00235"
"3.66000","0.30523","0.00221"
"3.66600","0.30570","0.00205"
"3.67200","0.30618","0.00184"
"3.67800","0.30672","0.00157"
"3.68400","0.30720","0.00154"
"3.69000","0.30768","0.00162"
"3.69600","0.30822","0.00167"
"3.70200","0.30869","0.00178"
"3.70800","0.30923","0.00183"
"3.71400","0.30971","0.00191"
"3.72000","0.31025","0.00207"
"3.72600","0.31073","0.00201"
"3.73200","0.31120","0.00201"
"3.73800","0.31174","0.00213"
"3.74400","0.31222","0.00232"
"3.75000","0.31270","0.00247"
"3.75600","0.31318","0.00266"
"3.76200","0.31366","0.00263"
"3.76800","0.31419","0.00259"
"3.77400","0.31467","0.00261"
"3.78000","0.31515","0.00272"
"3.78600","0.31569","0.00283"
"3.79200","0.31617","0.00296"
"3.79800","0.31665","0.00308"
"3.80400","0.31718","0.00327"
"3.81000","0.31766","0.00331"
"3.81600","0.31814","0.00327"
"3.82200","0.31862","0.00306"
"3.82800","0.31916","0.00284"
"3.83400","0.31963","0.00265"
"3.84000","0.32017","0.00252"
"3.84600","0.32065","0.00231"
"3.85200","0.32119","0.00215"
"3.85800","0.32167","0.00211"
"3.86400","0.32221","0.00216"
"3.87000","0.32268","0.00224"
"3.87600","0.32316","0.00227"
"3.88200","0.32370","0.00234"
"3.88800","0.32418","0.00257"
"3.89400","0.32466","0.00270"
"3.90000","0.32514","0.00258"
"3.90600","0.32567","0.00249"
"3.91200","0.32615","0.00250"
"3.91800","0.32663","0.00267"
"3.92400","0.32717","0.00275"
"3.93000","0.32765","0.00271"
"3.93600","0.32818","0.00270"
"3.94200","0.32866","0.00255"
"3.94800","0.32920","0.00221"
"3.95400","0.32968","0.00198"
"3.96000","0.33016","0.00196"
"3.96600","0.33070","0.00203"
"3.97200","0.33117","0.00232"
"3.97800","0.33171","0.00266"
"3.98400","0.33219","0.00301"
"3.99000","0.33273","0.00314"
"3.99600","0.33327","0.00317"
"4.00200","0.33375","0.00301"
"4.00800","0.33428","0.00286"
"4.01400","0.33476","0.00279"
"4.02000","0.33524","0.00264"
"4.02600","0.33578","0.00267"
"4.03200","0.33626","0.00275"
"4.03800","0.33673","0.00261"
"4.04400","0.33721","0.00240"
"4.05000","0.33775","0.00210"
"4.05600","0.33823","0.00190"
"4.06200","0.33871","0.00178"
"4.06800","0.33919","0.00171"
"4.07400","0.33972","0.00180"
"4.08000","0.34020","0.00188"
"4.08600","0.34068","0.00185"
"4.09200","0.34116","0.00192"
"4.09800","0.34170","0.00204"
"4.10400","0.34218","0.00210"
"4.11000","0.34271","0.00212"
"4.11600","0.34319","0.00224"
"4.12200","0.34367","0.00239"
"4.12800","0.34421","0.00239"
"4.13400","0.34475","0.00245"
"4.14000","0.34522","0.00254"
"4.14600","0.34570","0.00254"
"4.15200","0.34624","0.00249"
"4.15800","0.34672","0.00252"
"4.16400","0.34726","0.00255"
"4.17000","0.34774","0.00247"
"4.17600","0.34821","0.00244"
"4.18200","0.34869","0.00249"
"4.18800","0.34923","0.00264"
"4.19400","0.34971","0.00269"
"4.20000","0.35019","0.00250"
"4.20600","0.35067","0.00229"
"4.21200","0.35120","0.00211"
"4.21800","0.35168","0.00198"
"4.22400","0.35216","0.00201"
"4.23000","0.35264","0.00211"
"4.23600","0.35312","0.00222"
"4.24200","0.35366","0.00232"
"4.24800","0.35413","0.00239"
"4.25400","0.35461","0.00252"
"4.26000","0.35515","0.00262"
"4.26600","0.35563","0.00267"
"4.27200","0.35617","0.00273"
"4.27800","0.35664","0.00272"
"4.28400","0.35718","0.00253"
"4.29000","0.35766","0.00239"
"4.29600","0.35820","0.00222"
"4.30200","0.35868","0.00190"
"4.30800","0.35916","0.00165"
"4.31400","0.35963","0.00158"
"4.32000","0.36017","0.00154"
"4.32600","0.36065","0.00164"
"4.33200","0.36113","0.00187"
"4.33800","0.36161","0.00207"
"4.34400","0.36215","0.00218"
"4.35000","0.36262","0.00223"
"4.35600","0.36310","0.00227"
"4.36200","0.36364","0.00237"
"4.36800","0.36412","0.00250"
"4.37400","0.36460","0.00254"
"4.38000","0.36507","0.00260"
