End date,"11/14/2016"
Specimen label,"20BT60"
Maximum Load,"0.35281",N

Time,Extension,Load
(s),(mm),(N)
"3.17400","0.26469","0.00158"
"3.18000","0.26523","0.00175"
"3.18600","0.26570","0.00196"
"3.19200","0.26624","0.00225"
"3.19800","0.26672","0.00247"
"3.20400","0.26720","0.00261"
"3.21000","0.26774","0.00270"
"3.21600","0.26822","0.00271"
"3.22200","0.26869","0.00277"
"3.22800","0.26917","0.00264"
"3.23400","0.26971","0.00232"
"3.24000","0.27019","0.00210"
"3.24600","0.27067","0.00212"
"3.25200","0.27115","0.00224"
"3.25800","0.27168","0.00242"
"3.26400","0.27216","0.00255"
"3.27000","0.27264","0.00246"
"3.27600","0.27318","0.00230"
"3.28200","0.27366","0.00223"
"3.28800","0.27413","0.00224"
"3.29400","0.27467","0.00233"
"3.30000","0.27515","0.00242"
"3.30600","0.27569","0.00254"
"3.31200","0.27617","0.00245"
"3.31800","0.27671","0.00225"
"3.32400","0.27718","0.00212"
"3.33000","0.27772","0.00226"
"3.33600","0.27820","0.00246"
"3.34200","0.27874","0.00251"
"3.34800","0.27928","0.00256"
"3.35400","0.27976","0.00246"
"3.36000","0.28023","0.00219"
"3.36600","0.28077","0.00204"
"3.37200","0.28125","0.00212"
"3.37800","0.28173","0.00211"
"3.38400","0.28221","0.00204"
"3.39000","0.28274","0.00197"
"3.39600","0.28322","0.00192"
"3.40200","0.28370","0.00198"
"3.40800","0.28424","0.00209"
"3.41400","0.28472","0.00215"
"3.42000","0.28526","0.00223"
"3.42600","0.28573","0.00242"
"3.43200","0.28621","0.00262"
"3.43800","0.28675","0.00278"
"3.44400","0.28723","0.00294"
"3.45000","0.28777","0.00277"
"3.45600","0.28825","0.00252"
"3.46200","0.28872","0.00232"
"3.46800","0.28926","0.00219"
"3.47400","0.28974","0.00223"
"3.48000","0.29028","0.00244"
"3.48600","0.29076","0.00255"
"3.49200","0.29129","0.00265"
"3.49800","0.29177","0.00251"
"3.50400","0.29225","0.00240"
"3.51000","0.29273","0.00254"
"3.51600","0.29321","0.00260"
"3.52200","0.29375","0.00264"
"3.52800","0.29422","0.00251"
"3.53400","0.29470","0.00233"
"3.54000","0.29518","0.00219"
"3.54600","0.29572","0.00211"
"3.55200","0.29620","0.00204"
"3.55800","0.29668","0.00194"
"3.56400","0.29721","0.00190"
"3.57000","0.29769","0.00197"
"3.57600","0.29823","0.00211"
"3.58200","0.29871","0.00239"
"3.58800","0.29919","0.00273"
"3.59400","0.29972","0.00294"
"3.60000","0.30020","0.00301"
"3.60600","0.30074","0.00301"
"3.61200","0.30122","0.00308"
"3.61800","0.30170","0.00301"
"3.62400","0.30224","0.00278"
"3.63000","0.30277","0.00242"
"3.63600","0.30325","0.00212"
"3.64200","0.30373","0.00210"
"3.64800","0.30427","0.00212"
"3.65400","0.30475","0.00206"
"3.66000","0.30523","0.00211"
"3.66600","0.30576","0.00227"
"3.67200","0.30624","0.00231"
"3.67800","0.30672","0.00224"
"3.68400","0.30720","0.00223"
"3.69000","0.30774","0.00229"
"3.69600","0.30822","0.00248"
"3.70200","0.30869","0.00261"
"3.70800","0.30923","0.00281"
"3.71400","0.30971","0.00292"
"3.72000","0.31019","0.00293"
"3.72600","0.31073","0.00278"
"3.73200","0.31120","0.00267"
"3.73800","0.31168","0.00275"
"3.74400","0.31222","0.00273"
"3.75000","0.31270","0.00270"
"3.75600","0.31324","0.00269"
"3.76200","0.31372","0.00271"
"3.76800","0.31419","0.00288"
"3.77400","0.31473","0.00296"
"3.78000","0.31521","0.00299"
"3.78600","0.31569","0.00303"
"3.79200","0.31623","0.00287"
"3.79800","0.31671","0.00271"
