End date,"11/14/2016"
Specimen label,"20AG60"
Maximum Load,"1.40394",N

Time,Extension,Load
(s),(mm),(N)
"3.20400","17.67211","0.05277"
"3.21000","17.67259","0.05281"
"3.21600","17.67313","0.05283"
"3.22200","17.67361","0.05287"
"3.22800","17.67409","0.05287"
"3.23400","17.67462","0.05288"
"3.24000","17.67510","0.05290"
"3.24600","17.67558","0.05291"
"3.25200","17.67612","0.05288"
"3.25800","17.67660","0.05285"
"3.26400","17.67707","0.05282"
"3.27000","17.67761","0.05279"
"3.27600","17.67809","0.05278"
"3.28200","17.67857","0.05275"
"3.28800","17.67911","0.05273"
"3.29400","17.67958","0.05275"
"3.30000","17.68006","0.05274"
"3.30600","17.68060","0.05275"
"3.31200","17.68108","0.05280"
"3.31800","17.68162","0.05283"
"3.32400","17.68210","0.05285"
"3.33000","17.68263","0.05287"
"3.33600","17.68311","0.05288"
"3.34200","17.68365","0.05292"
"3.34800","17.68413","0.05292"
"3.35400","17.68461","0.05292"
"3.36000","17.68514","0.05295"
"3.36600","17.68562","0.05296"
"3.37200","17.68610","0.05295"
"3.37800","17.68664","0.05294"
"3.38400","17.68712","0.05292"
"3.39000","17.68760","0.05290"
"3.39600","17.68814","0.05288"
"3.40200","17.68861","0.05285"
"3.40800","17.68909","0.05286"
"3.41400","17.68963","0.05285"
"3.42000","17.69011","0.05284"
"3.42600","17.69059","0.05284"
"3.43200","17.69112","0.05283"
"3.43800","17.69160","0.05284"
"3.44400","17.69208","0.05285"
"3.45000","17.69262","0.05284"
"3.45600","17.69310","0.05282"
"3.46200","17.69357","0.05282"
"3.46800","17.69411","0.05285"
"3.47400","17.69459","0.05290"
"3.48000","17.69507","0.05293"
"3.48600","17.69561","0.05294"
"3.49200","17.69609","0.05295"
"3.49800","17.69657","0.05295"
"3.50400","17.69710","0.05295"
"3.51000","17.69758","0.05297"
"3.51600","17.69806","0.05294"
"3.52200","17.69860","0.05295"
"3.52800","17.69908","0.05299"
"3.53400","17.69955","0.05301"
"3.54000","17.70009","0.05304"
"3.54600","17.70057","0.05305"
"3.55200","17.70111","0.05303"
"3.55800","17.70159","0.05302"
"3.56400","17.70206","0.05299"
"3.57000","17.70260","0.05298"
"3.57600","17.70308","0.05297"
"3.58200","17.70356","0.05297"
"3.58800","17.70404","0.05299"
"3.59400","17.70458","0.05301"
"3.60000","17.70506","0.05300"
"3.60600","17.70553","0.05305"
"3.61200","17.70607","0.05311"
"3.61800","17.70655","0.05313"
"3.62400","17.70709","0.05314"
"3.63000","17.70757","0.05314"
"3.63600","17.70804","0.05315"
"3.64200","17.70858","0.05317"
"3.64800","17.70906","0.05315"
"3.65400","17.70960","0.05312"
"3.66000","17.71008","0.05309"
"3.66600","17.71056","0.05304"
"3.67200","17.71109","0.05302"
"3.67800","17.71157","0.05301"
"3.68400","17.71211","0.05299"
"3.69000","17.71259","0.05300"
"3.69600","17.71313","0.05299"
"3.70200","17.71361","0.05296"
"3.70800","17.71408","0.05294"
"3.71400","17.71462","0.05293"
"3.72000","17.71510","0.05295"
"3.72600","17.71558","0.05299"
"3.73200","17.71612","0.05302"
"3.73800","17.71660","0.05302"
"3.74400","17.71707","0.05302"
"3.75000","17.71761","0.05299"
"3.75600","17.71809","0.05300"
"3.76200","17.71863","0.05304"
"3.76800","17.71911","0.05305"
"3.77400","17.71964","0.05307"
"3.78000","17.72012","0.05309"
"3.78600","17.72060","0.05308"
"3.79200","17.72114","0.05307"
"3.79800","17.72162","0.05303"
"3.80400","17.72216","0.05301"
"3.81000","17.72264","0.05302"
"3.81600","17.72311","0.05302"
"3.82200","17.72365","0.05305"
"3.82800","17.72419","0.05308"
"3.83400","17.72467","0.05309"
"3.84000","17.72520","0.05310"
"3.84600","17.72568","0.05308"
"3.85200","17.72622","0.05305"
"3.85800","17.72670","0.05304"
"3.86400","17.72718","0.05303"
"3.87000","17.72772","0.05303"
"3.87600","17.72820","0.05306"
"3.88200","17.72867","0.05307"
"3.88800","17.72915","0.05308"
"3.89400","17.72969","0.05311"
"3.90000","17.73017","0.05313"
"3.90600","17.73065","0.05318"
"3.91200","17.73112","0.05320"
"3.91800","17.73160","0.05323"
"3.92400","17.73214","0.05327"
"3.93000","17.73262","0.05328"
"3.93600","17.73310","0.05325"
"3.94200","17.73363","0.05325"
"3.94800","17.73411","0.05324"
"3.95400","17.73459","0.05325"
"3.96000","17.73513","0.05324"
"3.96600","17.73561","0.05320"
"3.97200","17.73615","0.05319"
"3.97800","17.73663","0.05318"
"3.98400","17.73716","0.05316"
"3.99000","17.73764","0.05316"
"3.99600","17.73812","0.05318"
"4.00200","17.73866","0.05321"
"4.00800","17.73914","0.05325"
"4.01400","17.73961","0.05326"
"4.02000","17.74009","0.05323"
"4.02600","17.74057","0.05321"
"4.03200","17.74105","0.05318"
"4.03800","17.74153","0.05316"
"4.04400","17.74207","0.05317"
"4.05000","17.74254","0.05318"
"4.05600","17.74302","0.05322"
"4.06200","17.74356","0.05324"
"4.06800","17.74404","0.05322"
"4.07400","17.74452","0.05323"
"4.08000","17.74506","0.05322"
"4.08600","17.74553","0.05321"
"4.09200","17.74601","0.05322"
"4.09800","17.74655","0.05323"
"4.10400","17.74703","0.05326"
"4.11000","17.74757","0.05329"
"4.11600","17.74804","0.05328"
"4.12200","17.74858","0.05326"
"4.12800","17.74906","0.05325"
"4.13400","17.74960","0.05322"
"4.14000","17.75008","0.05323"
