End date,"1/7/2017"
Specimen label,"18_CTNT2"
Maximum Load,"0.07079",N

Time,Extension,Load
(s),(mm),(N)
"3.57000","0.29769","0.00055"
"3.57600","0.29817","0.00064"
"3.58200","0.29865","0.00066"
"3.58800","0.29919","0.00061"
"3.59400","0.29967","0.00046"
"3.60000","0.30014","0.00021"
"3.60600","0.30068","0.00021"
"3.61200","0.30116","0.00022"
"3.61800","0.30170","0.00033"
"3.62400","0.30218","0.00060"
"3.63000","0.30271","0.00080"
"3.63600","0.30319","0.00072"
"3.64200","0.30373","0.00059"
"3.64800","0.30421","0.00041"
"3.65400","0.30469","0.00018"
"3.66000","0.30517","0.00006"
"3.66600","0.30564","0.00001"
"3.67200","0.30618","0.00010"
"3.67800","0.30666","0.00028"
"3.68400","0.30714","0.00038"
"3.69000","0.30762","0.00040"
"3.69600","0.30816","0.00034"
"3.70200","0.30863","0.00015"
"3.70800","0.30917","0.00008"
"3.71400","0.30965","0.00007"
"3.72000","0.31013","0.00011"
"3.72600","0.31067","0.00017"
"3.73200","0.31114","0.00018"
"3.73800","0.31162","0.00028"
"3.74400","0.31216","0.00040"
"3.75000","0.31264","0.00046"
"3.75600","0.31312","0.00054"
"3.76200","0.31366","0.00053"
"3.76800","0.31413","0.00047"
"3.77400","0.31467","0.00041"
"3.78000","0.31515","0.00052"
"3.78600","0.31569","0.00058"
"3.79200","0.31617","0.00051"
"3.79800","0.31671","0.00038"
"3.80400","0.31718","0.00017"
"3.81000","0.31766","0.00005"
"3.81600","0.31814","-0.00001"
"3.82200","0.31862","0.00003"
"3.82800","0.31916","0.00013"
"3.83400","0.31963","0.00023"
"3.84000","0.32011","0.00041"
"3.84600","0.32059","0.00059"
"3.85200","0.32113","0.00064"
"3.85800","0.32161","0.00070"
"3.86400","0.32215","0.00074"
"3.87000","0.32262","0.00067"
"3.87600","0.32316","0.00063"
"3.88200","0.32364","0.00057"
"3.88800","0.32412","0.00060"
"3.89400","0.32466","0.00059"
"3.90000","0.32514","0.00054"
"3.90600","0.32567","0.00064"
"3.91200","0.32615","0.00075"
"3.91800","0.32669","0.00080"
"3.92400","0.32723","0.00077"
"3.93000","0.32771","0.00075"
"3.93600","0.32824","0.00065"
"3.94200","0.32872","0.00055"
"3.94800","0.32920","0.00036"
"3.95400","0.32974","0.00011"
"3.96000","0.33022","-0.00004"
"3.96600","0.33070","0.00005"
"3.97200","0.33117","0.00026"
"3.97800","0.33171","0.00044"
"3.98400","0.33219","0.00041"
"3.99000","0.33267","0.00032"
"3.99600","0.33315","0.00028"
"4.00200","0.33369","0.00028"
"4.00800","0.33416","0.00030"
"4.01400","0.33470","0.00027"
"4.02000","0.33518","0.00018"
"4.02600","0.33566","0.00018"
"4.03200","0.33620","0.00016"
"4.03800","0.33667","0.00010"
"4.04400","0.33715","0.00009"
"4.05000","0.33769","0.00003"
"4.05600","0.33817","-0.00004"
"4.06200","0.33871","-0.00005"
"4.06800","0.33919","-0.00006"
"4.07400","0.33972","-0.00003"
"4.08000","0.34020","0.00017"
"4.08600","0.34074","0.00021"
"4.09200","0.34122","0.00014"
"4.09800","0.34170","0.00001"
"4.10400","0.34218","-0.00004"
"4.11000","0.34265","0.00000"
"4.11600","0.34319","0.00010"
"4.12200","0.34367","0.00017"
"4.12800","0.34415","0.00026"
"4.13400","0.34463","0.00023"
"4.14000","0.34511","0.00026"
"4.14600","0.34564","0.00027"
"4.15200","0.34612","0.00037"
"4.15800","0.34666","0.00052"
"4.16400","0.34714","0.00061"
"4.17000","0.34762","0.00062"
"4.17600","0.34809","0.00055"
"4.18200","0.34863","0.00039"
"4.18800","0.34911","0.00036"
"4.19400","0.34965","0.00037"
"4.20000","0.35013","0.00029"
"4.20600","0.35061","0.00027"
"4.21200","0.35114","0.00033"
"4.21800","0.35162","0.00036"
"4.22400","0.35216","0.00039"
"4.23000","0.35264","0.00039"
"4.23600","0.35312","0.00031"
"4.24200","0.35360","0.00024"
"4.24800","0.35413","0.00011"
"4.25400","0.35461","0.00001"
"4.26000","0.35515","0.00002"
"4.26600","0.35563","0.00003"
"4.27200","0.35611","0.00009"
"4.27800","0.35658","0.00012"
"4.28400","0.35712","0.00021"
"4.29000","0.35760","0.00028"
"4.29600","0.35814","0.00036"
"4.30200","0.35862","0.00037"
