End date,"1/7/2017"
Specimen label,"18DT_44"
Maximum Load,"0.20391",N

Time,Extension,Load
(s),(mm),(N)
"4.42800","0.36926","0.00174"
"4.43400","0.36974","0.00185"
"4.44000","0.37022","0.00195"
"4.44600","0.37075","0.00201"
"4.45200","0.37123","0.00207"
"4.45800","0.37171","0.00209"
"4.46400","0.37219","0.00208"
"4.47000","0.37273","0.00215"
"4.47600","0.37321","0.00223"
"4.48200","0.37368","0.00223"
"4.48800","0.37416","0.00216"
"4.49400","0.37470","0.00216"
"4.50000","0.37518","0.00212"
"4.50600","0.37572","0.00212"
"4.51200","0.37620","0.00210"
"4.51800","0.37667","0.00206"
"4.52400","0.37721","0.00194"
"4.53000","0.37769","0.00185"
"4.53600","0.37817","0.00180"
"4.54200","0.37871","0.00174"
"4.54800","0.37919","0.00175"
"4.55400","0.37966","0.00173"
"4.56000","0.38020","0.00161"
"4.56600","0.38068","0.00161"
"4.57200","0.38116","0.00169"
"4.57800","0.38170","0.00178"
"4.58400","0.38217","0.00185"
"4.59000","0.38271","0.00189"
"4.59600","0.38319","0.00204"
"4.60200","0.38373","0.00222"
"4.60800","0.38421","0.00231"
"4.61400","0.38469","0.00232"
"4.62000","0.38522","0.00231"
"4.62600","0.38570","0.00224"
"4.63200","0.38624","0.00208"
"4.63800","0.38672","0.00201"
"4.64400","0.38720","0.00206"
"4.65000","0.38774","0.00217"
"4.65600","0.38821","0.00208"
"4.66200","0.38875","0.00193"
"4.66800","0.38923","0.00182"
"4.67400","0.38977","0.00179"
"4.68000","0.39025","0.00184"
"4.68600","0.39078","0.00195"
"4.69200","0.39126","0.00203"
"4.69800","0.39174","0.00197"
"4.70400","0.39228","0.00194"
"4.71000","0.39276","0.00185"
"4.71600","0.39324","0.00181"
"4.72200","0.39377","0.00178"
"4.72800","0.39425","0.00174"
"4.73400","0.39473","0.00178"
"4.74000","0.39527","0.00183"
"4.74600","0.39575","0.00180"
"4.75200","0.39629","0.00172"
"4.75800","0.39676","0.00169"
"4.76400","0.39724","0.00168"
"4.77000","0.39778","0.00177"
"4.77600","0.39826","0.00184"
"4.78200","0.39874","0.00189"
"4.78800","0.39921","0.00192"
"4.79400","0.39975","0.00197"
"4.80000","0.40023","0.00199"
"4.80600","0.40071","0.00200"
"4.81200","0.40125","0.00199"
"4.81800","0.40173","0.00203"
"4.82400","0.40220","0.00208"
"4.83000","0.40274","0.00214"
"4.83600","0.40322","0.00216"
"4.84200","0.40370","0.00217"
