End date,"1/7/2017"
Specimen label,"18AT_47/49"
Maximum Load,"0.18800",N

Time,Extension,Load
(s),(mm),(N)
"2.58000","0.21518","-0.00022"
"2.58600","0.21566","-0.00028"
"2.59200","0.21620","-0.00034"
"2.59800","0.21668","-0.00035"
"2.60400","0.21722","-0.00036"
"2.61000","0.21769","-0.00030"
"2.61600","0.21823","-0.00037"
"2.62200","0.21871","-0.00037"
"2.62800","0.21919","-0.00038"
"2.63400","0.21973","-0.00041"
"2.64000","0.22020","-0.00042"
"2.64600","0.22074","-0.00045"
"2.65200","0.22122","-0.00051"
"2.65800","0.22170","-0.00060"
"2.66400","0.22224","-0.00064"
"2.67000","0.22272","-0.00073"
"2.67600","0.22319","-0.00076"
"2.68200","0.22373","-0.00064"
"2.68800","0.22421","-0.00053"
"2.69400","0.22475","-0.00041"
"2.70000","0.22523","-0.00025"
"2.70600","0.22571","-0.00002"
"2.71200","0.22624","0.00011"
"2.71800","0.22672","0.00012"
"2.72400","0.22720","0.00008"
"2.73000","0.22774","-0.00004"
"2.73600","0.22822","-0.00014"
"2.74200","0.22869","-0.00025"
"2.74800","0.22917","-0.00042"
"2.75400","0.22971","-0.00060"
"2.76000","0.23019","-0.00068"
"2.76600","0.23073","-0.00063"
"2.77200","0.23121","-0.00050"
"2.77800","0.23168","-0.00047"
"2.78400","0.23222","-0.00041"
"2.79000","0.23270","-0.00029"
"2.79600","0.23318","-0.00021"
"2.80200","0.23372","-0.00016"
"2.80800","0.23420","-0.00008"
"2.81400","0.23467","-0.00010"
"2.82000","0.23521","-0.00018"
"2.82600","0.23569","-0.00028"
"2.83200","0.23623","-0.00022"
"2.83800","0.23671","-0.00010"
"2.84400","0.23724","-0.00003"
"2.85000","0.23772","-0.00007"
"2.85600","0.23826","-0.00006"
"2.86200","0.23874","-0.00015"
"2.86800","0.23922","-0.00022"
"2.87400","0.23976","-0.00020"
"2.88000","0.24023","-0.00018"
"2.88600","0.24071","-0.00033"
"2.89200","0.24119","-0.00043"
"2.89800","0.24167","-0.00050"
"2.90400","0.24221","-0.00049"
"2.91000","0.24269","-0.00049"
"2.91600","0.24316","-0.00038"
"2.92200","0.24364","-0.00018"
"2.92800","0.24418","-0.00005"
"2.93400","0.24466","0.00002"
"2.94000","0.24514","0.00006"
"2.94600","0.24562","-0.00006"
"2.95200","0.24615","-0.00013"
"2.95800","0.24663","-0.00015"
"2.96400","0.24717","-0.00023"
"2.97000","0.24765","-0.00039"
"2.97600","0.24819","-0.00051"
"2.98200","0.24866","-0.00056"
"2.98800","0.24920","-0.00056"
"2.99400","0.24968","-0.00070"
"3.00000","0.25016","-0.00082"
"3.00600","0.25064","-0.00082"
"3.01200","0.25112","-0.00076"
"3.01800","0.25165","-0.00063"
"3.02400","0.25213","-0.00050"
"3.03000","0.25261","-0.00041"
"3.03600","0.25309","-0.00035"
"3.04200","0.25363","-0.00027"
"3.04800","0.25411","-0.00018"
"3.05400","0.25464","-0.00009"
"3.06000","0.25512","-0.00004"
"3.06600","0.25560","-0.00005"
"3.07200","0.25614","-0.00019"
"3.07800","0.25662","-0.00047"
"3.08400","0.25715","-0.00075"
"3.09000","0.25763","-0.00089"
"3.09600","0.25817","-0.00096"
"3.10200","0.25865","-0.00108"
"3.10800","0.25919","-0.00120"
"3.11400","0.25967","-0.00127"
"3.12000","0.26020","-0.00108"
"3.12600","0.26074","-0.00087"
"3.13200","0.26122","-0.00079"
"3.13800","0.26176","-0.00065"
"3.14400","0.26224","-0.00054"
"3.15000","0.26272","-0.00049"
"3.15600","0.26325","-0.00036"
"3.16200","0.26373","-0.00031"
"3.16800","0.26427","-0.00021"
"3.17400","0.26475","-0.00005"
"3.18000","0.26523","0.00003"
"3.18600","0.26576","-0.00001"
"3.19200","0.26624","-0.00006"
"3.19800","0.26672","-0.00021"
"3.20400","0.26726","-0.00037"
"3.21000","0.26774","-0.00045"
"3.21600","0.26822","-0.00057"
"3.22200","0.26869","-0.00059"
"3.22800","0.26923","-0.00051"
"3.23400","0.26971","-0.00048"
"3.24000","0.27019","-0.00034"
"3.24600","0.27073","-0.00024"
"3.25200","0.27121","-0.00024"
"3.25800","0.27174","-0.00019"
"3.26400","0.27222","-0.00023"
"3.27000","0.27276","-0.00024"
"3.27600","0.27324","-0.00023"
"3.28200","0.27372","-0.00020"
"3.28800","0.27425","-0.00018"
"3.29400","0.27473","-0.00018"
"3.30000","0.27521","-0.00019"
"3.30600","0.27569","-0.00011"
"3.31200","0.27623","0.00006"
"3.31800","0.27671","0.00018"
"3.32400","0.27718","0.00026"
"3.33000","0.27772","0.00018"
"3.33600","0.27820","-0.00006"
"3.34200","0.27868","-0.00019"
"3.34800","0.27916","-0.00027"
"3.35400","0.27970","-0.00030"
"3.36000","0.28017","-0.00038"
"3.36600","0.28065","-0.00050"
"3.37200","0.28119","-0.00056"
"3.37800","0.28167","-0.00056"
"3.38400","0.28215","-0.00052"
"3.39000","0.28268","-0.00042"
"3.39600","0.28316","-0.00031"
"3.40200","0.28370","-0.00016"
"3.40800","0.28424","-0.00004"
"3.41400","0.28472","-0.00002"
"3.42000","0.28526","-0.00010"
"3.42600","0.28573","-0.00018"
"3.43200","0.28621","-0.00023"
"3.43800","0.28675","-0.00015"
"3.44400","0.28723","-0.00013"
"3.45000","0.28771","-0.00015"
"3.45600","0.28819","-0.00017"
"3.46200","0.28866","-0.00032"
"3.46800","0.28920","-0.00051"
"3.47400","0.28968","-0.00061"
"3.48000","0.29016","-0.00064"
"3.48600","0.29070","-0.00058"
"3.49200","0.29118","-0.00048"
"3.49800","0.29165","-0.00036"
"3.50400","0.29213","-0.00034"
"3.51000","0.29267","-0.00042"
"3.51600","0.29315","-0.00054"
"3.52200","0.29363","-0.00051"
"3.52800","0.29416","-0.00042"
