End date,"1/7/2017"
Specimen label,"18CT_NT1"
Maximum Load,"0.01610",N

Time,Extension,Load
(s),(mm),(N)
"3.34800","0.27922","0.00043"
"3.35400","0.27970","0.00053"
"3.36000","0.28023","0.00066"
"3.36600","0.28071","0.00076"
"3.37200","0.28125","0.00085"
"3.37800","0.28173","0.00089"
"3.38400","0.28221","0.00100"
"3.39000","0.28274","0.00099"
"3.39600","0.28322","0.00088"
"3.40200","0.28370","0.00080"
"3.40800","0.28418","0.00071"
"3.41400","0.28466","0.00060"
"3.42000","0.28520","0.00046"
"3.42600","0.28567","0.00036"
"3.43200","0.28615","0.00035"
"3.43800","0.28663","0.00047"
"3.44400","0.28717","0.00065"
"3.45000","0.28765","0.00074"
"3.45600","0.28813","0.00067"
"3.46200","0.28866","0.00060"
"3.46800","0.28914","0.00068"
"3.47400","0.28962","0.00087"
"3.48000","0.29016","0.00097"
"3.48600","0.29064","0.00103"
"3.49200","0.29118","0.00102"
"3.49800","0.29165","0.00088"
"3.50400","0.29213","0.00081"
"3.51000","0.29267","0.00060"
"3.51600","0.29315","0.00040"
"3.52200","0.29363","0.00017"
"3.52800","0.29416","-0.00002"
"3.53400","0.29464","-0.00007"
"3.54000","0.29512","-0.00002"
"3.54600","0.29560","-0.00002"
"3.55200","0.29614","0.00004"
"3.55800","0.29662","0.00028"
"3.56400","0.29709","0.00036"
"3.57000","0.29763","0.00029"
"3.57600","0.29811","0.00026"
"3.58200","0.29859","0.00018"
"3.58800","0.29913","0.00017"
"3.59400","0.29961","0.00023"
"3.60000","0.30008","0.00028"
"3.60600","0.30062","0.00030"
"3.61200","0.30110","0.00027"
"3.61800","0.30164","0.00028"
"3.62400","0.30212","0.00031"
"3.63000","0.30265","0.00023"
"3.63600","0.30319","0.00017"
"3.64200","0.30367","0.00016"
"3.64800","0.30421","0.00022"
"3.65400","0.30469","0.00024"
"3.66000","0.30523","0.00013"
"3.66600","0.30570","0.00018"
"3.67200","0.30618","0.00028"
"3.67800","0.30672","0.00033"
"3.68400","0.30720","0.00035"
"3.69000","0.30774","0.00029"
"3.69600","0.30822","0.00033"
"3.70200","0.30875","0.00056"
"3.70800","0.30923","0.00067"
"3.71400","0.30971","0.00063"
"3.72000","0.31019","0.00054"
"3.72600","0.31073","0.00058"
"3.73200","0.31120","0.00076"
"3.73800","0.31168","0.00092"
"3.74400","0.31222","0.00090"
"3.75000","0.31270","0.00088"
"3.75600","0.31318","0.00078"
"3.76200","0.31366","0.00053"
"3.76800","0.31419","0.00030"
"3.77400","0.31467","0.00024"
"3.78000","0.31521","0.00043"
"3.78600","0.31569","0.00063"
"3.79200","0.31617","0.00078"
"3.79800","0.31665","0.00086"
"3.80400","0.31718","0.00075"
"3.81000","0.31766","0.00060"
"3.81600","0.31814","0.00057"
"3.82200","0.31862","0.00049"
"3.82800","0.31916","0.00035"
"3.83400","0.31963","0.00026"
"3.84000","0.32017","0.00028"
"3.84600","0.32065","0.00024"
"3.85200","0.32119","0.00027"
"3.85800","0.32167","0.00036"
"3.86400","0.32215","0.00044"
"3.87000","0.32262","0.00060"
"3.87600","0.32316","0.00077"
"3.88200","0.32364","0.00077"
"3.88800","0.32418","0.00070"
"3.89400","0.32466","0.00059"
"3.90000","0.32514","0.00053"
"3.90600","0.32567","0.00060"
"3.91200","0.32615","0.00068"
"3.91800","0.32669","0.00071"
"3.92400","0.32717","0.00075"
"3.93000","0.32765","0.00069"
"3.93600","0.32818","0.00055"
"3.94200","0.32866","0.00047"
"3.94800","0.32914","0.00059"
"3.95400","0.32968","0.00061"
"3.96000","0.33016","0.00057"
"3.96600","0.33064","0.00061"
"3.97200","0.33117","0.00066"
"3.97800","0.33165","0.00068"
"3.98400","0.33213","0.00070"
"3.99000","0.33267","0.00066"
"3.99600","0.33315","0.00059"
"4.00200","0.33369","0.00061"
"4.00800","0.33416","0.00076"
"4.01400","0.33464","0.00089"
"4.02000","0.33512","0.00095"
"4.02600","0.33560","0.00092"
"4.03200","0.33614","0.00084"
"4.03800","0.33662","0.00083"
"4.04400","0.33715","0.00075"
"4.05000","0.33763","0.00061"
"4.05600","0.33811","0.00049"
"4.06200","0.33865","0.00042"
"4.06800","0.33913","0.00036"
"4.07400","0.33960","0.00040"
"4.08000","0.34008","0.00052"
"4.08600","0.34062","0.00065"
"4.09200","0.34110","0.00083"
"4.09800","0.34158","0.00099"
"4.10400","0.34212","0.00119"
"4.11000","0.34259","0.00141"
"4.11600","0.34313","0.00145"
"4.12200","0.34361","0.00127"
"4.12800","0.34415","0.00111"
"4.13400","0.34463","0.00107"
"4.14000","0.34516","0.00092"
"4.14600","0.34564","0.00071"
"4.15200","0.34618","0.00053"
"4.15800","0.34666","0.00045"
"4.16400","0.34714","0.00040"
"4.17000","0.34768","0.00047"
"4.17600","0.34815","0.00061"
"4.18200","0.34869","0.00078"
"4.18800","0.34917","0.00094"
"4.19400","0.34965","0.00091"
"4.20000","0.35019","0.00090"
"4.20600","0.35067","0.00089"
"4.21200","0.35120","0.00083"
"4.21800","0.35168","0.00070"
"4.22400","0.35222","0.00057"
"4.23000","0.35270","0.00057"
"4.23600","0.35318","0.00061"
