End date,"1/8/2017"
Specimen label,"11DG_Unk2"
Maximum Load,"0.18525",N

Time,Extension,Load
(s),(mm),(N)
"2.65200","1.94190","-0.00448"
"2.65800","1.94238","-0.00441"
"2.66400","1.94286","-0.00430"
"2.67000","1.94334","-0.00431"
"2.67600","1.94388","-0.00428"
"2.68200","1.94436","-0.00419"
"2.68800","1.94483","-0.00412"
"2.69400","1.94537","-0.00409"
"2.70000","1.94591","-0.00411"
"2.70600","1.94639","-0.00406"
"2.71200","1.94693","-0.00405"
"2.71800","1.94740","-0.00406"
"2.72400","1.94794","-0.00407"
"2.73000","1.94842","-0.00400"
"2.73600","1.94890","-0.00398"
"2.74200","1.94938","-0.00395"
"2.74800","1.94992","-0.00384"
"2.75400","1.95039","-0.00375"
"2.76000","1.95087","-0.00387"
"2.76600","1.95135","-0.00411"
"2.77200","1.95189","-0.00424"
"2.77800","1.95237","-0.00427"
"2.78400","1.95291","-0.00422"
"2.79000","1.95338","-0.00420"
"2.79600","1.95386","-0.00416"
"2.80200","1.95440","-0.00423"
"2.80800","1.95488","-0.00422"
"2.81400","1.95542","-0.00420"
"2.82000","1.95589","-0.00424"
"2.82600","1.95637","-0.00422"
"2.83200","1.95691","-0.00411"
"2.83800","1.95739","-0.00406"
"2.84400","1.95793","-0.00398"
"2.85000","1.95841","-0.00397"
"2.85600","1.95894","-0.00400"
"2.86200","1.95942","-0.00401"
"2.86800","1.95996","-0.00415"
"2.87400","1.96044","-0.00423"
"2.88000","1.96092","-0.00426"
"2.88600","1.96140","-0.00435"
"2.89200","1.96193","-0.00455"
"2.89800","1.96241","-0.00462"
"2.90400","1.96289","-0.00459"
"2.91000","1.96343","-0.00457"
"2.91600","1.96391","-0.00448"
"2.92200","1.96444","-0.00424"
"2.92800","1.96492","-0.00405"
"2.93400","1.96540","-0.00389"
"2.94000","1.96594","-0.00377"
"2.94600","1.96642","-0.00376"
"2.95200","1.96696","-0.00381"
"2.95800","1.96743","-0.00391"
"2.96400","1.96797","-0.00394"
"2.97000","1.96845","-0.00392"
"2.97600","1.96893","-0.00394"
"2.98200","1.96947","-0.00395"
"2.98800","1.96995","-0.00394"
"2.99400","1.97042","-0.00395"
"3.00000","1.97096","-0.00392"
"3.00600","1.97144","-0.00376"
"3.01200","1.97192","-0.00372"
"3.01800","1.97246","-0.00389"
"3.02400","1.97293","-0.00413"
"3.03000","1.97341","-0.00427"
"3.03600","1.97395","-0.00435"
"3.04200","1.97443","-0.00436"
"3.04800","1.97491","-0.00435"
"3.05400","1.97545","-0.00434"
"3.06000","1.97592","-0.00431"
"3.06600","1.97640","-0.00418"
"3.07200","1.97688","-0.00398"
"3.07800","1.97742","-0.00380"
"3.08400","1.97790","-0.00377"
"3.09000","1.97838","-0.00374"
"3.09600","1.97891","-0.00379"
"3.10200","1.97939","-0.00397"
"3.10800","1.97987","-0.00408"
"3.11400","1.98041","-0.00401"
"3.12000","1.98089","-0.00388"
"3.12600","1.98137","-0.00380"
"3.13200","1.98184","-0.00374"
"3.13800","1.98238","-0.00366"
"3.14400","1.98286","-0.00365"
"3.15000","1.98340","-0.00369"
"3.15600","1.98388","-0.00376"
"3.16200","1.98435","-0.00376"
"3.16800","1.98489","-0.00387"
"3.17400","1.98537","-0.00391"
"3.18000","1.98585","-0.00390"
"3.18600","1.98639","-0.00391"
"3.19200","1.98687","-0.00404"
"3.19800","1.98734","-0.00404"
"3.20400","1.98788","-0.00407"
"3.21000","1.98836","-0.00405"
"3.21600","1.98890","-0.00408"
"3.22200","1.98938","-0.00405"
"3.22800","1.98986","-0.00394"
"3.23400","1.99039","-0.00392"
"3.24000","1.99087","-0.00403"
"3.24600","1.99135","-0.00414"
"3.25200","1.99189","-0.00433"
"3.25800","1.99237","-0.00444"
"3.26400","1.99290","-0.00444"
"3.27000","1.99338","-0.00449"
"3.27600","1.99392","-0.00444"
"3.28200","1.99440","-0.00429"
"3.28800","1.99494","-0.00435"
"3.29400","1.99542","-0.00437"
"3.30000","1.99589","-0.00439"
"3.30600","1.99637","-0.00435"
"3.31200","1.99691","-0.00425"
"3.31800","1.99739","-0.00423"
"3.32400","1.99793","-0.00415"
"3.33000","1.99841","-0.00408"
"3.33600","1.99888","-0.00407"
"3.34200","1.99942","-0.00411"
"3.34800","1.99990","-0.00411"
"3.35400","2.00044","-0.00403"
