End date,"1/8/2017"
Specimen label,"11DG_unk1"
Maximum Load,"0.74045",N

Time,Extension,Load
(s),(mm),(N)
"3.55200","0.29626","0.00486"
"3.55800","0.29674","0.00498"
"3.56400","0.29721","0.00496"
"3.57000","0.29775","0.00487"
"3.57600","0.29823","0.00477"
"3.58200","0.29871","0.00468"
"3.58800","0.29919","0.00463"
"3.59400","0.29967","0.00463"
"3.60000","0.30020","0.00466"
"3.60600","0.30068","0.00473"
"3.61200","0.30116","0.00475"
"3.61800","0.30170","0.00477"
"3.62400","0.30218","0.00485"
"3.63000","0.30271","0.00487"
"3.63600","0.30319","0.00481"
"3.64200","0.30373","0.00478"
"3.64800","0.30421","0.00476"
"3.65400","0.30475","0.00471"
"3.66000","0.30523","0.00458"
"3.66600","0.30570","0.00443"
"3.67200","0.30624","0.00440"
"3.67800","0.30672","0.00451"
"3.68400","0.30720","0.00464"
"3.69000","0.30774","0.00467"
"3.69600","0.30822","0.00470"
"3.70200","0.30869","0.00476"
"3.70800","0.30923","0.00490"
"3.71400","0.30971","0.00490"
"3.72000","0.31019","0.00488"
"3.72600","0.31073","0.00492"
"3.73200","0.31120","0.00500"
"3.73800","0.31168","0.00497"
"3.74400","0.31216","0.00491"
"3.75000","0.31270","0.00491"
"3.75600","0.31318","0.00476"
"3.76200","0.31366","0.00454"
"3.76800","0.31419","0.00439"
"3.77400","0.31467","0.00438"
"3.78000","0.31521","0.00442"
"3.78600","0.31569","0.00439"
"3.79200","0.31623","0.00446"
"3.79800","0.31671","0.00455"
"3.80400","0.31724","0.00453"
"3.81000","0.31772","0.00451"
"3.81600","0.31820","0.00452"
"3.82200","0.31874","0.00455"
"3.82800","0.31922","0.00461"
"3.83400","0.31969","0.00475"
"3.84000","0.32023","0.00479"
"3.84600","0.32071","0.00477"
"3.85200","0.32125","0.00480"
"3.85800","0.32173","0.00488"
"3.86400","0.32221","0.00495"
"3.87000","0.32274","0.00496"
"3.87600","0.32322","0.00481"
"3.88200","0.32370","0.00472"
"3.88800","0.32424","0.00470"
"3.89400","0.32472","0.00472"
"3.90000","0.32520","0.00483"
"3.90600","0.32573","0.00490"
"3.91200","0.32621","0.00489"
"3.91800","0.32675","0.00483"
"3.92400","0.32723","0.00475"
"3.93000","0.32771","0.00475"
"3.93600","0.32824","0.00482"
"3.94200","0.32872","0.00486"
"3.94800","0.32926","0.00489"
"3.95400","0.32974","0.00487"
"3.96000","0.33022","0.00491"
"3.96600","0.33076","0.00490"
"3.97200","0.33123","0.00491"
"3.97800","0.33171","0.00487"
"3.98400","0.33219","0.00475"
"3.99000","0.33273","0.00462"
"3.99600","0.33321","0.00450"
"4.00200","0.33375","0.00451"
"4.00800","0.33422","0.00456"
"4.01400","0.33470","0.00458"
"4.02000","0.33524","0.00458"
"4.02600","0.33572","0.00462"
"4.03200","0.33626","0.00466"
"4.03800","0.33673","0.00472"
"4.04400","0.33727","0.00475"
"4.05000","0.33775","0.00472"
"4.05600","0.33823","0.00465"
"4.06200","0.33877","0.00466"
"4.06800","0.33925","0.00470"
"4.07400","0.33978","0.00476"
"4.08000","0.34026","0.00475"
"4.08600","0.34080","0.00469"
"4.09200","0.34128","0.00463"
"4.09800","0.34176","0.00450"
"4.10400","0.34230","0.00447"
"4.11000","0.34277","0.00460"
"4.11600","0.34325","0.00470"
"4.12200","0.34373","0.00477"
"4.12800","0.34421","0.00483"
"4.13400","0.34475","0.00493"
"4.14000","0.34522","0.00507"
"4.14600","0.34570","0.00509"
"4.15200","0.34618","0.00512"
"4.15800","0.34666","0.00521"
"4.16400","0.34720","0.00523"
"4.17000","0.34768","0.00525"
"4.17600","0.34815","0.00528"
"4.18200","0.34863","0.00528"
"4.18800","0.34917","0.00519"
"4.19400","0.34965","0.00511"
"4.20000","0.35019","0.00506"
"4.20600","0.35067","0.00502"
"4.21200","0.35120","0.00490"
"4.21800","0.35168","0.00477"
"4.22400","0.35216","0.00475"
"4.23000","0.35270","0.00464"
"4.23600","0.35318","0.00453"
"4.24200","0.35366","0.00448"
"4.24800","0.35419","0.00445"
"4.25400","0.35467","0.00443"
"4.26000","0.35515","0.00444"
"4.26600","0.35563","0.00458"
"4.27200","0.35617","0.00471"
"4.27800","0.35664","0.00485"
"4.28400","0.35712","0.00493"
"4.29000","0.35766","0.00502"
"4.29600","0.35814","0.00499"
"4.30200","0.35868","0.00491"
"4.30800","0.35916","0.00487"
"4.31400","0.35969","0.00485"
"4.32000","0.36017","0.00488"
"4.32600","0.36065","0.00496"
"4.33200","0.36119","0.00507"
"4.33800","0.36173","0.00504"
"4.34400","0.36220","0.00496"
"4.35000","0.36274","0.00491"
"4.35600","0.36322","0.00488"
"4.36200","0.36376","0.00491"
"4.36800","0.36424","0.00490"
"4.37400","0.36478","0.00495"
"4.38000","0.36525","0.00500"
"4.38600","0.36579","0.00501"
"4.39200","0.36627","0.00500"
"4.39800","0.36675","0.00502"
"4.40400","0.36723","0.00518"
"4.41000","0.36777","0.00541"
"4.41600","0.36824","0.00552"
"4.42200","0.36872","0.00547"
"4.42800","0.36926","0.00533"
"4.43400","0.36974","0.00533"
"4.44000","0.37022","0.00529"
"4.44600","0.37070","0.00518"
"4.45200","0.37123","0.00515"
"4.45800","0.37171","0.00512"
"4.46400","0.37219","0.00511"
"4.47000","0.37267","0.00513"
"4.47600","0.37321","0.00511"
"4.48200","0.37368","0.00510"
"4.48800","0.37422","0.00508"
"4.49400","0.37470","0.00495"
"4.50000","0.37524","0.00481"
"4.50600","0.37572","0.00478"
"4.51200","0.37626","0.00479"
"4.51800","0.37673","0.00479"
"4.52400","0.37727","0.00481"
"4.53000","0.37775","0.00489"
"4.53600","0.37823","0.00495"
"4.54200","0.37871","0.00507"
"4.54800","0.37925","0.00525"
"4.55400","0.37972","0.00542"
"4.56000","0.38020","0.00558"
"4.56600","0.38074","0.00585"
"4.57200","0.38122","0.00606"
"4.57800","0.38170","0.00609"
"4.58400","0.38223","0.00605"
"4.59000","0.38271","0.00591"
"4.59600","0.38319","0.00570"
"4.60200","0.38373","0.00556"
"4.60800","0.38421","0.00554"
"4.61400","0.38469","0.00549"
"4.62000","0.38522","0.00536"
"4.62600","0.38570","0.00522"
"4.63200","0.38624","0.00513"
"4.63800","0.38672","0.00509"
"4.64400","0.38726","0.00512"
"4.65000","0.38774","0.00524"
"4.65600","0.38827","0.00534"
"4.66200","0.38875","0.00534"
"4.66800","0.38929","0.00527"
"4.67400","0.38977","0.00520"
"4.68000","0.39025","0.00515"
"4.68600","0.39072","0.00520"
"4.69200","0.39120","0.00532"
"4.69800","0.39174","0.00539"
"4.70400","0.39222","0.00549"
"4.71000","0.39270","0.00547"
"4.71600","0.39318","0.00544"
"4.72200","0.39371","0.00541"
"4.72800","0.39419","0.00539"
"4.73400","0.39467","0.00532"
"4.74000","0.39521","0.00536"
"4.74600","0.39569","0.00539"
"4.75200","0.39617","0.00541"
"4.75800","0.39670","0.00543"
"4.76400","0.39718","0.00540"
"4.77000","0.39766","0.00541"
"4.77600","0.39820","0.00540"
"4.78200","0.39868","0.00542"
"4.78800","0.39921","0.00533"
"4.79400","0.39969","0.00528"
"4.80000","0.40023","0.00515"
"4.80600","0.40071","0.00512"
"4.81200","0.40125","0.00512"
"4.81800","0.40173","0.00510"
"4.82400","0.40220","0.00511"
"4.83000","0.40274","0.00508"
"4.83600","0.40322","0.00518"
"4.84200","0.40370","0.00534"
