End date,"1/8/2017"
Specimen label,"9BT_74_2"
Maximum Load,"0.16759",N

Time,Extension,Load
(s),(mm),(N)
"3.20400","18.15437","0.07457"
"3.21000","18.15485","0.07455"
"3.21600","18.15533","0.07461"
"3.22200","18.15587","0.07466"
"3.22800","18.15635","0.07464"
"3.23400","18.15683","0.07450"
"3.24000","18.15730","0.07425"
"3.24600","18.15784","0.07410"
"3.25200","18.15832","0.07407"
"3.25800","18.15880","0.07411"
"3.26400","18.15934","0.07416"
"3.27000","18.15981","0.07417"
"3.27600","18.16035","0.07412"
"3.28200","18.16083","0.07402"
"3.28800","18.16131","0.07390"
"3.29400","18.16185","0.07379"
"3.30000","18.16233","0.07373"
"3.30600","18.16280","0.07362"
"3.31200","18.16328","0.07353"
"3.31800","18.16376","0.07355"
"3.32400","18.16430","0.07348"
"3.33000","18.16478","0.07342"
"3.33600","18.16526","0.07344"
"3.34200","18.16579","0.07342"
"3.34800","18.16627","0.07341"
"3.35400","18.16675","0.07347"
"3.36000","18.16729","0.07349"
"3.36600","18.16777","0.07352"
"3.37200","18.16825","0.07351"
"3.37800","18.16878","0.07346"
"3.38400","18.16926","0.07348"
"3.39000","18.16980","0.07342"
"3.39600","18.17028","0.07335"
"3.40200","18.17082","0.07332"
"3.40800","18.17135","0.07336"
"3.41400","18.17183","0.07345"
"3.42000","18.17237","0.07352"
"3.42600","18.17285","0.07357"
"3.43200","18.17339","0.07368"
"3.43800","18.17387","0.07372"
"3.44400","18.17440","0.07368"
"3.45000","18.17488","0.07361"
"3.45600","18.17536","0.07358"
"3.46200","18.17590","0.07356"
"3.46800","18.17638","0.07359"
"3.47400","18.17686","0.07367"
"3.48000","18.17739","0.07377"
"3.48600","18.17787","0.07386"
"3.49200","18.17841","0.07390"
"3.49800","18.17889","0.07385"
"3.50400","18.17937","0.07378"
"3.51000","18.17990","0.07365"
"3.51600","18.18038","0.07354"
"3.52200","18.18092","0.07346"
"3.52800","18.18140","0.07336"
"3.53400","18.18188","0.07333"
"3.54000","18.18242","0.07332"
"3.54600","18.18289","0.07333"
"3.55200","18.18343","0.07345"
"3.55800","18.18391","0.07349"
"3.56400","18.18445","0.07349"
"3.57000","18.18493","0.07344"
"3.57600","18.18546","0.07331"
"3.58200","18.18594","0.07320"
"3.58800","18.18642","0.07317"
"3.59400","18.18690","0.07306"
"3.60000","18.18744","0.07301"
"3.60600","18.18792","0.07297"
"3.61200","18.18839","0.07286"
"3.61800","18.18893","0.07281"
"3.62400","18.18941","0.07279"
"3.63000","18.18989","0.07284"
"3.63600","18.19043","0.07277"
"3.64200","18.19090","0.07277"
"3.64800","18.19138","0.07279"
"3.65400","18.19186","0.07284"
"3.66000","18.19234","0.07283"
"3.66600","18.19288","0.07284"
"3.67200","18.19336","0.07285"
"3.67800","18.19384","0.07285"
"3.68400","18.19437","0.07284"
"3.69000","18.19485","0.07274"
"3.69600","18.19533","0.07271"
"3.70200","18.19587","0.07277"
"3.70800","18.19641","0.07285"
"3.71400","18.19688","0.07291"
"3.72000","18.19736","0.07300"
"3.72600","18.19790","0.07314"
"3.73200","18.19838","0.07323"
"3.73800","18.19886","0.07325"
"3.74400","18.19940","0.07318"
"3.75000","18.19987","0.07318"
"3.75600","18.20035","0.07332"
"3.76200","18.20083","0.07342"
"3.76800","18.20137","0.07344"
"3.77400","18.20185","0.07339"
"3.78000","18.20233","0.07332"
"3.78600","18.20286","0.07335"
"3.79200","18.20334","0.07335"
"3.79800","18.20382","0.07339"
"3.80400","18.20430","0.07349"
"3.81000","18.20484","0.07356"
"3.81600","18.20531","0.07369"
"3.82200","18.20579","0.07378"
"3.82800","18.20633","0.07383"
"3.83400","18.20681","0.07385"
"3.84000","18.20735","0.07375"
"3.84600","18.20783","0.07366"
"3.85200","18.20831","0.07363"
"3.85800","18.20884","0.07361"
"3.86400","18.20932","0.07359"
"3.87000","18.20980","0.07358"
"3.87600","18.21034","0.07363"
"3.88200","18.21082","0.07371"
"3.88800","18.21129","0.07365"
"3.89400","18.21177","0.07355"
"3.90000","18.21231","0.07350"
"3.90600","18.21279","0.07349"
"3.91200","18.21333","0.07346"
"3.91800","18.21380","0.07352"
"3.92400","18.21434","0.07358"
"3.93000","18.21482","0.07360"
"3.93600","18.21530","0.07368"
"3.94200","18.21578","0.07375"
"3.94800","18.21632","0.07380"
"3.95400","18.21679","0.07386"
"3.96000","18.21733","0.07384"
"3.96600","18.21781","0.07386"
"3.97200","18.21835","0.07383"
"3.97800","18.21883","0.07381"
"3.98400","18.21936","0.07375"
"3.99000","18.21984","0.07371"
"3.99600","18.22038","0.07366"
"4.00200","18.22086","0.07364"
"4.00800","18.22140","0.07365"
"4.01400","18.22188","0.07363"
"4.02000","18.22241","0.07362"
"4.02600","18.22289","0.07360"
"4.03200","18.22343","0.07358"
"4.03800","18.22391","0.07351"
"4.04400","18.22445","0.07335"
"4.05000","18.22493","0.07320"
"4.05600","18.22546","0.07319"
"4.06200","18.22594","0.07319"
"4.06800","18.22642","0.07323"
"4.07400","18.22690","0.07327"
"4.08000","18.22738","0.07333"
"4.08600","18.22786","0.07340"
"4.09200","18.22839","0.07350"
"4.09800","18.22887","0.07356"
"4.10400","18.22941","0.07357"
"4.11000","18.22989","0.07358"
"4.11600","18.23037","0.07366"
"4.12200","18.23091","0.07377"
"4.12800","18.23138","0.07388"
"4.13400","18.23192","0.07405"
"4.14000","18.23240","0.07412"
"4.14600","18.23288","0.07407"
"4.15200","18.23342","0.07412"
"4.15800","18.23389","0.07418"
"4.16400","18.23437","0.07425"
"4.17000","18.23485","0.07426"
"4.17600","18.23539","0.07424"
"4.18200","18.23587","0.07426"
"4.18800","18.23641","0.07428"
"4.19400","18.23688","0.07433"
"4.20000","18.23742","0.07448"
"4.20600","18.23790","0.07455"
"4.21200","18.23838","0.07462"
"4.21800","18.23892","0.07471"
"4.22400","18.23940","0.07480"
"4.23000","18.23987","0.07480"
"4.23600","18.24035","0.07481"
"4.24200","18.24083","0.07479"
"4.24800","18.24137","0.07476"
"4.25400","18.24185","0.07474"
"4.26000","18.24232","0.07469"
"4.26600","18.24286","0.07461"
"4.27200","18.24334","0.07448"
"4.27800","18.24382","0.07431"
"4.28400","18.24436","0.07414"
"4.29000","18.24484","0.07402"
"4.29600","18.24531","0.07398"
"4.30200","18.24585","0.07411"
"4.30800","18.24633","0.07429"
"4.31400","18.24681","0.07441"
"4.32000","18.24735","0.07453"
"4.32600","18.24783","0.07466"
"4.33200","18.24830","0.07478"
"4.33800","18.24884","0.07485"
"4.34400","18.24932","0.07486"
"4.35000","18.24986","0.07488"
"4.35600","18.25034","0.07490"
"4.36200","18.25082","0.07486"
"4.36800","18.25135","0.07485"
"4.37400","18.25183","0.07477"
"4.38000","18.25231","0.07462"
"4.38600","18.25285","0.07451"
"4.39200","18.25333","0.07440"
"4.39800","18.25381","0.07432"
"4.40400","18.25434","0.07429"
"4.41000","18.25482","0.07435"
"4.41600","18.25530","0.07445"
"4.42200","18.25584","0.07453"
"4.42800","18.25632","0.07456"
"4.43400","18.25686","0.07466"
"4.44000","18.25733","0.07476"
"4.44600","18.25781","0.07489"
"4.45200","18.25835","0.07495"
"4.45800","18.25883","0.07491"
"4.46400","18.25931","0.07479"
"4.47000","18.25984","0.07469"
"4.47600","18.26032","0.07467"
"4.48200","18.26086","0.07470"
"4.48800","18.26134","0.07464"
"4.49400","18.26188","0.07464"
"4.50000","18.26235","0.07469"
"4.50600","18.26283","0.07474"
"4.51200","18.26337","0.07475"
"4.51800","18.26385","0.07478"
"4.52400","18.26433","0.07481"
"4.53000","18.26481","0.07491"
"4.53600","18.26534","0.07496"
"4.54200","18.26582","0.07495"
"4.54800","18.26630","0.07496"
"4.55400","18.26684","0.07496"
"4.56000","18.26732","0.07504"
"4.56600","18.26780","0.07512"
"4.57200","18.26833","0.07509"
"4.57800","18.26887","0.07501"
"4.58400","18.26935","0.07503"
"4.59000","18.26983","0.07509"
"4.59600","18.27037","0.07509"
"4.60200","18.27085","0.07509"
"4.60800","18.27138","0.07505"
"4.61400","18.27186","0.07504"
"4.62000","18.27234","0.07502"
"4.62600","18.27288","0.07495"
"4.63200","18.27336","0.07495"
"4.63800","18.27383","0.07496"
"4.64400","18.27431","0.07492"
"4.65000","18.27485","0.07492"
"4.65600","18.27533","0.07495"
"4.66200","18.27587","0.07499"
"4.66800","18.27634","0.07510"
"4.67400","18.27688","0.07518"
"4.68000","18.27736","0.07519"
"4.68600","18.27790","0.07516"
"4.69200","18.27838","0.07516"
"4.69800","18.27886","0.07513"
"4.70400","18.27939","0.07515"
"4.71000","18.27987","0.07512"
"4.71600","18.28041","0.07512"
"4.72200","18.28089","0.07512"
"4.72800","18.28137","0.07513"
"4.73400","18.28190","0.07519"
"4.74000","18.28238","0.07524"
"4.74600","18.28286","0.07531"
"4.75200","18.28340","0.07544"
"4.75800","18.28388","0.07547"
"4.76400","18.28436","0.07547"
"4.77000","18.28484","0.07554"
"4.77600","18.28537","0.07559"
"4.78200","18.28585","0.07561"
"4.78800","18.28639","0.07556"
"4.79400","18.28687","0.07546"
"4.80000","18.28735","0.07541"
"4.80600","18.28782","0.07544"
"4.81200","18.28830","0.07549"
"4.81800","18.28884","0.07558"
"4.82400","18.28932","0.07567"
"4.83000","18.28980","0.07571"
"4.83600","18.29033","0.07570"
"4.84200","18.29081","0.07565"
